
Time Index
 ==================== 
Time Index,Unit,Category,Time,TrackID,ID,
1,,Surface,1,1000014184,14184,
1,,Surface,1,1000014185,14185,
1,,Surface,1,1000014186,14186,
1,,Surface,1,1000014187,14187,
1,,Surface,1,1000014188,14188,
1,,Surface,1,1000014189,14189,
1,,Surface,1,1000014190,14190,
1,,Surface,1,1000014191,14191,
1,,Surface,1,1000014192,14192,
1,,Surface,1,1000014193,14193,
1,,Surface,1,1000014194,14194,
1,,Surface,1,1000014195,14195,
1,,Surface,1,1000014196,14196,
1,,Surface,1,1000014197,14197,
1,,Surface,1,1000014198,14198,
1,,Surface,1,1000014199,14199,
1,,Surface,1,1000014200,14200,
1,,Surface,1,1000014201,14201,
1,,Surface,1,1000014202,14202,
2,,Surface,2,1000014185,14203,
2,,Surface,2,1000014184,14204,
2,,Surface,2,1000014186,14205,
2,,Surface,2,1000014187,14206,
2,,Surface,2,1000014207,14207,
2,,Surface,2,1000014188,14208,
2,,Surface,2,1000014189,14209,
2,,Surface,2,1000014210,14210,
2,,Surface,2,1000014190,14211,
2,,Surface,2,1000014212,14212,
2,,Surface,2,1000014191,14213,
2,,Surface,2,1000014192,14214,
2,,Surface,2,1000014193,14215,
2,,Surface,2,1000014216,14216,
2,,Surface,2,1000014194,14217,
2,,Surface,2,1000014218,14218,
2,,Surface,2,1000014195,14219,
2,,Surface,2,1000014220,14220,
2,,Surface,2,1000014196,14221,
2,,Surface,2,1000014197,14222,
2,,Surface,2,1000014223,14223,
2,,Surface,2,1000014199,14224,
2,,Surface,2,1000014198,14225,
2,,Surface,2,1000014200,14226,
2,,Surface,2,1000014201,14227,
2,,Surface,2,1000014202,14228,
3,,Surface,3,1000014185,14229,
3,,Surface,3,1000014184,14230,
3,,Surface,3,1000014186,14231,
3,,Surface,3,1000014187,14232,
3,,Surface,3,1000014233,14233,
3,,Surface,3,1000014207,14234,
3,,Surface,3,1000014188,14235,
3,,Surface,3,1000014236,14236,
3,,Surface,3,1000014189,14237,
3,,Surface,3,1000014210,14238,
3,,Surface,3,1000014239,14239,
3,,Surface,3,1000014190,14240,
3,,Surface,3,1000014212,14241,
3,,Surface,3,1000014242,14242,
3,,Surface,3,1000014191,14243,
3,,Surface,3,1000014192,14244,
3,,Surface,3,1000014193,14245,
3,,Surface,3,1000014216,14246,
3,,Surface,3,1000014194,14247,
3,,Surface,3,1000014218,14248,
3,,Surface,3,1000014195,14249,
3,,Surface,3,1000014220,14250,
3,,Surface,3,1000014196,14251,
3,,Surface,3,1000014197,14252,
3,,Surface,3,1000014223,14253,
3,,Surface,3,1000014198,14254,
3,,Surface,3,1000014199,14255,
3,,Surface,3,1000014200,14256,
3,,Surface,3,1000014201,14257,
3,,Surface,3,1000014202,14258,
4,,Surface,4,1000014185,14259,
4,,Surface,4,1000014184,14260,
4,,Surface,4,1000014261,14261,
4,,Surface,4,1000014186,14262,
4,,Surface,4,1000014187,14263,
4,,Surface,4,1000014233,14264,
4,,Surface,4,1000014207,14265,
4,,Surface,4,1000014188,14266,
4,,Surface,4,1000014236,14267,
4,,Surface,4,1000014189,14268,
4,,Surface,4,1000014210,14269,
4,,Surface,4,1000014190,14270,
4,,Surface,4,1000014239,14271,
4,,Surface,4,1000014212,14272,
4,,Surface,4,1000014242,14273,
4,,Surface,4,1000014191,14274,
4,,Surface,4,1000014275,14275,
4,,Surface,4,1000014192,14276,
4,,Surface,4,1000014193,14277,
4,,Surface,4,1000014216,14278,
4,,Surface,4,1000014194,14279,
4,,Surface,4,1000014218,14280,
4,,Surface,4,1000014195,14281,
4,,Surface,4,1000014220,14282,
4,,Surface,4,1000014196,14283,
4,,Surface,4,1000014197,14284,
4,,Surface,4,1000014223,14285,
4,,Surface,4,1000014199,14286,
4,,Surface,4,1000014198,14287,
4,,Surface,4,1000014288,14288,
4,,Surface,4,1000014289,14289,
4,,Surface,4,1000014200,14290,
4,,Surface,4,1000014201,14291,
4,,Surface,4,1000014202,14292,
5,,Surface,5,1000014184,14293,
5,,Surface,5,1000014185,14294,
5,,Surface,5,1000014261,14295,
5,,Surface,5,1000014186,14296,
5,,Surface,5,1000014187,14297,
5,,Surface,5,1000014298,14298,
5,,Surface,5,1000014299,14299,
5,,Surface,5,1000014233,14300,
5,,Surface,5,1000014207,14301,
5,,Surface,5,1000014302,14302,
5,,Surface,5,1000014236,14303,
5,,Surface,5,1000014304,14304,
5,,Surface,5,1000014189,14305,
5,,Surface,5,1000014210,14306,
5,,Surface,5,1000014239,14307,
5,,Surface,5,1000014190,14308,
5,,Surface,5,1000014212,14309,
5,,Surface,5,1000014242,14310,
5,,Surface,5,1000014191,14311,
5,,Surface,5,1000014275,14312,
5,,Surface,5,1000014192,14313,
5,,Surface,5,1000014193,14314,
5,,Surface,5,1000014216,14315,
5,,Surface,5,1000014194,14316,
5,,Surface,5,1000014218,14317,
5,,Surface,5,1000014220,14318,
5,,Surface,5,1000014196,14319,
5,,Surface,5,1000014197,14320,
5,,Surface,5,1000014223,14321,
5,,Surface,5,1000014288,14322,
5,,Surface,5,1000014199,14323,
5,,Surface,5,1000014198,14324,
5,,Surface,5,1000014289,14325,
5,,Surface,5,1000014200,14326,
5,,Surface,5,1000014201,14327,
5,,Surface,5,1000014202,14328,
6,,Surface,6,1000014329,14329,
6,,Surface,6,1000014185,14330,
6,,Surface,6,1000014331,14331,
6,,Surface,6,1000014184,14332,
6,,Surface,6,1000014261,14333,
6,,Surface,6,1000014187,14334,
6,,Surface,6,1000014298,14335,
6,,Surface,6,1000014299,14336,
6,,Surface,6,1000014233,14337,
6,,Surface,6,1000014207,14338,
6,,Surface,6,1000014302,14339,
6,,Surface,6,1000014236,14340,
6,,Surface,6,1000014304,14341,
6,,Surface,6,1000014189,14342,
6,,Surface,6,1000014210,14343,
6,,Surface,6,1000014239,14344,
6,,Surface,6,1000014212,14345,
6,,Surface,6,1000014190,14346,
6,,Surface,6,1000014242,14347,
6,,Surface,6,1000014275,14348,
6,,Surface,6,1000014193,14349,
6,,Surface,6,1000014350,14350,
6,,Surface,6,1000014216,14351,
6,,Surface,6,1000014218,14352,
6,,Surface,6,1000014353,14353,
6,,Surface,6,1000014196,14354,
6,,Surface,6,1000014197,14355,
6,,Surface,6,1000014198,14356,
6,,Surface,6,1000014199,14357,
6,,Surface,6,1000014289,14358,
6,,Surface,6,1000014288,14359,
6,,Surface,6,1000014200,14360,
6,,Surface,6,1000014201,14361,
6,,Surface,6,1000014202,14362,
7,,Surface,7,1000014185,14363,
7,,Surface,7,1000014329,14364,
7,,Surface,7,1000014331,14365,
7,,Surface,7,1000014184,14366,
7,,Surface,7,1000014187,14367,
7,,Surface,7,1000014261,14368,
7,,Surface,7,1000014298,14369,
7,,Surface,7,1000014299,14370,
7,,Surface,7,1000014207,14371,
7,,Surface,7,1000014233,14372,
7,,Surface,7,1000014302,14373,
7,,Surface,7,1000014304,14374,
7,,Surface,7,1000014189,14375,
7,,Surface,7,1000014239,14376,
7,,Surface,7,1000014190,14377,
7,,Surface,7,1000014212,14378,
7,,Surface,7,1000014275,14379,
7,,Surface,7,1000014193,14380,
7,,Surface,7,1000014350,14381,
7,,Surface,7,1000014216,14382,
7,,Surface,7,1000014218,14383,
7,,Surface,7,1000014353,14384,
7,,Surface,7,1000014197,14385,
7,,Surface,7,1000014199,14386,
7,,Surface,7,1000014289,14387,
7,,Surface,7,1000014198,14388,
7,,Surface,7,1000014288,14389,
7,,Surface,7,1000014200,14390,
7,,Surface,7,1000014201,14391,
8,,Surface,8,1000014184,14392,
8,,Surface,8,1000014331,14393,
8,,Surface,8,1000014394,14394,
8,,Surface,8,1000014329,14395,
8,,Surface,8,1000014185,14396,
8,,Surface,8,1000014397,14397,
8,,Surface,8,1000014298,14398,
8,,Surface,8,1000014299,14399,
8,,Surface,8,1000014400,14400,
8,,Surface,8,1000014233,14401,
8,,Surface,8,1000014402,14402,
8,,Surface,8,1000014302,14403,
8,,Surface,8,1000014304,14404,
8,,Surface,8,1000014189,14405,
8,,Surface,8,1000014239,14406,
8,,Surface,8,1000014407,14407,
8,,Surface,8,1000014193,14408,
8,,Surface,8,1000014350,14409,
8,,Surface,8,1000014216,14410,
8,,Surface,8,1000014218,14411,
8,,Surface,8,1000014412,14412,
8,,Surface,8,1000014353,14413,
8,,Surface,8,1000014414,14414,
8,,Surface,8,1000014197,14415,
8,,Surface,8,1000014289,14416,
8,,Surface,8,1000014199,14417,
8,,Surface,8,1000014198,14418,
8,,Surface,8,1000014200,14419,
8,,Surface,8,1000014201,14420,
9,,Surface,9,1000014298,14421,
9,,Surface,9,1000014422,14422,
9,,Surface,9,1000014397,14423,
9,,Surface,9,1000014184,14424,
9,,Surface,9,1000014394,14425,
9,,Surface,9,1000014331,14426,
9,,Surface,9,1000014329,14427,
9,,Surface,9,1000014185,14428,
9,,Surface,9,1000014299,14429,
9,,Surface,9,1000014430,14430,
9,,Surface,9,1000014400,14431,
9,,Surface,9,1000014402,14432,
9,,Surface,9,1000014433,14433,
9,,Surface,9,1000014304,14434,
9,,Surface,9,1000014189,14435,
9,,Surface,9,1000014436,14436,
9,,Surface,9,1000014407,14437,
9,,Surface,9,1000014438,14438,
9,,Surface,9,1000014439,14439,
9,,Surface,9,1000014440,14440,
9,,Surface,9,1000014193,14441,
9,,Surface,9,1000014350,14442,
9,,Surface,9,1000014412,14443,
9,,Surface,9,1000014353,14444,
9,,Surface,9,1000014414,14445,
9,,Surface,9,1000014197,14446,
9,,Surface,9,1000014447,14447,
9,,Surface,9,1000014199,14448,
9,,Surface,9,1000014289,14449,
9,,Surface,9,1000014198,14450,
9,,Surface,9,1000014200,14451,
9,,Surface,9,1000014201,14452,
9,,Surface,9,1000014453,14453,
10,,Surface,10,1000014430,14454,
10,,Surface,10,1000014298,14455,
10,,Surface,10,1000014422,14456,
10,,Surface,10,1000014397,14457,
10,,Surface,10,1000014184,14458,
10,,Surface,10,1000014459,14459,
10,,Surface,10,1000014394,14460,
10,,Surface,10,1000014331,14461,
10,,Surface,10,1000014185,14462,
10,,Surface,10,1000014299,14463,
10,,Surface,10,1000014400,14464,
10,,Surface,10,1000014465,14465,
10,,Surface,10,1000014402,14466,
10,,Surface,10,1000014433,14467,
10,,Surface,10,1000014189,14468,
10,,Surface,10,1000014436,14469,
10,,Surface,10,1000014470,14470,
10,,Surface,10,1000014407,14471,
10,,Surface,10,1000014438,14472,
10,,Surface,10,1000014439,14473,
10,,Surface,10,1000014440,14474,
10,,Surface,10,1000014193,14475,
10,,Surface,10,1000014350,14476,
10,,Surface,10,1000014412,14477,
10,,Surface,10,1000014353,14478,
10,,Surface,10,1000014414,14479,
10,,Surface,10,1000014197,14480,
10,,Surface,10,1000014447,14481,
10,,Surface,10,1000014199,14482,
10,,Surface,10,1000014198,14483,
10,,Surface,10,1000014200,14484,
10,,Surface,10,1000014201,14485,
10,,Surface,10,1000014453,14486,
11,,Surface,11,1000014465,14487,
11,,Surface,11,1000014400,14488,
11,,Surface,11,1000014298,14489,
11,,Surface,11,1000014299,14490,
11,,Surface,11,1000014430,14491,
11,,Surface,11,1000014422,14492,
11,,Surface,11,1000014493,14493,
11,,Surface,11,1000014397,14494,
11,,Surface,11,1000014184,14495,
11,,Surface,11,1000014459,14496,
11,,Surface,11,1000014394,14497,
11,,Surface,11,1000014331,14498,
11,,Surface,11,1000014185,14499,
11,,Surface,11,1000014402,14500,
11,,Surface,11,1000014501,14501,
11,,Surface,11,1000014433,14502,
11,,Surface,11,1000014189,14503,
