
Track Intensity Mean Ch=4 Img=1
 ==================== 
Track Intensity Mean,Unit,Category,Channel,Image,ID,
1.68519,,Track,4,Image 1,1000015108,
194.802,,Track,4,Image 1,1000015118,
2.8,,Track,4,Image 1,1000015122,
114.221,,Track,4,Image 1,1000015123,
7.77841,,Track,4,Image 1,1000015142,
233.128,,Track,4,Image 1,1000015145,
31.35,,Track,4,Image 1,1000015154,
89.7255,,Track,4,Image 1,1000015158,
177.278,,Track,4,Image 1,1000015161,
255,,Track,4,Image 1,1000015174,
14.1364,,Track,4,Image 1,1000015179,
1.75714,,Track,4,Image 1,1000015180,
157.766,,Track,4,Image 1,1000015184,
17.9906,,Track,4,Image 1,1000015190,
36.3832,,Track,4,Image 1,1000015202,
1.20382,,Track,4,Image 1,1000015204,
3.59184,,Track,4,Image 1,1000015206,
33.9667,,Track,4,Image 1,1000015207,
1.23864,,Track,4,Image 1,1000015208,
40.9251,,Track,4,Image 1,1000015213,
31.95,,Track,4,Image 1,1000015219,
0.393939,,Track,4,Image 1,1000015221,
92.6842,,Track,4,Image 1,1000015228,
2.76768,,Track,4,Image 1,1000015237,
39.5613,,Track,4,Image 1,1000015240,
11.1038,,Track,4,Image 1,1000015248,
25.1836,,Track,4,Image 1,1000015251,
8.83234,,Track,4,Image 1,1000015267,
5.6875,,Track,4,Image 1,1000015268,
41.52,,Track,4,Image 1,1000015274,
147.214,,Track,4,Image 1,1000015279,
15.271,,Track,4,Image 1,1000015280,
255,,Track,4,Image 1,1000015290,
12.3043,,Track,4,Image 1,1000015293,
2.35294,,Track,4,Image 1,1000015307,
5.94643,,Track,4,Image 1,1000015308,
108.451,,Track,4,Image 1,1000015348,
2.54545,,Track,4,Image 1,1000015352,
22.6102,,Track,4,Image 1,1000015353,
0.34375,,Track,4,Image 1,1000015362,
46.3478,,Track,4,Image 1,1000015370,
115.117,,Track,4,Image 1,1000015377,
20.4895,,Track,4,Image 1,1000015388,
2.1129,,Track,4,Image 1,1000015394,
42.1786,,Track,4,Image 1,1000015400,
2.19421,,Track,4,Image 1,1000015407,
253.39,,Track,4,Image 1,1000015415,
8.48913,,Track,4,Image 1,1000015421,
5.63713,,Track,4,Image 1,1000015432,
32.4516,,Track,4,Image 1,1000015443,
14.6104,,Track,4,Image 1,1000015450,
0.345455,,Track,4,Image 1,1000015455,
106.786,,Track,4,Image 1,1000015461,
71.5729,,Track,4,Image 1,1000015477,
1.8,,Track,4,Image 1,1000015497,
0.657718,,Track,4,Image 1,1000015502,
43.0148,,Track,4,Image 1,1000015503,
65.5333,,Track,4,Image 1,1000015508,
189.421,,Track,4,Image 1,1000015516,
1.2093,,Track,4,Image 1,1000015525,
5.37267,,Track,4,Image 1,1000015536,
34.5357,,Track,4,Image 1,1000015541,
92.3409,,Track,4,Image 1,1000015557,
134.381,,Track,4,Image 1,1000015590,
98.8404,,Track,4,Image 1,1000015591,
5.975,,Track,4,Image 1,1000015593,
134.662,,Track,4,Image 1,1000015622,
68.5789,,Track,4,Image 1,1000015630,
238.759,,Track,4,Image 1,1000015650,
10.3895,,Track,4,Image 1,1000015674,
0.481481,,Track,4,Image 1,1000015675,
1.72139,,Track,4,Image 1,1000015678,
1.36628,,Track,4,Image 1,1000015680,
2.07692,,Track,4,Image 1,1000015682,
171.41,,Track,4,Image 1,1000015700,
0.103448,,Track,4,Image 1,1000015706,
0.622222,,Track,4,Image 1,1000015719,
72.2105,,Track,4,Image 1,1000015724,
29.6228,,Track,4,Image 1,1000015726,
5.15132,,Track,4,Image 1,1000015727,
59.0412,,Track,4,Image 1,1000015732,
10.4655,,Track,4,Image 1,1000015744,
2.63205,,Track,4,Image 1,1000015750,
108.723,,Track,4,Image 1,1000015752,
22,,Track,4,Image 1,1000015753,
