
Displacement Length
 ==================== 
Displacement Length,Unit,Category,Time,TrackID,ID,
6.96552,um,Surface,6,1000014261,14333,
2.75576,um,Surface,6,1000014187,14334,
0.956247,um,Surface,6,1000014298,14335,
1.33217,um,Surface,6,1000014299,14336,
0.923534,um,Surface,6,1000014233,14337,
3.27462,um,Surface,6,1000014207,14338,
3.03121,um,Surface,6,1000014302,14339,
1.15788,um,Surface,6,1000014236,14340,
0.711121,um,Surface,6,1000014304,14341,
12.826,um,Surface,6,1000014189,14342,
1.17418,um,Surface,6,1000014210,14343,
7.73545,um,Surface,6,1000014239,14344,
2.76624,um,Surface,6,1000014212,14345,
5.01369,um,Surface,6,1000014190,14346,
2.05462,um,Surface,6,1000014242,14347,
1.80127,um,Surface,6,1000014275,14348,
1.15896,um,Surface,6,1000014193,14349,
0,um,Surface,6,1000014350,14350,
0.761149,um,Surface,6,1000014216,14351,
1.20422,um,Surface,6,1000014218,14352,
0,um,Surface,6,1000014353,14353,
3.33845,um,Surface,6,1000014196,14354,
7.9744,um,Surface,6,1000014197,14355,
3.16937,um,Surface,6,1000014198,14356,
1.53094,um,Surface,6,1000014199,14357,
1.6062,um,Surface,6,1000014289,14358,
1.26029,um,Surface,6,1000014288,14359,
2.58859,um,Surface,6,1000014200,14360,
1.68936,um,Surface,6,1000014201,14361,
0.773237,um,Surface,6,1000014202,14362,
0.656717,um,Surface,7,1000014185,14363,
1.65481,um,Surface,7,1000014329,14364,
1.91755,um,Surface,7,1000014331,14365,
2.91211,um,Surface,7,1000014184,14366,
4.847,um,Surface,7,1000014187,14367,
9.16942,um,Surface,7,1000014261,14368,
1.46129,um,Surface,7,1000014298,14369,
2.94191,um,Surface,7,1000014299,14370,
5.83413,um,Surface,7,1000014207,14371,
2.00407,um,Surface,7,1000014233,14372,
1.73339,um,Surface,7,1000014302,14373,
2.9574,um,Surface,7,1000014304,14374,
10.8136,um,Surface,7,1000014189,14375,
9.6552,um,Surface,7,1000014239,14376,
2.96912,um,Surface,7,1000014190,14377,
2.07567,um,Surface,7,1000014212,14378,
0.893101,um,Surface,7,1000014275,14379,
2.29005,um,Surface,7,1000014193,14380,
4.29146,um,Surface,7,1000014350,14381,
1.74249,um,Surface,7,1000014216,14382,
2.10625,um,Surface,7,1000014218,14383,
5.17464,um,Surface,7,1000014353,14384,
11.7094,um,Surface,7,1000014197,14385,
2.43424,um,Surface,7,1000014199,14386,
5.16394,um,Surface,7,1000014289,14387,
4.86206,um,Surface,7,1000014198,14388,
3.03507,um,Surface,7,1000014288,14389,
1.09398,um,Surface,7,1000014200,14390,
3.23703,um,Surface,7,1000014201,14391,
3.23773,um,Surface,8,1000014184,14392,
4.01488,um,Surface,8,1000014331,14393,
0,um,Surface,8,1000014394,14394,
2.87289,um,Surface,8,1000014329,14395,
