
Displacement Delta
 ==================== 
Displacement Delta X,Displacement Delta Y,Displacement Delta Z,Unit,Category,Collection,Time,TrackID,ID,
0.479813,-1.14162,-1.08696,um,Surface,Displacement Delta,4,1000014189,14268,
1.07243,-1.41837,0,um,Surface,Displacement Delta,4,1000014210,14269,
-1.94101,0.610043,0,um,Surface,Displacement Delta,4,1000014190,14270,
-1.81867,-0.573288,0,um,Surface,Displacement Delta,4,1000014239,14271,
0.484322,-2.07567,0.25,um,Surface,Displacement Delta,4,1000014212,14272,
-0.968658,-0.138374,0,um,Surface,Displacement Delta,4,1000014242,14273,
-1.17555,-0.324219,1.8619,um,Surface,Displacement Delta,4,1000014191,14274,
0,0,0,um,Surface,Displacement Delta,4,1000014275,14275,
0.761078,-1.62595,0.25,um,Surface,Displacement Delta,4,1000014192,14276,
0.853165,-2.03271,0.744827,um,Surface,Displacement Delta,4,1000014193,14277,
0.757851,-1.05376,0,um,Surface,Displacement Delta,4,1000014216,14278,
1.66052,-0.622696,-3,um,Surface,Displacement Delta,4,1000014194,14279,
0.991035,-1.33569,-0.421751,um,Surface,Displacement Delta,4,1000014218,14280,
-0.380524,-1.59134,0.25,um,Surface,Displacement Delta,4,1000014195,14281,
-0.739563,-1.72333,-1.41176,um,Surface,Displacement Delta,4,1000014220,14282,
-0.110703,-2.04799,0.55,um,Surface,Displacement Delta,4,1000014196,14283,
1.6467,0.221405,-0.9,um,Surface,Displacement Delta,4,1000014197,14284,
-0.318687,-0.402557,0.272727,um,Surface,Displacement Delta,4,1000014223,14285,
0.340996,-0.103783,0,um,Surface,Displacement Delta,4,1000014199,14286,
-0.752151,-0.467499,0.524738,um,Surface,Displacement Delta,4,1000014198,14287,
0,0,0,um,Surface,Displacement Delta,4,1000014288,14288,
0,0,0,um,Surface,Displacement Delta,4,1000014289,14289,
0.294807,0.679863,-0.554348,um,Surface,Displacement Delta,4,1000014200,14290,
-2.58304,-0.738014,0,um,Surface,Displacement Delta,4,1000014201,14291,
-1.10702,0.138382,0,um,Surface,Displacement Delta,4,1000014202,14292,
-0.323318,1.21347,-0.995193,um,Surface,Displacement Delta,5,1000014184,14293,
1.55989,-1.71924,0,um,Surface,Displacement Delta,5,1000014185,14294,
-2.93475,-1.19925,1.64583,um,Surface,Displacement Delta,5,1000014261,14295,
0.498672,0.485809,-2.63777,um,Surface,Displacement Delta,5,1000014186,14296,
-0.974716,-0.151855,0,um,Surface,Displacement Delta,5,1000014187,14297,
0,0,0,um,Surface,Displacement Delta,5,1000014298,14298,
0,0,0,um,Surface,Displacement Delta,5,1000014299,14299,
0.22644,0.07547,-0.681818,um,Surface,Displacement Delta,5,1000014233,14300,
1.7598,-0.424362,-0.0539665,um,Surface,Displacement Delta,5,1000014207,14301,
0,0,0,um,Surface,Displacement Delta,5,1000014302,14302,
-0.705719,0.658295,-0.6,um,Surface,Displacement Delta,5,1000014236,14303,
0,0,0,um,Surface,Displacement Delta,5,1000014304,14304,
1.70496,0.447067,-1.60535,um,Surface,Displacement Delta,5,1000014189,14305,
-1.26615,0.0622711,0,um,Surface,Displacement Delta,5,1000014210,14306,
6.33192,-1.17241,-0.461538,um,Surface,Displacement Delta,5,1000014239,14307,
-1.34778,3.06081,0,um,Surface,Displacement Delta,5,1000014190,14308,
-0.484322,0.553513,-1.25,um,Surface,Displacement Delta,5,1000014212,14309,
-0.0830231,-0.581184,0,um,Surface,Displacement Delta,5,1000014242,14310,
-0.34079,1.20798,-1.22745,um,Surface,Displacement Delta,5,1000014191,14311,
-0.726494,0.518921,0,um,Surface,Displacement Delta,5,1000014275,14312,
-0.276764,0.830261,0.125,um,Surface,Displacement Delta,5,1000014192,14313,
-0.821526,2.01012,-0.505262,um,Surface,Displacement Delta,5,1000014193,14314,
0.424194,1.93552,0,um,Surface,Displacement Delta,5,1000014216,14315,
-2.76756,0.553513,3,um,Surface,Displacement Delta,5,1000014194,14316,
-1.58179,0.555099,0.261495,um,Surface,Displacement Delta,5,1000014218,14317,
-0.341003,3.78067,-3,um,Surface,Displacement Delta,5,1000014220,14318,
-0.802582,0.636551,-1.75,um,Surface,Displacement Delta,5,1000014196,14319,
0.72879,0.701111,-1.6,um,Surface,Displacement Delta,5,1000014197,14320,
-1.23617,1.54984,0,um,Surface,Displacement Delta,5,1000014223,14321,
1.12164,-0.251404,0,um,Surface,Displacement Delta,5,1000014288,14322,
-1.17126,0.726479,0,um,Surface,Displacement Delta,5,1000014199,14323,
0.0405045,0.486389,-0.550135,um,Surface,Displacement Delta,5,1000014198,14324,
-1.21772,1.90961,0.2,um,Surface,Displacement Delta,5,1000014289,14325,
-1.91924,-0.354973,0.554348,um,Surface,Displacement Delta,5,1000014200,14326,
0.0922546,-0.092247,0,um,Surface,Displacement Delta,5,1000014201,14327,
-0.415134,0,0,um,Surface,Displacement Delta,5,1000014202,14328,
0,0,0,um,Surface,Displacement Delta,6,1000014329,14329,
-1.63536,0.813477,0,um,Surface,Displacement Delta,6,1000014185,14330,
0,0,0,um,Surface,Displacement Delta,6,1000014331,14331,
-0.333588,-0.118622,0.61607,um,Surface,Displacement Delta,6,1000014184,14332,
-2.72144,-2.49918,-3.33333,um,Surface,Displacement Delta,6,1000014261,14333,
0.172745,-0.142792,-0.147541,um,Surface,Displacement Delta,6,1000014187,14334,
-0.905746,0.140182,-0.272728,um,Surface,Displacement Delta,6,1000014298,14335,
1.19823,-0.556671,-0.170456,um,Surface,Displacement Delta,6,1000014299,14336,
-0.905731,1.16992,1.22727,um,Surface,Displacement Delta,6,1000014233,14337,
1.02866,0.0654755,-0.695339,um,Surface,Displacement Delta,6,1000014207,14338,
2.65685,-1.42065,0.333332,um,Surface,Displacement Delta,6,1000014302,14339,
-1.21249,0.233322,-0.227587,um,Surface,Displacement Delta,6,1000014236,14340,
-0.0421143,-0.14138,0.695652,um,Surface,Displacement Delta,6,1000014304,14341,
2.00114,0.659958,-2.30769,um,Surface,Displacement Delta,6,1000014189,14342,
-0.9133,1.90961,0,um,Surface,Displacement Delta,6,1000014210,14343,
2.38586,-0.626495,3.03297,um,Surface,Displacement Delta,6,1000014239,14344,
1.85426,-0.359787,1.2,um,Surface,Displacement Delta,6,1000014212,14345,
-2.61703,-2.95529,0,um,Surface,Displacement Delta,6,1000014190,14346,
-0.806534,-0.130478,0.214285,um,Surface,Displacement Delta,6,1000014242,14347,
0.818741,-2.31783,0,um,Surface,Displacement Delta,6,1000014275,14348,
0.917656,-0.961349,0.789474,um,Surface,Displacement Delta,6,1000014193,14349,
0,0,0,um,Surface,Displacement Delta,6,1000014350,14350,
0.205231,-0.811966,0,um,Surface,Displacement Delta,6,1000014216,14351,
1.51227,-0.250397,0.869047,um,Surface,Displacement Delta,6,1000014218,14352,
0,0,0,um,Surface,Displacement Delta,6,1000014353,14353,
-0.166054,-1.09123,0,um,Surface,Displacement Delta,6,1000014196,14354,
1.92805,-1.69743,3.1,um,Surface,Displacement Delta,6,1000014197,14355,
0.743774,-0.117241,-0.0138893,um,Surface,Displacement Delta,6,1000014198,14356,
0.103783,-1.55675,0,um,Surface,Displacement Delta,6,1000014199,14357,
0.479706,-1.40223,1.13333,um,Surface,Displacement Delta,6,1000014289,14358,
-2.32043,-0.137482,0,um,Surface,Displacement Delta,6,1000014288,14359,
1.92652,-1.18176,0.432494,um,Surface,Displacement Delta,6,1000014200,14360,
1.29728,-0.570816,0,um,Surface,Displacement Delta,6,1000014201,14361,
1.2454,-0.652351,0,um,Surface,Displacement Delta,6,1000014202,14362,
0.860443,1.08691,-0.599998,um,Surface,Displacement Delta,7,1000014185,14363,
0.143692,-1.64856,0,um,Surface,Displacement Delta,7,1000014329,14364,
0.63327,1.11029,-1.42941,um,Surface,Displacement Delta,7,1000014331,14365,
-0.0158234,1.00423,-0.328571,um,Surface,Displacement Delta,7,1000014184,14366,
2.0183,0.642502,0.147541,um,Surface,Displacement Delta,7,1000014187,14367,
-3.32106,2.37003,3,um,Surface,Displacement Delta,7,1000014261,14368,
0.818344,1.23944,0.746412,um,Surface,Displacement Delta,7,1000014298,14369,
-0.0862579,1.28314,-2.45454,um,Surface,Displacement Delta,7,1000014299,14370,
2.77827,-0.194626,0.406448,um,Surface,Displacement Delta,7,1000014207,14371,
0.608856,1.30075,-0.5,um,Surface,Displacement Delta,7,1000014233,14372,
-1.54984,2.71219,0,um,Surface,Displacement Delta,7,1000014302,14373,
-0.64978,2.20717,-2.69565,um,Surface,Displacement Delta,7,1000014304,14374,
-0.691879,3.04431,1.5,um,Surface,Displacement Delta,7,1000014189,14375,
2.45003,0.746246,-0.790178,um,Surface,Displacement Delta,7,1000014239,14376,
3.07462,1.71297,0,um,Surface,Displacement Delta,7,1000014190,14377,
-0.3321,1.32843,0.3,um,Surface,Displacement Delta,7,1000014212,14378,
0.530441,1.28,-0.375,um,Surface,Displacement Delta,7,1000014275,14379,
1.81348,0.196625,0.315789,um,Surface,Displacement Delta,7,1000014193,14380,
4.24622,-0.621513,0,um,Surface,Displacement Delta,7,1000014350,14381,
-0.0653152,-2.49806,0,um,Surface,Displacement Delta,7,1000014216,14382,
-0.825706,1.25453,-1.28571,um,Surface,Displacement Delta,7,1000014218,14383,
-1.08858,4.29893,2.66667,um,Surface,Displacement Delta,7,1000014353,14384,
0.193741,4.64949,-1.1,um,Surface,Displacement Delta,7,1000014197,14385,
0,2.25358,0,um,Surface,Displacement Delta,7,1000014199,14386,
-0.219986,2.97334,2.35897,um,Surface,Displacement Delta,7,1000014289,14387,
-0.812965,1.64323,-0.625,um,Surface,Displacement Delta,7,1000014198,14388,
1.44958,-2.6358,0,um,Surface,Displacement Delta,7,1000014288,14389,
1.23811,2.15942,0.513158,um,Surface,Displacement Delta,7,1000014200,14390,
-1.51578,0.745598,0.473684,um,Surface,Displacement Delta,7,1000014201,14391,
0.701111,-1.43913,-1.6,um,Surface,Displacement Delta,8,1000014184,14392,
2.03659,-2.11963,-1.39412,um,Surface,Displacement Delta,8,1000014331,14393,
0,0,0,um,Surface,Displacement Delta,8,1000014394,14394,
1.39367,-0.778381,0,um,Surface,Displacement Delta,8,1000014329,14395,
0.422684,-0.709503,-0.900002,um,Surface,Displacement Delta,8,1000014185,14396,
0,0,0,um,Surface,Displacement Delta,8,1000014397,14397,
0.0661163,-2.48969,-0.781376,um,Surface,Displacement Delta,8,1000014298,14398,
0.830261,-1.66052,3,um,Surface,Displacement Delta,8,1000014299,14399,
0,0,0,um,Surface,Displacement Delta,8,1000014400,14400,
1.20734,-1.09319,0.125,um,Surface,Displacement Delta,8,1000014233,14401,
0,0,0,um,Surface,Displacement Delta,8,1000014402,14402,
-1.93728,1.10703,-1.5,um,Surface,Displacement Delta,8,1000014302,14403,
1.24541,-1.71983,-5,um,Surface,Displacement Delta,8,1000014304,14404,
3.41687,-1.1496,-1.5,um,Surface,Displacement Delta,8,1000014189,14405,
1.7695,-0.954803,2.34375,um,Surface,Displacement Delta,8,1000014239,14406,
0,0,0,um,Surface,Displacement Delta,8,1000014407,14407,
0.0518875,-0.778366,-1.3125,um,Surface,Displacement Delta,8,1000014193,14408,
1.18188,-0.711102,0,um,Surface,Displacement Delta,8,1000014350,14409,
0.632133,0.773666,0,um,Surface,Displacement Delta,8,1000014216,14410,
2.20339,-1.85214,-0.115385,um,Surface,Displacement Delta,8,1000014218,14411,
0,0,0,um,Surface,Displacement Delta,8,1000014412,14412,
4.79709,-0.784142,0.333334,um,Surface,Displacement Delta,8,1000014353,14413,
0,0,0,um,Surface,Displacement Delta,8,1000014414,14414,
2.31781,-0.934052,-1,um,Surface,Displacement Delta,8,1000014197,14415,
0.791946,-0.740845,-0.0923071,um,Surface,Displacement Delta,8,1000014289,14416,
1.2454,-1.42331,0,um,Surface,Displacement Delta,8,1000014199,14417,
1.19116,-2.24115,0.912162,um,Surface,Displacement Delta,8,1000014198,14418,
3.45944,-2.42162,0.583333,um,Surface,Displacement Delta,8,1000014200,14419,
2.40736,-0.929573,-0.473684,um,Surface,Displacement Delta,8,1000014201,14420,
-2.68477,0.0425873,1.75214,um,Surface,Displacement Delta,9,1000014298,14421,
0,0,0,um,Surface,Displacement Delta,9,1000014422,14422,
-0.415131,-0.567337,0,um,Surface,Displacement Delta,9,1000014397,14423,
-0.830261,-0.830261,0,um,Surface,Displacement Delta,9,1000014184,14424,
-1.9577,-1.60313,-1.16129,um,Surface,Displacement Delta,9,1000014394,14425,
-0.670425,-0.612701,-1.52406,um,Surface,Displacement Delta,9,1000014331,14426,
-2.77744,0.899475,0,um,Surface,Displacement Delta,9,1000014329,14427,
-1.28313,-0.07547,-0.136364,um,Surface,Displacement Delta,9,1000014185,14428,
-0.343964,-0.664246,-0.599998,um,Surface,Displacement Delta,9,1000014299,14429,
0,0,0,um,Surface,Displacement Delta,9,1000014430,14430,
-1.4357,-0.441498,0.40678,um,Surface,Displacement Delta,9,1000014400,14431,
-1.34687,-0.258301,-1,um,Surface,Displacement Delta,9,1000014402,14432,
0,0,0,um,Surface,Displacement Delta,9,1000014433,14433,
-0.830276,-4.15134,-3,um,Surface,Displacement Delta,9,1000014304,14434,
-2.12263,-0.510925,1.58824,um,Surface,Displacement Delta,9,1000014189,14435,
0,0,0,um,Surface,Displacement Delta,9,1000014436,14436,
0,0,0,um,Surface,Displacement Delta,9,1000014407,14437,
0,0,0,um,Surface,Displacement Delta,9,1000014438,14438,
0,0,0,um,Surface,Displacement Delta,9,1000014439,14439,
