
Shortest Distance to Surfaces Surfaces=Surfaces 2
 ==================== 
Shortest Distance to Surfaces,Unit,Category,Surfaces,Time,TrackID,ID,
16.7187,um,Surface,Surfaces 2,4,1000014288,14288,
4.31363,um,Surface,Surfaces 2,4,1000014289,14289,
7.50054,um,Surface,Surfaces 2,4,1000014200,14290,
8.93065,um,Surface,Surfaces 2,4,1000014201,14291,
7.93199,um,Surface,Surfaces 2,4,1000014202,14292,
8.40908,um,Surface,Surfaces 2,5,1000014184,14293,
31.4876,um,Surface,Surfaces 2,5,1000014185,14294,
6.49913,um,Surface,Surfaces 2,5,1000014261,14295,
4.68306,um,Surface,Surfaces 2,5,1000014186,14296,
14.1188,um,Surface,Surfaces 2,5,1000014187,14297,
8.11986,um,Surface,Surfaces 2,5,1000014298,14298,
4.54475,um,Surface,Surfaces 2,5,1000014299,14299,
6.04808,um,Surface,Surfaces 2,5,1000014233,14300,
5.9563,um,Surface,Surfaces 2,5,1000014207,14301,
1.85297,um,Surface,Surfaces 2,5,1000014302,14302,
8.24119,um,Surface,Surfaces 2,5,1000014236,14303,
15.1433,um,Surface,Surfaces 2,5,1000014304,14304,
13.8779,um,Surface,Surfaces 2,5,1000014189,14305,
5.68797,um,Surface,Surfaces 2,5,1000014210,14306,
6.5976,um,Surface,Surfaces 2,5,1000014239,14307,
44.4738,um,Surface,Surfaces 2,5,1000014190,14308,
2.75845,um,Surface,Surfaces 2,5,1000014212,14309,
16.9265,um,Surface,Surfaces 2,5,1000014242,14310,
12.7727,um,Surface,Surfaces 2,5,1000014191,14311,
2.60978,um,Surface,Surfaces 2,5,1000014275,14312,
2.36309,um,Surface,Surfaces 2,5,1000014192,14313,
5.49456,um,Surface,Surfaces 2,5,1000014193,14314,
9.42942,um,Surface,Surfaces 2,5,1000014216,14315,
10.4771,um,Surface,Surfaces 2,5,1000014194,14316,
21.6128,um,Surface,Surfaces 2,5,1000014218,14317,
20.7875,um,Surface,Surfaces 2,5,1000014220,14318,
19.2089,um,Surface,Surfaces 2,5,1000014196,14319,
9.73655,um,Surface,Surfaces 2,5,1000014197,14320,
21.9092,um,Surface,Surfaces 2,5,1000014223,14321,
17.5609,um,Surface,Surfaces 2,5,1000014288,14322,
22.3775,um,Surface,Surfaces 2,5,1000014199,14323,
7.65283,um,Surface,Surfaces 2,5,1000014198,14324,
6.24333,um,Surface,Surfaces 2,5,1000014289,14325,
5.46668,um,Surface,Surfaces 2,5,1000014200,14326,
12.3509,um,Surface,Surfaces 2,5,1000014201,14327,
8.35526,um,Surface,Surfaces 2,5,1000014202,14328,
24.2742,um,Surface,Surfaces 2,6,1000014329,14329,
33.2249,um,Surface,Surfaces 2,6,1000014185,14330,
11.6405,um,Surface,Surfaces 2,6,1000014331,14331,
7.13331,um,Surface,Surfaces 2,6,1000014184,14332,
5.24945,um,Surface,Surfaces 2,6,1000014261,14333,
8.83745,um,Surface,Surfaces 2,6,1000014187,14334,
7.08916,um,Surface,Surfaces 2,6,1000014298,14335,
3.74709,um,Surface,Surfaces 2,6,1000014299,14336,
6.90477,um,Surface,Surfaces 2,6,1000014233,14337,
2.96299,um,Surface,Surfaces 2,6,1000014207,14338,
4.34549,um,Surface,Surfaces 2,6,1000014302,14339,
6.18887,um,Surface,Surfaces 2,6,1000014236,14340,
12.9779,um,Surface,Surfaces 2,6,1000014304,14341,
15.3431,um,Surface,Surfaces 2,6,1000014189,14342,
7.54753,um,Surface,Surfaces 2,6,1000014210,14343,
5.67184,um,Surface,Surfaces 2,6,1000014239,14344,
2.34468,um,Surface,Surfaces 2,6,1000014212,14345,
25.0636,um,Surface,Surfaces 2,6,1000014190,14346,
13.2984,um,Surface,Surfaces 2,6,1000014242,14347,
2.89808,um,Surface,Surfaces 2,6,1000014275,14348,
10.3795,um,Surface,Surfaces 2,6,1000014193,14349,
23.9569,um,Surface,Surfaces 2,6,1000014350,14350,
10.9515,um,Surface,Surfaces 2,6,1000014216,14351,
19.507,um,Surface,Surfaces 2,6,1000014218,14352,
14.104,um,Surface,Surfaces 2,6,1000014353,14353,
21.2706,um,Surface,Surfaces 2,6,1000014196,14354,
9.19752,um,Surface,Surfaces 2,6,1000014197,14355,
10.1566,um,Surface,Surfaces 2,6,1000014198,14356,
21.2705,um,Surface,Surfaces 2,6,1000014199,14357,
7.33901,um,Surface,Surfaces 2,6,1000014289,14358,
11.7475,um,Surface,Surfaces 2,6,1000014288,14359,
3.00006,um,Surface,Surfaces 2,6,1000014200,14360,
9.07761,um,Surface,Surfaces 2,6,1000014201,14361,
6.13895,um,Surface,Surfaces 2,6,1000014202,14362,
33.2802,um,Surface,Surfaces 2,7,1000014185,14363,
27.5526,um,Surface,Surfaces 2,7,1000014329,14364,
13.7584,um,Surface,Surfaces 2,7,1000014331,14365,
6.47433,um,Surface,Surfaces 2,7,1000014184,14366,
3.64059,um,Surface,Surfaces 2,7,1000014187,14367,
8.39408,um,Surface,Surfaces 2,7,1000014261,14368,
5.39069,um,Surface,Surfaces 2,7,1000014298,14369,
4.44668,um,Surface,Surfaces 2,7,1000014299,14370,
1.88196,um,Surface,Surfaces 2,7,1000014207,14371,
3.40106,um,Surface,Surfaces 2,7,1000014233,14372,
