
Track Area Mean
 ==================== 
Track Area Mean,Unit,Category,ID,
20.1108,um^2,Track,1000015174,
42.0519,um^2,Track,1000015179,
81.3782,um^2,Track,1000015180,
73.0414,um^2,Track,1000015184,
68.6888,um^2,Track,1000015190,
52.7917,um^2,Track,1000015202,
63.2257,um^2,Track,1000015204,
19.5435,um^2,Track,1000015206,
21.2107,um^2,Track,1000015207,
80.6102,um^2,Track,1000015208,
48.4635,um^2,Track,1000015213,
31.8197,um^2,Track,1000015219,
58.9797,um^2,Track,1000015221,
10.9334,um^2,Track,1000015228,
39.6956,um^2,Track,1000015237,
23.7238,um^2,Track,1000015240,
70.7408,um^2,Track,1000015248,
97.7216,um^2,Track,1000015251,
61.0148,um^2,Track,1000015267,
22.5187,um^2,Track,1000015268,
30.7139,um^2,Track,1000015274,
46.324,um^2,Track,1000015279,
56.4532,um^2,Track,1000015280,
18.3333,um^2,Track,1000015290,
20.3991,um^2,Track,1000015293,
37.0571,um^2,Track,1000015307,
59.4316,um^2,Track,1000015308,
34.8114,um^2,Track,1000015348,
11.4097,um^2,Track,1000015352,
40.7363,um^2,Track,1000015353,
51.4525,um^2,Track,1000015362,
22.1231,um^2,Track,1000015370,
26.2318,um^2,Track,1000015377,
35.5426,um^2,Track,1000015388,
23.8248,um^2,Track,1000015394,
15.2353,um^2,Track,1000015400,
73.7743,um^2,Track,1000015407,
16.497,um^2,Track,1000015415,
50.0749,um^2,Track,1000015421,
89.3824,um^2,Track,1000015432,
16.1549,um^2,Track,1000015443,
31.529,um^2,Track,1000015450,
38.8755,um^2,Track,1000015455,
16.3334,um^2,Track,1000015461,
99.3627,um^2,Track,1000015477,
12.9027,um^2,Track,1000015497,
80.8949,um^2,Track,1000015502,
41.4731,um^2,Track,1000015503,
29.1686,um^2,Track,1000015508,
35.109,um^2,Track,1000015516,
53.2606,um^2,Track,1000015525,
54.5536,um^2,Track,1000015536,
15.6414,um^2,Track,1000015541,
13.0154,um^2,Track,1000015557,
11.4344,um^2,Track,1000015590,
83.0195,um^2,Track,1000015591,
17.8137,um^2,Track,1000015593,
35.3327,um^2,Track,1000015622,
24.7954,um^2,Track,1000015630,
14.5948,um^2,Track,1000015650,
71.2355,um^2,Track,1000015674,
59.8113,um^2,Track,1000015675,
102.883,um^2,Track,1000015678,
83.3868,um^2,Track,1000015680,
68.7628,um^2,Track,1000015682,
33.7374,um^2,Track,1000015700,
31.713,um^2,Track,1000015706,
39.63,um^2,Track,1000015719,
10.4454,um^2,Track,1000015724,
50.5056,um^2,Track,1000015726,
55.1459,um^2,Track,1000015727,
38.0682,um^2,Track,1000015732,
30.2992,um^2,Track,1000015744,
51.698,um^2,Track,1000015750,
28.9825,um^2,Track,1000015752,
19.7734,um^2,Track,1000015753,
18.6587,um^2,Track,1000015756,
20.1876,um^2,Track,1000015758,
14.3,um^2,Track,1000015767,
27.8059,um^2,Track,1000015768,
22.4473,um^2,Track,1000015772,
63.5224,um^2,Track,1000015781,
19.4152,um^2,Track,1000015782,
17.6219,um^2,Track,1000015808,
33.1561,um^2,Track,1000015810,
42.2923,um^2,Track,1000015856,
33.9585,um^2,Track,1000015857,
14.176,um^2,Track,1000015872,
68.8005,um^2,Track,1000015881,
72.583,um^2,Track,1000015885,
48.6224,um^2,Track,1000015891,
23.004,um^2,Track,1000015910,
10.5519,um^2,Track,1000015931,
42.7325,um^2,Track,1000015937,
49.64,um^2,Track,1000015951,
30.4191,um^2,Track,1000015960,
109.71,um^2,Track,1000015964,
70.2939,um^2,Track,1000015975,
67.1286,um^2,Track,1000015996,
16.5848,um^2,Track,1000016009,
19.8182,um^2,Track,1000016017,
52.3762,um^2,Track,1000016024,
44.0507,um^2,Track,1000016031,
11.8996,um^2,Track,1000016045,
32.5473,um^2,Track,1000016051,
26.0649,um^2,Track,1000016052,
64.912,um^2,Track,1000016073,
