
Track Length
 ==================== 
Track Length,Unit,Category,ID,
34.4005,µm,Track,1001414282,
50.1532,µm,Track,1001432525,
7.49232,µm,Track,1001443126,
15.765,µm,Track,1001444551,
23.3311,µm,Track,1001447832,
15.0771,µm,Track,1001459999,
21.4364,µm,Track,1001463577,
8.71728,µm,Track,1001470670,
15.5251,µm,Track,1001484970,
20.6498,µm,Track,1001498754,
13.5088,µm,Track,1001510065,
10.9293,µm,Track,1001511880,
44.0373,µm,Track,1001515348,
34.9244,µm,Track,1001524529,
53.3463,µm,Track,1001524797,
32.3636,µm,Track,1001531007,
16.828,µm,Track,1001535243,
7.39631,µm,Track,1001536213,
10.1391,µm,Track,1001549656,
13.4707,µm,Track,1001571482,
9.69182,µm,Track,1001585322,
16.6074,µm,Track,1001597972,
62.0727,µm,Track,1001634186,
5.7925,µm,Track,1001641521,
26.2539,µm,Track,1001649683,
13.7518,µm,Track,1001660310,
18.3258,µm,Track,1001662631,
11.67,µm,Track,1001662802,
9.02615,µm,Track,1001692264,
9.41406,µm,Track,1001696991,
28.1456,µm,Track,1001705575,
32.1393,µm,Track,1001708522,
48.2358,µm,Track,1001717292,
9.01638,µm,Track,1001721190,
14.0316,µm,Track,1001721732,
16.2531,µm,Track,1001722530,
15.2131,µm,Track,1001723411,
14.0656,µm,Track,1001735688,
12.393,µm,Track,1001739237,
12.1341,µm,Track,1001745981,
60.8116,µm,Track,1001748846,
15.4284,µm,Track,1001774250,
12.9581,µm,Track,1001792466,
17.7352,µm,Track,1001800294,
18.382,µm,Track,1001831823,
17.4608,µm,Track,1001838017,
33.7842,µm,Track,1001843531,
8.37249,µm,Track,1001850191,
20.6167,µm,Track,1001869026,
14.7895,µm,Track,1001872907,
32.1969,µm,Track,1001874170,
18.3109,µm,Track,1001876881,
13.4163,µm,Track,1001878744,
40.3644,µm,Track,1001889904,
18.5688,µm,Track,1001895167,
14.2314,µm,Track,1001896809,
8.57836,µm,Track,1001904297,
29.5376,µm,Track,1001904618,
18.0695,µm,Track,1001939884,
10.9842,µm,Track,1001942811,
18.6384,µm,Track,1001954731,
15.3132,µm,Track,1001968557,
33.2933,µm,Track,1001968819,
40.5243,µm,Track,1001978360,
13.1839,µm,Track,1002006710,
13.5129,µm,Track,1002029154,
33.0715,µm,Track,1002031500,
38.0658,µm,Track,1002047887,
35.3687,µm,Track,1002051985,
12.9504,µm,Track,1002059095,
11.2757,µm,Track,1002067444,
21.0286,µm,Track,1002067747,
20.763,µm,Track,1002113497,
13.8216,µm,Track,1002124155,
34.0888,µm,Track,1002125541,
15.4728,µm,Track,1002142435,
28.2147,µm,Track,1002148602,
10.1419,µm,Track,1002150876,
26.4133,µm,Track,1002158806,
14.8398,µm,Track,1002180262,
12.3111,µm,Track,1002182375,
13.0903,µm,Track,1002205040,
13.7538,µm,Track,1002211774,
15.9173,µm,Track,1002213141,
24.7664,µm,Track,1002223441,
12.4657,µm,Track,1002227684,
25.0603,µm,Track,1002236414,
23.4937,µm,Track,1002242134,
18.4294,µm,Track,1002242329,
22.165,µm,Track,1002243369,
13.4364,µm,Track,1002246854,
14.656,µm,Track,1002262996,
16.0336,µm,Track,1002273437,
9.81848,µm,Track,1002278860,
10.3955,µm,Track,1002300559,
21.4638,µm,Track,1002307653,
25.1749,µm,Track,1002309454,
17.5368,µm,Track,1002316459,
12.7964,µm,Track,1002316883,
16.3923,µm,Track,1002317275,
18.5844,µm,Track,1002336151,
13.6742,µm,Track,1002336484,
18.738,µm,Track,1002360360,
17.3219,µm,Track,1002367218,
15.3886,µm,Track,1002369367,
13.055,µm,Track,1002382179,
15.7217,µm,Track,1002396861,
11.2347,µm,Track,1002402760,
7.25111,µm,Track,1002404222,
10.7789,µm,Track,1002429210,
15.7092,µm,Track,1002435411,
6.49933,µm,Track,1002453328,
13.5067,µm,Track,1002454260,
7.1791,µm,Track,1002458180,
11.2496,µm,Track,1002460030,
7.59094,µm,Track,1002460974,
5.87935,µm,Track,1002461635,
10.1085,µm,Track,1002463724,
