
Track Volume Mean
 ==================== 
Track Volume Mean,Unit,Category,ID,
17.2835,um^3,Track,1000020475,
24.3335,um^3,Track,1000020486,
37.5464,um^3,Track,1000020497,
14.7934,um^3,Track,1000020507,
16.2121,um^3,Track,1000020516,
3.9795,um^3,Track,1000020521,
46.2093,um^3,Track,1000020533,
42.904,um^3,Track,1000020536,
8.93623,um^3,Track,1000020556,
1.95396,um^3,Track,1000020594,
1.95931,um^3,Track,1000020611,
58.7009,um^3,Track,1000020618,
20.4893,um^3,Track,1000020622,
3.13393,um^3,Track,1000020625,
17.0075,um^3,Track,1000020644,
8.48149,um^3,Track,1000020652,
6.44301,um^3,Track,1000020662,
11.0714,um^3,Track,1000020673,
9.02135,um^3,Track,1000020676,
17.2891,um^3,Track,1000020690,
29.3244,um^3,Track,1000020691,
5.59638,um^3,Track,1000020693,
55.5622,um^3,Track,1000020709,
2.63082,um^3,Track,1000020710,
46.5885,um^3,Track,1000020724,
13.5588,um^3,Track,1000020737,
1.53152,um^3,Track,1000020760,
1.58074,um^3,Track,1000020787,
39.0359,um^3,Track,1000020788,
10.497,um^3,Track,1000020805,
3.95181,um^3,Track,1000020823,
5.68722,um^3,Track,1000020845,
23.4094,um^3,Track,1000020850,
4.93194,um^3,Track,1000020869,
34.2018,um^3,Track,1000020890,
35.1008,um^3,Track,1000020917,
0.79655,um^3,Track,1000020919,
15.2103,um^3,Track,1000020924,
12.3428,um^3,Track,1000020929,
34.9459,um^3,Track,1000020942,
4.46597,um^3,Track,1000020962,
0.771881,um^3,Track,1000020967,
57.8912,um^3,Track,1000020974,
