
Intensity StdDev Ch=2 Img=1
 ==================== 
Intensity StdDev,Unit,Category,Channel,Image,Time,TrackID,ID,
0,,Surface,2,Image 1,1,1000018754,18754,
0,,Surface,2,Image 1,1,1000018755,18755,
0,,Surface,2,Image 1,1,1000018756,18756,
10.8517,,Surface,2,Image 1,1,1000018757,18757,
0,,Surface,2,Image 1,1,1000018758,18758,
0,,Surface,2,Image 1,1,1000018759,18759,
1.8,,Surface,2,Image 1,1,1000018760,18760,
7.98181,,Surface,2,Image 1,1,1000018761,18761,
8.47527,,Surface,2,Image 1,1,1000018762,18762,
0,,Surface,2,Image 1,1,1000018763,18763,
0.330719,,Surface,2,Image 1,1,1000018764,18764,
1.87469,,Surface,2,Image 1,1,1000018765,18765,
62.0423,,Surface,2,Image 1,1,1000018766,18766,
0,,Surface,2,Image 1,1,1000018767,18767,
5.05371,,Surface,2,Image 1,1,1000018768,18768,
2.41197,,Surface,2,Image 1,1,1000018769,18769,
7.28011,,Surface,2,Image 1,1,1000018770,18770,
1.29904,,Surface,2,Image 1,1,1000018771,18771,
1.11803,,Surface,2,Image 1,1,1000018772,18772,
0,,Surface,2,Image 1,1,1000018773,18773,
0,,Surface,2,Image 1,1,1000018774,18774,
0,,Surface,2,Image 1,1,1000018775,18775,
4.39978,,Surface,2,Image 1,1,1000018776,18776,
3.12616,,Surface,2,Image 1,1,1000018777,18777,
1.32288,,Surface,2,Image 1,1,1000018778,18778,
0,,Surface,2,Image 1,1,1000018779,18779,
5.60643,,Surface,2,Image 1,2,1000018770,18780,
0,,Surface,2,Image 1,2,1000018754,18781,
11.1706,,Surface,2,Image 1,2,1000018755,18782,
2.23607,,Surface,2,Image 1,2,1000018756,18783,
8.4,,Surface,2,Image 1,2,1000018757,18784,
0,,Surface,2,Image 1,2,1000018759,18785,
33.9837,,Surface,2,Image 1,2,1000018758,18786,
3.45697,,Surface,2,Image 1,2,1000018760,18787,
0,,Surface,2,Image 1,2,1000018788,18788,
7.4135,,Surface,2,Image 1,2,1000018761,18789,
18.7942,,Surface,2,Image 1,2,1000018762,18790,
0,,Surface,2,Image 1,2,1000018763,18791,
9.94703,,Surface,2,Image 1,2,1000018764,18792,
0.328671,,Surface,2,Image 1,2,1000018765,18793,
15.9232,,Surface,2,Image 1,2,1000018794,18794,
72.3497,,Surface,2,Image 1,2,1000018766,18795,
0,,Surface,2,Image 1,2,1000018767,18796,
0,,Surface,2,Image 1,2,1000018797,18797,
5.89052,,Surface,2,Image 1,2,1000018768,18798,
9.73697,,Surface,2,Image 1,2,1000018799,18799,
6.76126,,Surface,2,Image 1,2,1000018769,18800,
18.0555,,Surface,2,Image 1,2,1000018771,18801,
0,,Surface,2,Image 1,2,1000018802,18802,
0,,Surface,2,Image 1,2,1000018772,18803,
20.327,,Surface,2,Image 1,2,1000018773,18804,
0,,Surface,2,Image 1,2,1000018774,18805,
0,,Surface,2,Image 1,2,1000018775,18806,
2.4,,Surface,2,Image 1,2,1000018776,18807,
0,,Surface,2,Image 1,2,1000018777,18808,
0,,Surface,2,Image 1,2,1000018809,18809,
0,,Surface,2,Image 1,2,1000018778,18810,
2.32115,,Surface,2,Image 1,2,1000018779,18811,
0,,Surface,2,Image 1,3,1000018812,18812,
2.19809,,Surface,2,Image 1,3,1000018755,18813,
4,,Surface,2,Image 1,3,1000018756,18814,
0.4,,Surface,2,Image 1,3,1000018757,18815,
0,,Surface,2,Image 1,3,1000018816,18816,
8.04832,,Surface,2,Image 1,3,1000018759,18817,
12.2984,,Surface,2,Image 1,3,1000018758,18818,
4.68078,,Surface,2,Image 1,3,1000018760,18819,
3.8694,,Surface,2,Image 1,3,1000018788,18820,
6.68838,,Surface,2,Image 1,3,1000018761,18821,
11.5893,,Surface,2,Image 1,3,1000018762,18822,
2.20036,,Surface,2,Image 1,3,1000018763,18823,
0,,Surface,2,Image 1,3,1000018764,18824,
6.11057,,Surface,2,Image 1,3,1000018765,18825,
6.47431,,Surface,2,Image 1,3,1000018794,18826,
63.1706,,Surface,2,Image 1,3,1000018766,18827,
0,,Surface,2,Image 1,3,1000018767,18828,
15.0499,,Surface,2,Image 1,3,1000018797,18829,
1.74611,,Surface,2,Image 1,3,1000018768,18830,
10.7093,,Surface,2,Image 1,3,1000018799,18831,
0,,Surface,2,Image 1,3,1000018754,18832,
5.34258,,Surface,2,Image 1,3,1000018769,18833,
0.784193,,Surface,2,Image 1,3,1000018770,18834,
37.6721,,Surface,2,Image 1,3,1000018771,18835,
0,,Surface,2,Image 1,3,1000018802,18836,
0,,Surface,2,Image 1,3,1000018772,18837,
1.74964,,Surface,2,Image 1,3,1000018773,18838,
0,,Surface,2,Image 1,3,1000018774,18839,
0,,Surface,2,Image 1,3,1000018775,18840,
2.16506,,Surface,2,Image 1,3,1000018776,18841,
2.01236,,Surface,2,Image 1,3,1000018777,18842,
0,,Surface,2,Image 1,3,1000018809,18843,
4.63006,,Surface,2,Image 1,3,1000018778,18844,
0,,Surface,2,Image 1,3,1000018779,18845,
6.4214,,Surface,2,Image 1,4,1000018770,18846,
1.04396,,Surface,2,Image 1,4,1000018769,18847,
0,,Surface,2,Image 1,4,1000018754,18848,
0,,Surface,2,Image 1,4,1000018812,18849,
0,,Surface,2,Image 1,4,1000018755,18850,
3.77124,,Surface,2,Image 1,4,1000018756,18851,
16,,Surface,2,Image 1,4,1000018757,18852,
0,,Surface,2,Image 1,4,1000018758,18853,
