
Intensity Sum Ch=4 Img=1
 ==================== 
Intensity Sum,Unit,Category,Channel,Image,Time,TrackID,ID,
253,,Surface,4,Image 1,1,1000018754,18754,
3981,,Surface,4,Image 1,1,1000018755,18755,
582,,Surface,4,Image 1,1,1000018756,18756,
1275,,Surface,4,Image 1,1,1000018757,18757,
510,,Surface,4,Image 1,1,1000018758,18758,
765,,Surface,4,Image 1,1,1000018759,18759,
2393,,Surface,4,Image 1,1,1000018760,18760,
8670,,Surface,4,Image 1,1,1000018761,18761,
4590,,Surface,4,Image 1,1,1000018762,18762,
4461,,Surface,4,Image 1,1,1000018763,18763,
2040,,Surface,4,Image 1,1,1000018764,18764,
1396,,Surface,4,Image 1,1,1000018765,18765,
6537,,Surface,4,Image 1,1,1000018766,18766,
143,,Surface,4,Image 1,1,1000018767,18767,
6481,,Surface,4,Image 1,1,1000018768,18768,
5383,,Surface,4,Image 1,1,1000018769,18769,
3971,,Surface,4,Image 1,1,1000018770,18770,
1020,,Surface,4,Image 1,1,1000018771,18771,
1211,,Surface,4,Image 1,1,1000018772,18772,
1020,,Surface,4,Image 1,1,1000018773,18773,
422,,Surface,4,Image 1,1,1000018774,18774,
478,,Surface,4,Image 1,1,1000018775,18775,
1653,,Surface,4,Image 1,1,1000018776,18776,
4074,,Surface,4,Image 1,1,1000018777,18777,
282,,Surface,4,Image 1,1,1000018778,18778,
1497,,Surface,4,Image 1,1,1000018779,18779,
4220,,Surface,4,Image 1,2,1000018770,18780,
381,,Surface,4,Image 1,2,1000018754,18781,
2579,,Surface,4,Image 1,2,1000018755,18782,
954,,Surface,4,Image 1,2,1000018756,18783,
1240,,Surface,4,Image 1,2,1000018757,18784,
1020,,Surface,4,Image 1,2,1000018759,18785,
765,,Surface,4,Image 1,2,1000018758,18786,
2143,,Surface,4,Image 1,2,1000018760,18787,
1086,,Surface,4,Image 1,2,1000018788,18788,
7650,,Surface,4,Image 1,2,1000018761,18789,
3060,,Surface,4,Image 1,2,1000018762,18790,
3707,,Surface,4,Image 1,2,1000018763,18791,
5355,,Surface,4,Image 1,2,1000018764,18792,
1863,,Surface,4,Image 1,2,1000018765,18793,
2736,,Surface,4,Image 1,2,1000018794,18794,
7169,,Surface,4,Image 1,2,1000018766,18795,
379,,Surface,4,Image 1,2,1000018767,18796,
642,,Surface,4,Image 1,2,1000018797,18797,
3245,,Surface,4,Image 1,2,1000018768,18798,
8160,,Surface,4,Image 1,2,1000018799,18799,
5817,,Surface,4,Image 1,2,1000018769,18800,
765,,Surface,4,Image 1,2,1000018771,18801,
412,,Surface,4,Image 1,2,1000018802,18802,
