
Distance from Origin
 ==================== 
Distance from Origin,Unit,Category,Collection,Time,TrackID,ID,
416.919,um,Surface,Distance from Origin,4,1000018763,18862,
437.015,um,Surface,Distance from Origin,4,1000018765,18863,
416.273,um,Surface,Distance from Origin,4,1000018794,18864,
431.886,um,Surface,Distance from Origin,4,1000018766,18865,
460.716,um,Surface,Distance from Origin,4,1000018767,18866,
461.488,um,Surface,Distance from Origin,4,1000018867,18867,
463.64,um,Surface,Distance from Origin,4,1000018797,18868,
465.538,um,Surface,Distance from Origin,4,1000018768,18869,
483.3,um,Surface,Distance from Origin,4,1000018799,18870,
313.946,um,Surface,Distance from Origin,4,1000018771,18871,
345.856,um,Surface,Distance from Origin,4,1000018802,18872,
328.403,um,Surface,Distance from Origin,4,1000018772,18873,
301.307,um,Surface,Distance from Origin,4,1000018773,18874,
280.505,um,Surface,Distance from Origin,4,1000018774,18875,
287.8,um,Surface,Distance from Origin,4,1000018775,18876,
247.915,um,Surface,Distance from Origin,4,1000018776,18877,
250.71,um,Surface,Distance from Origin,4,1000018777,18878,
260.651,um,Surface,Distance from Origin,4,1000018809,18879,
198.813,um,Surface,Distance from Origin,4,1000018778,18880,
209.883,um,Surface,Distance from Origin,4,1000018779,18881,
372.555,um,Surface,Distance from Origin,5,1000018755,18882,
387.088,um,Surface,Distance from Origin,5,1000018812,18883,
384.862,um,Surface,Distance from Origin,5,1000018756,18884,
417.213,um,Surface,Distance from Origin,5,1000018757,18885,
385.334,um,Surface,Distance from Origin,5,1000018816,18886,
405.916,um,Surface,Distance from Origin,5,1000018759,18887,
414.793,um,Surface,Distance from Origin,5,1000018758,18888,
388.568,um,Surface,Distance from Origin,5,1000018760,18889,
382.24,um,Surface,Distance from Origin,5,1000018788,18890,
383.64,um,Surface,Distance from Origin,5,1000018858,18891,
390.693,um,Surface,Distance from Origin,5,1000018761,18892,
392.193,um,Surface,Distance from Origin,5,1000018762,18893,
436.745,um,Surface,Distance from Origin,5,1000018764,18894,
416.575,um,Surface,Distance from Origin,5,1000018763,18895,
435.405,um,Surface,Distance from Origin,5,1000018765,18896,
