
Track Speed StdDev
 ==================== 
Track Speed StdDev,Unit,Category,ID,
0.0169177,um/s,Track,1000018754,
0.011716,um/s,Track,1000018755,
0.0244144,um/s,Track,1000018756,
0.0187439,um/s,Track,1000018757,
0.0215297,um/s,Track,1000018758,
0.0192467,um/s,Track,1000018759,
0.00643344,um/s,Track,1000018760,
0.0141112,um/s,Track,1000018761,
0.011157,um/s,Track,1000018762,
0.0106032,um/s,Track,1000018763,
0.0132818,um/s,Track,1000018764,
0.0133373,um/s,Track,1000018765,
0.0120131,um/s,Track,1000018766,
0.0121755,um/s,Track,1000018767,
0.0160816,um/s,Track,1000018768,
0.0210448,um/s,Track,1000018769,
0.0163397,um/s,Track,1000018770,
0.0114457,um/s,Track,1000018771,
0.0177388,um/s,Track,1000018772,
0.00883189,um/s,Track,1000018773,
0.0119766,um/s,Track,1000018774,
0.0133453,um/s,Track,1000018775,
0.0120027,um/s,Track,1000018776,
0.0136362,um/s,Track,1000018777,
0.00692175,um/s,Track,1000018778,
0.0149125,um/s,Track,1000018779,
0.023505,um/s,Track,1000018788,
0.0159894,um/s,Track,1000018794,
0.0114466,um/s,Track,1000018797,
0.0140489,um/s,Track,1000018799,
0.0146631,um/s,Track,1000018802,
0.00935944,um/s,Track,1000018809,
0.0198578,um/s,Track,1000018812,
0.0130127,um/s,Track,1000018816,
0.01788,um/s,Track,1000018858,
0.0265678,um/s,Track,1000018867,
0.0183045,um/s,Track,1000018904,
0.018158,um/s,Track,1000018912,
0.0246404,um/s,Track,1000018913,
0.0220146,um/s,Track,1000018919,
0.00921842,um/s,Track,1000018930,
0.00905666,um/s,Track,1000018933,
0.0165342,um/s,Track,1000018947,
0.0276412,um/s,Track,1000018964,
0.0106122,um/s,Track,1000018970,
0.00764314,um/s,Track,1000018978,
0.0118121,um/s,Track,1000018996,
0.0244975,um/s,Track,1000019002,
0.0138577,um/s,Track,1000019003,
0.023816,um/s,Track,1000019004,
0.0128669,um/s,Track,1000019007,
0.0131363,um/s,Track,1000019049,
0.0118715,um/s,Track,1000019064,
0.017495,um/s,Track,1000019087,
0.0184777,um/s,Track,1000019108,
0.00688702,um/s,Track,1000019109,
0.0237761,um/s,Track,1000019114,
0.0102986,um/s,Track,1000019133,
0.0113922,um/s,Track,1000019150,
0.0139549,um/s,Track,1000019152,
0.0134555,um/s,Track,1000019180,
0.0151969,um/s,Track,1000019191,
0.0103664,um/s,Track,1000019216,
0.00919877,um/s,Track,1000019240,
0.0139578,um/s,Track,1000019271,
0.0248757,um/s,Track,1000019284,
0.0154577,um/s,Track,1000019297,
0.0208814,um/s,Track,1000019310,
0.0300823,um/s,Track,1000019324,
0.0128053,um/s,Track,1000019340,
0.0223724,um/s,Track,1000019350,
0.0142392,um/s,Track,1000019353,
0.0133174,um/s,Track,1000019354,
0.0155205,um/s,Track,1000019361,
0.0191463,um/s,Track,1000019395,
0.018955,um/s,Track,1000019396,
0.00634302,um/s,Track,1000019405,
0.0179733,um/s,Track,1000019412,
0.026755,um/s,Track,1000019436,
0.00430721,um/s,Track,1000019450,
0.014792,um/s,Track,1000019465,
0.00592059,um/s,Track,1000019472,
0.00698635,um/s,Track,1000019477,
0.0209801,um/s,Track,1000019486,
0.0170153,um/s,Track,1000019491,
0.0162315,um/s,Track,1000019516,
0.0137006,um/s,Track,1000019522,
0.0102032,um/s,Track,1000019553,
0.0219891,um/s,Track,1000019599,
0.0188302,um/s,Track,1000019600,
0.0140453,um/s,Track,1000019614,
0.0101206,um/s,Track,1000019617,
0.0340351,um/s,Track,1000019632,
0.00456748,um/s,Track,1000019633,
0.00958893,um/s,Track,1000019658,
0.00883395,um/s,Track,1000019676,
0.0115853,um/s,Track,1000019699,
0.0221097,um/s,Track,1000019726,
0.012588,um/s,Track,1000019742,
0.0131437,um/s,Track,1000019751,
0.014448,um/s,Track,1000019755,
0.0307429,um/s,Track,1000019758,
0.0138486,um/s,Track,1000019764,
0.0173986,um/s,Track,1000019783,
0.0159944,um/s,Track,1000019786,
0.0131132,um/s,Track,1000019826,
0.00765443,um/s,Track,1000019827,
0.0114591,um/s,Track,1000019831,
0.0113284,um/s,Track,1000019844,
0.00620553,um/s,Track,1000019845,
0.00792914,um/s,Track,1000019850,
0.00798467,um/s,Track,1000019861,
0.012035,um/s,Track,1000019878,
0.0311985,um/s,Track,1000019903,
0.0101125,um/s,Track,1000019906,
0.00857772,um/s,Track,1000019933,
0.0161392,um/s,Track,1000019940,
0.0103283,um/s,Track,1000019946,
0.0125182,um/s,Track,1000019966,
0.0191764,um/s,Track,1000019974,
0.0112497,um/s,Track,1000020053,
0.00809497,um/s,Track,1000020057,
0.0239011,um/s,Track,1000020077,
0.00877595,um/s,Track,1000020087,
0.0159465,um/s,Track,1000020103,
0.0120938,um/s,Track,1000020120,
0.0118012,um/s,Track,1000020125,
0.0158433,um/s,Track,1000020126,
0.0227767,um/s,Track,1000020133,
0.00494253,um/s,Track,1000020165,
0.0175755,um/s,Track,1000020170,
0.00964255,um/s,Track,1000020171,
0.00540072,um/s,Track,1000020183,
0.0183627,um/s,Track,1000020189,
0.0130651,um/s,Track,1000020218,
0.0122335,um/s,Track,1000020219,
0.0182997,um/s,Track,1000020221,
0.0117052,um/s,Track,1000020222,
0.0218713,um/s,Track,1000020224,
0.00601508,um/s,Track,1000020226,
0.0132718,um/s,Track,1000020228,
0.0150056,um/s,Track,1000020245,
0.0121269,um/s,Track,1000020250,
0.00950691,um/s,Track,1000020287,
0.0176981,um/s,Track,1000020289,
0.0131067,um/s,Track,1000020293,
0.0109325,um/s,Track,1000020297,
0.0120398,um/s,Track,1000020331,
0.00631419,um/s,Track,1000020336,
0.0215999,um/s,Track,1000020363,
0.022824,um/s,Track,1000020386,
0.0118768,um/s,Track,1000020388,
0.00832408,um/s,Track,1000020440,
0.012351,um/s,Track,1000020457,
0.0244154,um/s,Track,1000020475,
0.00912427,um/s,Track,1000020486,
0.00886161,um/s,Track,1000020497,
0.0081506,um/s,Track,1000020507,
0.0145214,um/s,Track,1000020516,
0.018664,um/s,Track,1000020521,
0.0105393,um/s,Track,1000020533,
0.0151793,um/s,Track,1000020536,
0.012635,um/s,Track,1000020556,
0.0205905,um/s,Track,1000020594,
0.00947045,um/s,Track,1000020611,
0.00812995,um/s,Track,1000020618,
0.0189161,um/s,Track,1000020622,
0.0163705,um/s,Track,1000020625,
0.0142561,um/s,Track,1000020644,
0.00904454,um/s,Track,1000020652,
0.0191057,um/s,Track,1000020662,
0.0129886,um/s,Track,1000020673,
0.00903656,um/s,Track,1000020676,
0.0154037,um/s,Track,1000020690,
0.0393216,um/s,Track,1000020691,
0.0150301,um/s,Track,1000020693,
0.0126242,um/s,Track,1000020709,
0.0252701,um/s,Track,1000020710,
0.00788409,um/s,Track,1000020724,
0.0352276,um/s,Track,1000020737,
0.0140007,um/s,Track,1000020760,
