
Track Speed Variation
 ==================== 
Track Speed Variation,Unit,Category,ID,
0.296505,,Track,1000018754,
0.306676,,Track,1000018755,
0.338985,,Track,1000018756,
0.583552,,Track,1000018757,
0.504997,,Track,1000018758,
0.410157,,Track,1000018759,
0.236475,,Track,1000018760,
0.371707,,Track,1000018761,
0.26833,,Track,1000018762,
0.350236,,Track,1000018763,
0.356885,,Track,1000018764,
0.256293,,Track,1000018765,
0.426178,,Track,1000018766,
0.329117,,Track,1000018767,
0.425893,,Track,1000018768,
0.543761,,Track,1000018769,
0.392154,,Track,1000018770,
0.366122,,Track,1000018771,
0.28998,,Track,1000018772,
0.308475,,Track,1000018773,
0.293549,,Track,1000018774,
0.315075,,Track,1000018775,
0.330758,,Track,1000018776,
0.409517,,Track,1000018777,
0.266453,,Track,1000018778,
0.408905,,Track,1000018779,
0.439962,,Track,1000018788,
0.27946,,Track,1000018794,
0.524216,,Track,1000018797,
0.451883,,Track,1000018799,
0.396274,,Track,1000018802,
0.234476,,Track,1000018809,
0.27162,,Track,1000018812,
0.162662,,Track,1000018816,
0.317472,,Track,1000018858,
0.393933,,Track,1000018867,
0.413284,,Track,1000018904,
0.315074,,Track,1000018912,
0.405999,,Track,1000018913,
0.405612,,Track,1000018919,
0.365584,,Track,1000018930,
0.225672,,Track,1000018933,
0.471343,,Track,1000018947,
0.329702,,Track,1000018964,
0.232229,,Track,1000018970,
0.222879,,Track,1000018978,
0.423236,,Track,1000018996,
0.432392,,Track,1000019002,
0.193299,,Track,1000019003,
0.380322,,Track,1000019004,
0.325845,,Track,1000019007,
0.266432,,Track,1000019049,
0.289309,,Track,1000019064,
0.382386,,Track,1000019087,
0.342022,,Track,1000019108,
0.175916,,Track,1000019109,
0.390332,,Track,1000019114,
0.324362,,Track,1000019133,
0.424683,,Track,1000019150,
0.397248,,Track,1000019152,
0.358589,,Track,1000019180,
0.198583,,Track,1000019191,
0.292596,,Track,1000019216,
0.167481,,Track,1000019240,
0.173174,,Track,1000019271,
0.30148,,Track,1000019284,
0.395012,,Track,1000019297,
0.418754,,Track,1000019310,
0.395964,,Track,1000019324,
0.331316,,Track,1000019340,
0.329601,,Track,1000019350,
0.347942,,Track,1000019353,
0.335436,,Track,1000019354,
0.332916,,Track,1000019361,
0.297212,,Track,1000019395,
0.557139,,Track,1000019396,
0.21032,,Track,1000019405,
0.465354,,Track,1000019412,
0.348038,,Track,1000019436,
0.131772,,Track,1000019450,
0.287241,,Track,1000019465,
0.211464,,Track,1000019472,
0.196403,,Track,1000019477,
0.351286,,Track,1000019486,
