
Intensity Sum Ch=5 Img=1
 ==================== 
Intensity Sum,Unit,Category,Channel,Image,Time,TrackID,ID,
1529,,Surface,5,Image 1,4,1000018774,18875,
1717,,Surface,5,Image 1,4,1000018775,18876,
2017,,Surface,5,Image 1,4,1000018776,18877,
4766,,Surface,5,Image 1,4,1000018777,18878,
4607,,Surface,5,Image 1,4,1000018809,18879,
1425,,Surface,5,Image 1,4,1000018778,18880,
5298,,Surface,5,Image 1,4,1000018779,18881,
4242,,Surface,5,Image 1,5,1000018755,18882,
2518,,Surface,5,Image 1,5,1000018812,18883,
1785,,Surface,5,Image 1,5,1000018756,18884,
955,,Surface,5,Image 1,5,1000018757,18885,
2698,,Surface,5,Image 1,5,1000018816,18886,
4590,,Surface,5,Image 1,5,1000018759,18887,
915,,Surface,5,Image 1,5,1000018758,18888,
2577,,Surface,5,Image 1,5,1000018760,18889,
3315,,Surface,5,Image 1,5,1000018788,18890,
1275,,Surface,5,Image 1,5,1000018858,18891,
7283,,Surface,5,Image 1,5,1000018761,18892,
2050,,Surface,5,Image 1,5,1000018762,18893,
6733,,Surface,5,Image 1,5,1000018764,18894,
6776,,Surface,5,Image 1,5,1000018763,18895,
11875,,Surface,5,Image 1,5,1000018765,18896,
2550,,Surface,5,Image 1,5,1000018794,18897,
5668,,Surface,5,Image 1,5,1000018766,18898,
943,,Surface,5,Image 1,5,1000018867,18899,
1275,,Surface,5,Image 1,5,1000018767,18900,
1701,,Surface,5,Image 1,5,1000018797,18901,
2739,,Surface,5,Image 1,5,1000018768,18902,
7167,,Surface,5,Image 1,5,1000018799,18903,
482,,Surface,5,Image 1,5,1000018904,18904,
255,,Surface,5,Image 1,5,1000018754,18905,
4450,,Surface,5,Image 1,5,1000018769,18906,
3729,,Surface,5,Image 1,5,1000018770,18907,
1020,,Surface,5,Image 1,5,1000018771,18908,
1248,,Surface,5,Image 1,5,1000018802,18909,
491,,Surface,5,Image 1,5,1000018772,18910,
1275,,Surface,5,Image 1,5,1000018773,18911,
3722,,Surface,5,Image 1,5,1000018912,18912,
1733,,Surface,5,Image 1,5,1000018913,18913,
2269,,Surface,5,Image 1,5,1000018774,18914,
3009,,Surface,5,Image 1,5,1000018775,18915,
3762,,Surface,5,Image 1,5,1000018776,18916,
4421,,Surface,5,Image 1,5,1000018777,18917,
