
Track Ar1 Mean
 ==================== 
Track Ar1 Mean,Unit,Category,ID,
-0.207447,,Track,1000020673,
-0.047138,,Track,1000020676,
-0.0865953,,Track,1000020690,
-0.205233,,Track,1000020691,
0.133757,,Track,1000020693,
-0.357327,,Track,1000020709,
-0.282612,,Track,1000020710,
-0.416763,,Track,1000020724,
-0.512789,,Track,1000020737,
0.0121361,,Track,1000020760,
-0.267505,,Track,1000020787,
-0.242385,,Track,1000020788,
-0.26599,,Track,1000020805,
-0.339494,,Track,1000020823,
-0.360728,,Track,1000020845,
-0.411539,,Track,1000020850,
-0.337083,,Track,1000020869,
-0.160635,,Track,1000020890,
-0.23919,,Track,1000020917,
-0.353963,,Track,1000020919,
-0.0668824,,Track,1000020924,
-0.384188,,Track,1000020929,
-0.600478,,Track,1000020942,
-0.446806,,Track,1000020962,
-0.366367,,Track,1000020967,
-0.513577,,Track,1000020974,
