
Track Sphericity Mean
 ==================== 
Track Sphericity Mean,Unit,Category,ID,
0.822995,,Track,1000018754,
0.813508,,Track,1000018755,
0.792253,,Track,1000018756,
0.807736,,Track,1000018757,
0.810633,,Track,1000018758,
0.838672,,Track,1000018759,
0.772857,,Track,1000018760,
0.772303,,Track,1000018761,
0.903231,,Track,1000018762,
0.81453,,Track,1000018763,
0.874139,,Track,1000018764,
0.871028,,Track,1000018765,
0.836778,,Track,1000018766,
0.761414,,Track,1000018767,
0.799378,,Track,1000018768,
0.812381,,Track,1000018769,
0.824664,,Track,1000018770,
0.786171,,Track,1000018771,
0.72422,,Track,1000018772,
0.886084,,Track,1000018773,
0.842616,,Track,1000018774,
0.855793,,Track,1000018775,
0.863219,,Track,1000018776,
0.883857,,Track,1000018777,
0.877342,,Track,1000018778,
0.864755,,Track,1000018779,
0.779048,,Track,1000018788,
0.721621,,Track,1000018794,
0.826609,,Track,1000018797,
0.876126,,Track,1000018799,
0.829766,,Track,1000018802,
0.833915,,Track,1000018809,
0.845693,,Track,1000018812,
0.778214,,Track,1000018816,
0.738069,,Track,1000018858,
0.729906,,Track,1000018867,
0.693784,,Track,1000018904,
0.804693,,Track,1000018912,
0.849003,,Track,1000018913,
0.845076,,Track,1000018919,
0.865027,,Track,1000018930,
0.781209,,Track,1000018933,
0.803134,,Track,1000018947,
0.788072,,Track,1000018964,
0.821525,,Track,1000018970,
0.852307,,Track,1000018978,
0.861672,,Track,1000018996,
0.786668,,Track,1000019002,
0.795652,,Track,1000019003,
0.845252,,Track,1000019004,
0.831093,,Track,1000019007,
0.846536,,Track,1000019049,
0.721229,,Track,1000019064,
0.85372,,Track,1000019087,
0.766638,,Track,1000019108,
0.712279,,Track,1000019109,
0.822698,,Track,1000019114,
0.851311,,Track,1000019133,
0.917319,,Track,1000019150,
0.824999,,Track,1000019152,
0.854395,,Track,1000019180,
0.860298,,Track,1000019191,
0.793068,,Track,1000019216,
0.806329,,Track,1000019240,
0.775079,,Track,1000019271,
0.826287,,Track,1000019284,
0.859271,,Track,1000019297,
0.858562,,Track,1000019310,
0.796247,,Track,1000019324,
0.849752,,Track,1000019340,
0.775595,,Track,1000019350,
0.807731,,Track,1000019353,
0.862039,,Track,1000019354,
0.763767,,Track,1000019361,
0.818031,,Track,1000019395,
0.818222,,Track,1000019396,
0.860638,,Track,1000019405,
0.710641,,Track,1000019412,
0.854696,,Track,1000019436,
0.730701,,Track,1000019450,
0.805455,,Track,1000019465,
