
Track Speed Max
 ==================== 
Track Speed Max,Unit,Category,ID,
0.0941356,um/s,Track,1000018754,
0.0607776,um/s,Track,1000018755,
0.112025,um/s,Track,1000018756,
0.0631599,um/s,Track,1000018757,
0.0988601,um/s,Track,1000018758,
0.0796279,um/s,Track,1000018759,
0.0392501,um/s,Track,1000018760,
0.0918412,um/s,Track,1000018761,
0.0729146,um/s,Track,1000018762,
0.048687,um/s,Track,1000018763,
0.0832593,um/s,Track,1000018764,
0.080955,um/s,Track,1000018765,
0.0609445,um/s,Track,1000018766,
0.0517351,um/s,Track,1000018767,
0.0703589,um/s,Track,1000018768,
0.0816667,um/s,Track,1000018769,
0.0801833,um/s,Track,1000018770,
0.0463637,um/s,Track,1000018771,
0.0919123,um/s,Track,1000018772,
0.0547801,um/s,Track,1000018773,
0.0666731,um/s,Track,1000018774,
0.0674266,um/s,Track,1000018775,
0.0733006,um/s,Track,1000018776,
0.0636823,um/s,Track,1000018777,
0.0397249,um/s,Track,1000018778,
0.0870536,um/s,Track,1000018779,
0.0944913,um/s,Track,1000018788,
0.0773285,um/s,Track,1000018794,
0.0381132,um/s,Track,1000018797,
0.0718972,um/s,Track,1000018799,
0.0633128,um/s,Track,1000018802,
0.0545937,um/s,Track,1000018809,
0.100888,um/s,Track,1000018812,
0.10191,um/s,Track,1000018816,
0.0774485,um/s,Track,1000018858,
0.111255,um/s,Track,1000018867,
0.081914,um/s,Track,1000018904,
0.0813822,um/s,Track,1000018912,
0.12862,um/s,Track,1000018913,
0.0762497,um/s,Track,1000018919,
0.0411069,um/s,Track,1000018930,
0.0525136,um/s,Track,1000018933,
0.0860947,um/s,Track,1000018947,
0.115964,um/s,Track,1000018964,
0.0653689,um/s,Track,1000018970,
0.0562638,um/s,Track,1000018978,
0.0519863,um/s,Track,1000018996,
0.114197,um/s,Track,1000019002,
0.0892302,um/s,Track,1000019003,
0.0992834,um/s,Track,1000019004,
0.0692172,um/s,Track,1000019007,
0.0687724,um/s,Track,1000019049,
0.0626787,um/s,Track,1000019064,
0.0799455,um/s,Track,1000019087,
0.082155,um/s,Track,1000019108,
0.0479152,um/s,Track,1000019109,
0.111118,um/s,Track,1000019114,
0.0642529,um/s,Track,1000019133,
0.0609535,um/s,Track,1000019150,
0.0657267,um/s,Track,1000019152,
0.0603033,um/s,Track,1000019180,
0.109368,um/s,Track,1000019191,
0.0631448,um/s,Track,1000019216,
0.06302,um/s,Track,1000019240,
0.101902,um/s,Track,1000019271,
0.138743,um/s,Track,1000019284,
0.0677298,um/s,Track,1000019297,
0.0798915,um/s,Track,1000019310,
0.135007,um/s,Track,1000019324,
0.0756884,um/s,Track,1000019340,
0.105004,um/s,Track,1000019350,
0.0749637,um/s,Track,1000019353,
0.055779,um/s,Track,1000019354,
0.0864407,um/s,Track,1000019361,
0.0991777,um/s,Track,1000019395,
0.0823085,um/s,Track,1000019396,
0.0474095,um/s,Track,1000019405,
0.0697709,um/s,Track,1000019412,
0.130604,um/s,Track,1000019436,
0.0441964,um/s,Track,1000019450,
0.0672477,um/s,Track,1000019465,
0.0361922,um/s,Track,1000019472,
0.0530189,um/s,Track,1000019477,
0.10988,um/s,Track,1000019486,
0.081352,um/s,Track,1000019491,
0.0891817,um/s,Track,1000019516,
0.0810575,um/s,Track,1000019522,
0.0474067,um/s,Track,1000019553,
0.0999186,um/s,Track,1000019599,
0.105267,um/s,Track,1000019600,
0.0821184,um/s,Track,1000019614,
0.050549,um/s,Track,1000019617,
0.131995,um/s,Track,1000019632,
0.0825973,um/s,Track,1000019633,
0.0362395,um/s,Track,1000019658,
0.0584974,um/s,Track,1000019676,
0.0558057,um/s,Track,1000019699,
0.109724,um/s,Track,1000019726,
0.0552927,um/s,Track,1000019742,
0.062929,um/s,Track,1000019751,
0.0633823,um/s,Track,1000019755,
0.112806,um/s,Track,1000019758,
0.0609042,um/s,Track,1000019764,
0.0695351,um/s,Track,1000019783,
0.0913627,um/s,Track,1000019786,
0.0595777,um/s,Track,1000019826,
0.0523996,um/s,Track,1000019827,
0.0652445,um/s,Track,1000019831,
0.0505855,um/s,Track,1000019844,
0.0517125,um/s,Track,1000019845,
0.0440038,um/s,Track,1000019850,
0.0449951,um/s,Track,1000019861,
0.0577794,um/s,Track,1000019878,
0.117089,um/s,Track,1000019903,
0.056818,um/s,Track,1000019906,
0.0435056,um/s,Track,1000019933,
0.0723857,um/s,Track,1000019940,
0.0550669,um/s,Track,1000019946,
0.074084,um/s,Track,1000019966,
0.0955623,um/s,Track,1000019974,
0.0608991,um/s,Track,1000020053,
0.0646676,um/s,Track,1000020057,
0.0832713,um/s,Track,1000020077,
0.0533263,um/s,Track,1000020087,
0.0600035,um/s,Track,1000020103,
0.0807422,um/s,Track,1000020120,
0.0440438,um/s,Track,1000020125,
0.076066,um/s,Track,1000020126,
0.0878616,um/s,Track,1000020133,
0.0263725,um/s,Track,1000020165,
0.0893838,um/s,Track,1000020170,
0.0432538,um/s,Track,1000020171,
0.0366153,um/s,Track,1000020183,
