
Displacement Length
 ==================== 
Displacement Length,Unit,Category,Time,TrackID,ID,
0,um,Surface,1,1000018754,18754,
0,um,Surface,1,1000018755,18755,
0,um,Surface,1,1000018756,18756,
0,um,Surface,1,1000018757,18757,
0,um,Surface,1,1000018758,18758,
0,um,Surface,1,1000018759,18759,
0,um,Surface,1,1000018760,18760,
0,um,Surface,1,1000018761,18761,
0,um,Surface,1,1000018762,18762,
0,um,Surface,1,1000018763,18763,
0,um,Surface,1,1000018764,18764,
0,um,Surface,1,1000018765,18765,
0,um,Surface,1,1000018766,18766,
0,um,Surface,1,1000018767,18767,
0,um,Surface,1,1000018768,18768,
0,um,Surface,1,1000018769,18769,
0,um,Surface,1,1000018770,18770,
0,um,Surface,1,1000018771,18771,
0,um,Surface,1,1000018772,18772,
0,um,Surface,1,1000018773,18773,
0,um,Surface,1,1000018774,18774,
0,um,Surface,1,1000018775,18775,
0,um,Surface,1,1000018776,18776,
0,um,Surface,1,1000018777,18777,
0,um,Surface,1,1000018778,18778,
0,um,Surface,1,1000018779,18779,
1.89328,um,Surface,2,1000018770,18780,
2.05713,um,Surface,2,1000018754,18781,
1.38406,um,Surface,2,1000018755,18782,
2.24436,um,Surface,2,1000018756,18783,
1.13907,um,Surface,2,1000018757,18784,
0.195691,um,Surface,2,1000018759,18785,
3.50894,um,Surface,2,1000018758,18786,
1.12943,um,Surface,2,1000018760,18787,
0,um,Surface,2,1000018788,18788,
2.23203,um,Surface,2,1000018761,18789,
1.38024,um,Surface,2,1000018762,18790,
1.52419,um,Surface,2,1000018763,18791,
0.704939,um,Surface,2,1000018764,18792,
2.87342,um,Surface,2,1000018765,18793,
0,um,Surface,2,1000018794,18794,
0.691738,um,Surface,2,1000018766,18795,
0.570534,um,Surface,2,1000018767,18796,
0,um,Surface,2,1000018797,18797,
0.894347,um,Surface,2,1000018768,18798,
0,um,Surface,2,1000018799,18799,
1.00941,um,Surface,2,1000018769,18800,
0.195691,um,Surface,2,1000018771,18801,
0,um,Surface,2,1000018802,18802,
1.764,um,Surface,2,1000018772,18803,
1.17417,um,Surface,2,1000018773,18804,
1.65948,um,Surface,2,1000018774,18805,
0.665224,um,Surface,2,1000018775,18806,
1.46865,um,Surface,2,1000018776,18807,
0.760138,um,Surface,2,1000018777,18808,
0,um,Surface,2,1000018809,18809,
0.866249,um,Surface,2,1000018778,18810,
0.253345,um,Surface,2,1000018779,18811,
0,um,Surface,3,1000018812,18812,
2.09903,um,Surface,3,1000018755,18813,
0.830261,um,Surface,3,1000018756,18814,
1.1146,um,Surface,3,1000018757,18815,
0,um,Surface,3,1000018816,18816,
1.74209,um,Surface,3,1000018759,18817,
3.4788,um,Surface,3,1000018758,18818,
2.38695,um,Surface,3,1000018760,18819,
2.60124,um,Surface,3,1000018788,18820,
2.93269,um,Surface,3,1000018761,18821,
0.774584,um,Surface,3,1000018762,18822,
1.35711,um,Surface,3,1000018763,18823,
1.57356,um,Surface,3,1000018764,18824,
4.83699,um,Surface,3,1000018765,18825,
1.11856,um,Surface,3,1000018794,18826,
0.477123,um,Surface,3,1000018766,18827,
3.0569,um,Surface,3,1000018767,18828,
0.28528,um,Surface,3,1000018797,18829,
1.112,um,Surface,3,1000018768,18830,
0.914742,um,Surface,3,1000018799,18831,
2.11676,um,Surface,3,1000018754,18832,
3.27179,um,Surface,3,1000018769,18833,
1.56639,um,Surface,3,1000018770,18834,
2.47782,um,Surface,3,1000018771,18835,
0.888477,um,Surface,3,1000018802,18836,
1.6108,um,Surface,3,1000018772,18837,
1.25804,um,Surface,3,1000018773,18838,
0.745193,um,Surface,3,1000018774,18839,
1.71945,um,Surface,3,1000018775,18840,
0.934123,um,Surface,3,1000018776,18841,
1.21353,um,Surface,3,1000018777,18842,
1.40886,um,Surface,3,1000018809,18843,
1.7643,um,Surface,3,1000018778,18844,
2.3399,um,Surface,3,1000018779,18845,
2.1963,um,Surface,4,1000018770,18846,
1.5475,um,Surface,4,1000018769,18847,
2.78481,um,Surface,4,1000018754,18848,
3.35634,um,Surface,4,1000018812,18849,
3.99785,um,Surface,4,1000018755,18850,
3.76429,um,Surface,4,1000018756,18851,
2.53956,um,Surface,4,1000018757,18852,
3.27465,um,Surface,4,1000018758,18853,
3.34122,um,Surface,4,1000018759,18854,
2.96205,um,Surface,4,1000018816,18855,
2.84764,um,Surface,4,1000018760,18856,
1.62061,um,Surface,4,1000018788,18857,
0,um,Surface,4,1000018858,18858,
4.09358,um,Surface,4,1000018761,18859,
0.702914,um,Surface,4,1000018762,18860,
2.19906,um,Surface,4,1000018764,18861,
2.39459,um,Surface,4,1000018763,18862,
3.62262,um,Surface,4,1000018765,18863,
0.721644,um,Surface,4,1000018794,18864,
0.420094,um,Surface,4,1000018766,18865,
3,um,Surface,4,1000018767,18866,
0,um,Surface,4,1000018867,18867,
1.8344,um,Surface,4,1000018797,18868,
0.919109,um,Surface,4,1000018768,18869,
1.48018,um,Surface,4,1000018799,18870,
3.15554,um,Surface,4,1000018771,18871,
1.4145,um,Surface,4,1000018802,18872,
1.53819,um,Surface,4,1000018772,18873,
1.40592,um,Surface,4,1000018773,18874,
1.05437,um,Surface,4,1000018774,18875,
2.54543,um,Surface,4,1000018775,18876,
1.01896,um,Surface,4,1000018776,18877,
0.530087,um,Surface,4,1000018777,18878,
1.94213,um,Surface,4,1000018809,18879,
1.44594,um,Surface,4,1000018778,18880,
2.18749,um,Surface,4,1000018779,18881,
2.28505,um,Surface,5,1000018755,18882,
4.82671,um,Surface,5,1000018812,18883,
7.03909,um,Surface,5,1000018756,18884,
2.50403,um,Surface,5,1000018757,18885,
3.8352,um,Surface,5,1000018816,18886,
2.26479,um,Surface,5,1000018759,18887,
3.14033,um,Surface,5,1000018758,18888,
2.17936,um,Surface,5,1000018760,18889,
2.07582,um,Surface,5,1000018788,18890,
1.33933,um,Surface,5,1000018858,18891,
4.78124,um,Surface,5,1000018761,18892,
1.98115,um,Surface,5,1000018762,18893,
3.55888,um,Surface,5,1000018764,18894,
1.98086,um,Surface,5,1000018763,18895,
2.52389,um,Surface,5,1000018765,18896,
3.66276,um,Surface,5,1000018794,18897,
1.10432,um,Surface,5,1000018766,18898,
3.93831,um,Surface,5,1000018867,18899,
4.32055,um,Surface,5,1000018767,18900,
1.11756,um,Surface,5,1000018797,18901,
0.600611,um,Surface,5,1000018768,18902,
0.687023,um,Surface,5,1000018799,18903,
0,um,Surface,5,1000018904,18904,
3.34691,um,Surface,5,1000018754,18905,
1.66419,um,Surface,5,1000018769,18906,
2.29196,um,Surface,5,1000018770,18907,
3,um,Surface,5,1000018771,18908,
1.52115,um,Surface,5,1000018802,18909,
1.76401,um,Surface,5,1000018772,18910,
0.787653,um,Surface,5,1000018773,18911,
0,um,Surface,5,1000018912,18912,
0,um,Surface,5,1000018913,18913,
1.33732,um,Surface,5,1000018774,18914,
3.79712,um,Surface,5,1000018775,18915,
1.92228,um,Surface,5,1000018776,18916,
0.724972,um,Surface,5,1000018777,18917,
3.59919,um,Surface,5,1000018809,18918,
0,um,Surface,5,1000018919,18919,
1.92551,um,Surface,5,1000018778,18920,
1.45214,um,Surface,5,1000018779,18921,
6.87725,um,Surface,6,1000018756,18922,
2.72801,um,Surface,6,1000018757,18923,
2.4538,um,Surface,6,1000018758,18924,
6.18875,um,Surface,6,1000018816,18925,
1.70817,um,Surface,6,1000018759,18926,
2.41645,um,Surface,6,1000018760,18927,
3.52047,um,Surface,6,1000018788,18928,
1.17417,um,Surface,6,1000018858,18929,
0,um,Surface,6,1000018930,18930,
5.31593,um,Surface,6,1000018761,18931,
1.46844,um,Surface,6,1000018762,18932,
0,um,Surface,6,1000018933,18933,
3.66761,um,Surface,6,1000018764,18934,
2.75383,um,Surface,6,1000018763,18935,
3.03188,um,Surface,6,1000018794,18936,
3.81007,um,Surface,6,1000018765,18937,
0.874585,um,Surface,6,1000018766,18938,
4.80953,um,Surface,6,1000018867,18939,
3.11277,um,Surface,6,1000018767,18940,
1.22388,um,Surface,6,1000018797,18941,
1.87521,um,Surface,6,1000018768,18942,
0.703989,um,Surface,6,1000018799,18943,
0.415131,um,Surface,6,1000018904,18944,
2.74422,um,Surface,6,1000018755,18945,
4.38706,um,Surface,6,1000018812,18946,
0,um,Surface,6,1000018947,18947,
4.58741,um,Surface,6,1000018754,18948,
1.1578,um,Surface,6,1000018769,18949,
2.18993,um,Surface,6,1000018770,18950,
2.24701,um,Surface,6,1000018771,18951,
1.78355,um,Surface,6,1000018802,18952,
1.99334,um,Surface,6,1000018772,18953,
0.830261,um,Surface,6,1000018773,18954,
1.32066,um,Surface,6,1000018912,18955,
4.57694,um,Surface,6,1000018913,18956,
5.94219,um,Surface,6,1000018775,18957,
1.78019,um,Surface,6,1000018774,18958,
0.807236,um,Surface,6,1000018776,18959,
1.49912,um,Surface,6,1000018777,18960,
3.60803,um,Surface,6,1000018809,18961,
0.706481,um,Surface,6,1000018919,18962,
1.58493,um,Surface,6,1000018778,18963,
0,um,Surface,6,1000018964,18964,
1.46772,um,Surface,6,1000018779,18965,
2.22158,um,Surface,7,1000018760,18966,
3.97234,um,Surface,7,1000018788,18967,
3.74043,um,Surface,7,1000018858,18968,
0.623331,um,Surface,7,1000018930,18969,
0,um,Surface,7,1000018970,18970,
5.25777,um,Surface,7,1000018761,18971,
1.47287,um,Surface,7,1000018762,18972,
1.64825,um,Surface,7,1000018933,18973,
3.13911,um,Surface,7,1000018764,18974,
3.11943,um,Surface,7,1000018763,18975,
2.01897,um,Surface,7,1000018794,18976,
4.43833,um,Surface,7,1000018765,18977,
0,um,Surface,7,1000018978,18978,
0.554336,um,Surface,7,1000018766,18979,
4.27383,um,Surface,7,1000018867,18980,
3.12811,um,Surface,7,1000018767,18981,
1.18852,um,Surface,7,1000018768,18982,
1.11756,um,Surface,7,1000018797,18983,
0.794229,um,Surface,7,1000018799,18984,
0.587083,um,Surface,7,1000018904,18985,
8.45998,um,Surface,7,1000018816,18986,
2.30957,um,Surface,7,1000018759,18987,
3.35908,um,Surface,7,1000018758,18988,
2.56597,um,Surface,7,1000018757,18989,
7.14492,um,Surface,7,1000018756,18990,
1.80729,um,Surface,7,1000018755,18991,
3.56034,um,Surface,7,1000018812,18992,
1.48284,um,Surface,7,1000018947,18993,
1.42873,um,Surface,7,1000018769,18994,
1.86483,um,Surface,7,1000018770,18995,
0,um,Surface,7,1000018996,18996,
3.4825,um,Surface,7,1000018802,18997,
2.38679,um,Surface,7,1000018772,18998,
1.49678,um,Surface,7,1000018773,18999,
4.74925,um,Surface,7,1000018912,19000,
4.48343,um,Surface,7,1000018913,19001,
0,um,Surface,7,1000019002,19002,
0,um,Surface,7,1000019003,19003,
0,um,Surface,7,1000019004,19004,
1.3924,um,Surface,7,1000018774,19005,
6.25997,um,Surface,7,1000018775,19006,
0,um,Surface,7,1000019007,19007,
0.657389,um,Surface,7,1000018776,19008,
1.04923,um,Surface,7,1000018777,19009,
2.41694,um,Surface,7,1000018809,19010,
1.66831,um,Surface,7,1000018919,19011,
1.02332,um,Surface,7,1000018778,19012,
1.82575,um,Surface,7,1000018964,19013,
0.733862,um,Surface,7,1000018779,19014,
1.15096,um,Surface,8,1000018947,19015,
5.03773,um,Surface,8,1000018812,19016,
1.70936,um,Surface,8,1000018755,19017,
8.22156,um,Surface,8,1000018756,19018,
1.86931,um,Surface,8,1000018759,19019,
7.6264,um,Surface,8,1000018816,19020,
2.30625,um,Surface,8,1000018760,19021,
4.78469,um,Surface,8,1000018788,19022,
5.82998,um,Surface,8,1000018858,19023,
1.59412,um,Surface,8,1000018970,19024,
0.912279,um,Surface,8,1000018930,19025,
4.6081,um,Surface,8,1000018761,19026,
1.67616,um,Surface,8,1000018762,19027,
2.60954,um,Surface,8,1000018933,19028,
2.99717,um,Surface,8,1000018764,19029,
2.3258,um,Surface,8,1000018763,19030,
3.39038,um,Surface,8,1000018794,19031,
1.9748,um,Surface,8,1000018978,19032,
0.841055,um,Surface,8,1000018766,19033,
5.46199,um,Surface,8,1000018867,19034,
2.18997,um,Surface,8,1000018768,19035,
1.03759,um,Surface,8,1000018797,19036,
1.01356,um,Surface,8,1000018799,19037,
2.07565,um,Surface,8,1000018904,19038,
2.13446,um,Surface,8,1000018769,19039,
1.50014,um,Surface,8,1000018770,19040,
0.691887,um,Surface,8,1000018996,19041,
2.74117,um,Surface,8,1000018802,19042,
0.92826,um,Surface,8,1000018773,19043,
6.16155,um,Surface,8,1000018912,19044,
2.87373,um,Surface,8,1000019003,19045,
4.08084,um,Surface,8,1000018913,19046,
4.00821,um,Surface,8,1000019002,19047,
0.847612,um,Surface,8,1000019004,19048,
0,um,Surface,8,1000019049,19049,
3.5469,um,Surface,8,1000018774,19050,
5.97591,um,Surface,8,1000018775,19051,
0.84911,um,Surface,8,1000019007,19052,
1.56827,um,Surface,8,1000018776,19053,
1.76895,um,Surface,8,1000018777,19054,
1.63063,um,Surface,8,1000018919,19055,
1.23333,um,Surface,8,1000018778,19056,
3.20561,um,Surface,8,1000018964,19057,
1.50758,um,Surface,8,1000018779,19058,
1.79912,um,Surface,9,1000018770,19059,
1.6141,um,Surface,9,1000018769,19060,
0.82189,um,Surface,9,1000018947,19061,
7.15207,um,Surface,9,1000018812,19062,
0.798611,um,Surface,9,1000018755,19063,
0,um,Surface,9,1000019064,19064,
8.2842,um,Surface,9,1000018756,19065,
3.4712,um,Surface,9,1000018759,19066,
2.44117,um,Surface,9,1000018760,19067,
7.81512,um,Surface,9,1000018788,19068,
8.78048,um,Surface,9,1000018816,19069,
6.00884,um,Surface,9,1000018858,19070,
1.46169,um,Surface,9,1000018930,19071,
2.6354,um,Surface,9,1000018970,19072,
5.45183,um,Surface,9,1000018761,19073,
1.76929,um,Surface,9,1000018762,19074,
2.0969,um,Surface,9,1000018933,19075,
4.11409,um,Surface,9,1000018764,19076,
2.37559,um,Surface,9,1000018763,19077,
5.59749,um,Surface,9,1000018794,19078,
2.55022,um,Surface,9,1000018978,19079,
1.22492,um,Surface,9,1000018766,19080,
4.716,um,Surface,9,1000018867,19081,
2.08244,um,Surface,9,1000018797,19082,
1.32899,um,Surface,9,1000018768,19083,
2.60366,um,Surface,9,1000018799,19084,
2.09862,um,Surface,9,1000018904,19085,
0.748394,um,Surface,9,1000018996,19086,
0,um,Surface,9,1000019087,19087,
1.08253,um,Surface,9,1000018773,19088,
5.59475,um,Surface,9,1000018912,19089,
3.35216,um,Surface,9,1000018913,19090,
1.34456,um,Surface,9,1000019003,19091,
2.54405,um,Surface,9,1000019002,19092,
3.45394,um,Surface,9,1000019004,19093,
2.98895,um,Surface,9,1000018774,19094,
1.0959,um,Surface,9,1000019049,19095,
0.716368,um,Surface,9,1000019007,19096,
2.20781,um,Surface,9,1000018776,19097,
1.81788,um,Surface,9,1000018777,19098,
3.72595,um,Surface,9,1000018919,19099,
1.14574,um,Surface,9,1000018778,19100,
6.51861,um,Surface,9,1000018964,19101,
