
Area
 ==================== 
Area,Unit,Category,Time,TrackID,ID,
4.7406,um^2,Surface,1,1000018754,18754,
52.9492,um^2,Surface,1,1000018755,18755,
10.4425,um^2,Surface,1,1000018756,18756,
13.9935,um^2,Surface,1,1000018757,18757,
5.82338,um^2,Surface,1,1000018758,18758,
6.08469,um^2,Surface,1,1000018759,18759,
29.0285,um^2,Surface,1,1000018760,18760,
86.6614,um^2,Surface,1,1000018761,18761,
44.6101,um^2,Surface,1,1000018762,18762,
86.0153,um^2,Surface,1,1000018763,18763,
23.0957,um^2,Surface,1,1000018764,18764,
63.9734,um^2,Surface,1,1000018765,18765,
66.9815,um^2,Surface,1,1000018766,18766,
3.53024,um^2,Surface,1,1000018767,18767,
61.0936,um^2,Surface,1,1000018768,18768,
71.386,um^2,Surface,1,1000018769,18769,
49.2827,um^2,Surface,1,1000018770,18770,
8.07481,um^2,Surface,1,1000018771,18771,
18.0303,um^2,Surface,1,1000018772,18772,
8.9908,um^2,Surface,1,1000018773,18773,
8.0331,um^2,Surface,1,1000018774,18774,
7.64087,um^2,Surface,1,1000018775,18775,
29.8462,um^2,Surface,1,1000018776,18776,
55.1472,um^2,Surface,1,1000018777,18777,
19.5091,um^2,Surface,1,1000018778,18778,
13.6965,um^2,Surface,1,1000018779,18779,
47.6078,um^2,Surface,2,1000018770,18780,
4.10327,um^2,Surface,2,1000018754,18781,
38.8454,um^2,Surface,2,1000018755,18782,
15.8782,um^2,Surface,2,1000018756,18783,
11.0723,um^2,Surface,2,1000018757,18784,
7.86989,um^2,Surface,2,1000018759,18785,
11.5013,um^2,Surface,2,1000018758,18786,
20.1139,um^2,Surface,2,1000018760,18787,
37.1761,um^2,Surface,2,1000018788,18788,
78.7415,um^2,Surface,2,1000018761,18789,
36.0362,um^2,Surface,2,1000018762,18790,
76.4079,um^2,Surface,2,1000018763,18791,
55.3164,um^2,Surface,2,1000018764,18792,
81.364,um^2,Surface,2,1000018765,18793,
58.5304,um^2,Surface,2,1000018794,18794,
68.7344,um^2,Surface,2,1000018766,18795,
10.9936,um^2,Surface,2,1000018767,18796,
5.94773,um^2,Surface,2,1000018797,18797,
41.6787,um^2,Surface,2,1000018768,18798,
69.3057,um^2,Surface,2,1000018799,18799,
71.0384,um^2,Surface,2,1000018769,18800,
9.65615,um^2,Surface,2,1000018771,18801,
19.6831,um^2,Surface,2,1000018802,18802,
6.40663,um^2,Surface,2,1000018772,18803,
10.2108,um^2,Surface,2,1000018773,18804,
21.354,um^2,Surface,2,1000018774,18805,
23.0202,um^2,Surface,2,1000018775,18806,
27.0467,um^2,Surface,2,1000018776,18807,
32.114,um^2,Surface,2,1000018777,18808,
15.2422,um^2,Surface,2,1000018809,18809,
14.5274,um^2,Surface,2,1000018778,18810,
13.7742,um^2,Surface,2,1000018779,18811,
16.2809,um^2,Surface,3,1000018812,18812,
52.6098,um^2,Surface,3,1000018755,18813,
13.3232,um^2,Surface,3,1000018756,18814,
18.06,um^2,Surface,3,1000018757,18815,
35.223,um^2,Surface,3,1000018816,18816,
22.9314,um^2,Surface,3,1000018759,18817,
11.1276,um^2,Surface,3,1000018758,18818,
28.7662,um^2,Surface,3,1000018760,18819,
36.2712,um^2,Surface,3,1000018788,18820,
82.4455,um^2,Surface,3,1000018761,18821,
39.3444,um^2,Surface,3,1000018762,18822,
61.5031,um^2,Surface,3,1000018763,18823,
49.9133,um^2,Surface,3,1000018764,18824,
100.205,um^2,Surface,3,1000018765,18825,
41.1974,um^2,Surface,3,1000018794,18826,
69.689,um^2,Surface,3,1000018766,18827,
6.77522,um^2,Surface,3,1000018767,18828,
27.0833,um^2,Surface,3,1000018797,18829,
42.1474,um^2,Surface,3,1000018768,18830,
63.2539,um^2,Surface,3,1000018799,18831,
3.92078,um^2,Surface,3,1000018754,18832,
30.2949,um^2,Surface,3,1000018769,18833,
42.289,um^2,Surface,3,1000018770,18834,
13.2128,um^2,Surface,3,1000018771,18835,
31.2531,um^2,Surface,3,1000018802,18836,
7.50144,um^2,Surface,3,1000018772,18837,
11.5409,um^2,Surface,3,1000018773,18838,
14.7792,um^2,Surface,3,1000018774,18839,
12.6191,um^2,Surface,3,1000018775,18840,
22.549,um^2,Surface,3,1000018776,18841,
28.8669,um^2,Surface,3,1000018777,18842,
