
Number of Disconnected Components
 ==================== 
Number of Disconnected Components,Unit,Category,Time,TrackID,ID,
1,,Surface,6,1000018858,18929,
1,,Surface,6,1000018930,18930,
1,,Surface,6,1000018761,18931,
1,,Surface,6,1000018762,18932,
1,,Surface,6,1000018933,18933,
1,,Surface,6,1000018764,18934,
1,,Surface,6,1000018763,18935,
1,,Surface,6,1000018794,18936,
1,,Surface,6,1000018765,18937,
1,,Surface,6,1000018766,18938,
1,,Surface,6,1000018867,18939,
1,,Surface,6,1000018767,18940,
1,,Surface,6,1000018797,18941,
1,,Surface,6,1000018768,18942,
1,,Surface,6,1000018799,18943,
1,,Surface,6,1000018904,18944,
1,,Surface,6,1000018755,18945,
1,,Surface,6,1000018812,18946,
1,,Surface,6,1000018947,18947,
1,,Surface,6,1000018754,18948,
1,,Surface,6,1000018769,18949,
1,,Surface,6,1000018770,18950,
1,,Surface,6,1000018771,18951,
1,,Surface,6,1000018802,18952,
1,,Surface,6,1000018772,18953,
1,,Surface,6,1000018773,18954,
1,,Surface,6,1000018912,18955,
1,,Surface,6,1000018913,18956,
1,,Surface,6,1000018775,18957,
1,,Surface,6,1000018774,18958,
1,,Surface,6,1000018776,18959,
1,,Surface,6,1000018777,18960,
1,,Surface,6,1000018809,18961,
1,,Surface,6,1000018919,18962,
1,,Surface,6,1000018778,18963,
1,,Surface,6,1000018964,18964,
1,,Surface,6,1000018779,18965,
1,,Surface,7,1000018760,18966,
1,,Surface,7,1000018788,18967,
1,,Surface,7,1000018858,18968,
1,,Surface,7,1000018930,18969,
1,,Surface,7,1000018970,18970,
1,,Surface,7,1000018761,18971,
1,,Surface,7,1000018762,18972,
1,,Surface,7,1000018933,18973,
1,,Surface,7,1000018764,18974,
1,,Surface,7,1000018763,18975,
1,,Surface,7,1000018794,18976,
1,,Surface,7,1000018765,18977,
1,,Surface,7,1000018978,18978,
1,,Surface,7,1000018766,18979,
1,,Surface,7,1000018867,18980,
1,,Surface,7,1000018767,18981,
1,,Surface,7,1000018768,18982,
1,,Surface,7,1000018797,18983,
1,,Surface,7,1000018799,18984,
1,,Surface,7,1000018904,18985,
1,,Surface,7,1000018816,18986,
1,,Surface,7,1000018759,18987,
1,,Surface,7,1000018758,18988,
1,,Surface,7,1000018757,18989,
1,,Surface,7,1000018756,18990,
1,,Surface,7,1000018755,18991,
1,,Surface,7,1000018812,18992,
1,,Surface,7,1000018947,18993,
1,,Surface,7,1000018769,18994,
1,,Surface,7,1000018770,18995,
1,,Surface,7,1000018996,18996,
1,,Surface,7,1000018802,18997,
1,,Surface,7,1000018772,18998,
1,,Surface,7,1000018773,18999,
1,,Surface,7,1000018912,19000,
1,,Surface,7,1000018913,19001,
1,,Surface,7,1000019002,19002,
1,,Surface,7,1000019003,19003,
1,,Surface,7,1000019004,19004,
1,,Surface,7,1000018774,19005,
1,,Surface,7,1000018775,19006,
1,,Surface,7,1000019007,19007,
1,,Surface,7,1000018776,19008,
1,,Surface,7,1000018777,19009,
1,,Surface,7,1000018809,19010,
1,,Surface,7,1000018919,19011,
1,,Surface,7,1000018778,19012,
1,,Surface,7,1000018964,19013,
1,,Surface,7,1000018779,19014,
1,,Surface,8,1000018947,19015,
1,,Surface,8,1000018812,19016,
1,,Surface,8,1000018755,19017,
1,,Surface,8,1000018756,19018,
1,,Surface,8,1000018759,19019,
1,,Surface,8,1000018816,19020,
1,,Surface,8,1000018760,19021,
1,,Surface,8,1000018788,19022,
1,,Surface,8,1000018858,19023,
1,,Surface,8,1000018970,19024,
1,,Surface,8,1000018930,19025,
1,,Surface,8,1000018761,19026,
1,,Surface,8,1000018762,19027,
1,,Surface,8,1000018933,19028,
