
Track Straightness
 ==================== 
Track Straightness,Unit,Category,ID,
0.454615,,Track,1000018754,
0.208954,,Track,1000018755,
0.588246,,Track,1000018756,
0.375968,,Track,1000018757,
0.37081,,Track,1000018758,
0.229503,,Track,1000018759,
0.394366,,Track,1000018760,
0.484093,,Track,1000018761,
0.140796,,Track,1000018762,
0.277387,,Track,1000018763,
0.184044,,Track,1000018764,
0.40139,,Track,1000018765,
0.0925184,,Track,1000018766,
0.397947,,Track,1000018767,
0.136631,,Track,1000018768,
0.0800518,,Track,1000018769,
0.106987,,Track,1000018770,
0.406422,,Track,1000018771,
0.183627,,Track,1000018772,
0.113552,,Track,1000018773,
0.102566,,Track,1000018774,
0.569866,,Track,1000018775,
0.0805224,,Track,1000018776,
0.29132,,Track,1000018777,
0.168952,,Track,1000018778,
0.203177,,Track,1000018779,
0.348901,,Track,1000018788,
0.236184,,Track,1000018794,
0.326203,,Track,1000018797,
0.0637805,,Track,1000018799,
0.349296,,Track,1000018802,
0.342116,,Track,1000018809,
0.184156,,Track,1000018812,
0.421045,,Track,1000018816,
0.649567,,Track,1000018858,
0.500012,,Track,1000018867,
0.251177,,Track,1000018904,
0.471446,,Track,1000018912,
0.354292,,Track,1000018913,
0.458584,,Track,1000018919,
0.148171,,Track,1000018930,
0.218829,,Track,1000018933,
0.275321,,Track,1000018947,
0.399445,,Track,1000018964,
0.565433,,Track,1000018970,
0.386423,,Track,1000018978,
0.46072,,Track,1000018996,
0.356334,,Track,1000019002,
0.17196,,Track,1000019003,
0.603011,,Track,1000019004,
0.314709,,Track,1000019007,
0.4437,,Track,1000019049,
0.133029,,Track,1000019064,
0.247072,,Track,1000019087,
0.267778,,Track,1000019108,
0.337633,,Track,1000019109,
0.0868463,,Track,1000019114,
0.0752406,,Track,1000019133,
0.0898139,,Track,1000019150,
0.149593,,Track,1000019152,
0.314166,,Track,1000019180,
0.245904,,Track,1000019191,
0.0954762,,Track,1000019216,
0.400444,,Track,1000019240,
0.388372,,Track,1000019271,
0.489386,,Track,1000019284,
0.274793,,Track,1000019297,
0.555083,,Track,1000019310,
0.289712,,Track,1000019324,
0.135963,,Track,1000019340,
0.189069,,Track,1000019350,
0.141041,,Track,1000019353,
0.470047,,Track,1000019354,
0.190204,,Track,1000019361,
0.190342,,Track,1000019395,
0.0558304,,Track,1000019396,
0.0739211,,Track,1000019405,
0.115393,,Track,1000019412,
0.964296,,Track,1000019436,
0.401533,,Track,1000019450,
0.28966,,Track,1000019465,
0.230831,,Track,1000019472,
0.311638,,Track,1000019477,
0.352244,,Track,1000019486,
0.13358,,Track,1000019491,
0.616424,,Track,1000019516,
0.29269,,Track,1000019522,
0.0758776,,Track,1000019553,
0.54471,,Track,1000019599,
0.421022,,Track,1000019600,
0.358371,,Track,1000019614,
0.209855,,Track,1000019617,
0.194746,,Track,1000019632,
0.459694,,Track,1000019633,
0.149405,,Track,1000019658,
0.14105,,Track,1000019676,
0.118238,,Track,1000019699,
0.172182,,Track,1000019726,
0.163973,,Track,1000019742,
0.079521,,Track,1000019751,
0.193048,,Track,1000019755,
0.194429,,Track,1000019758,
0.251682,,Track,1000019764,
0.393418,,Track,1000019783,
0.375206,,Track,1000019786,
0.111,,Track,1000019826,
0.265318,,Track,1000019827,
0.0586116,,Track,1000019831,
0.308634,,Track,1000019844,
0.252445,,Track,1000019845,
0.309044,,Track,1000019850,
0.15768,,Track,1000019861,
0.141425,,Track,1000019878,
0.538512,,Track,1000019903,
0.102533,,Track,1000019906,
0.113354,,Track,1000019933,
0.345235,,Track,1000019940,
0.296805,,Track,1000019946,
0.0740935,,Track,1000019966,
0.227891,,Track,1000019974,
0.255698,,Track,1000020053,
0.317876,,Track,1000020057,
0.203763,,Track,1000020077,
0.117314,,Track,1000020087,
0.563098,,Track,1000020103,
0.214406,,Track,1000020120,
0.450113,,Track,1000020125,
0.305551,,Track,1000020126,
0.697147,,Track,1000020133,
0.229284,,Track,1000020165,
0.334122,,Track,1000020170,
0.570034,,Track,1000020171,
