
Track Duration
 ==================== 
Track Duration,Unit,Category,ID,
176.853,s,Track,1000018754,
495.17,s,Track,1000018755,
353.611,s,Track,1000018756,
212.481,s,Track,1000018757,
212.481,s,Track,1000018758,
637.039,s,Track,1000018759,
459.933,s,Track,1000018760,
566.545,s,Track,1000018761,
849.343,s,Track,1000018762,
282.884,s,Track,1000018763,
1133.41,s,Track,1000018764,
212.481,s,Track,1000018765,
1416.95,s,Track,1000018766,
212.481,s,Track,1000018767,
389.106,s,Track,1000018768,
318.506,s,Track,1000018769,
1098.01,s,Track,1000018770,
176.853,s,Track,1000018771,
212.481,s,Track,1000018772,
1062.4,s,Track,1000018773,
1098.01,s,Track,1000018774,
247.58,s,Track,1000018775,
2093.35,s,Track,1000018776,
353.611,s,Track,1000018777,
353.611,s,Track,1000018778,
566.545,s,Track,1000018779,
353.612,s,Track,1000018788,
318.117,s,Track,1000018794,
283.012,s,Track,1000018797,
990.984,s,Track,1000018799,
212.086,s,Track,1000018802,
176.987,s,Track,1000018809,
389.369,s,Track,1000018812,
389.369,s,Track,1000018816,
283.237,s,Track,1000018858,
247.742,s,Track,1000018867,
353.902,s,Track,1000018904,
177.238,s,Track,1000018912,
247.838,s,Track,1000018913,
177.238,s,Track,1000018919,
283.08,s,Track,1000018930,
247.952,s,Track,1000018933,
389.692,s,Track,1000018947,
212.253,s,Track,1000018964,
389.343,s,Track,1000018970,
318.485,s,Track,1000018978,
212.324,s,Track,1000018996,
176.625,s,Track,1000019002,
212.324,s,Track,1000019003,
212.324,s,Track,1000019004,
282.689,s,Track,1000019007,
425.125,s,Track,1000019049,
743.594,s,Track,1000019064,
425.248,s,Track,1000019087,
283.318,s,Track,1000019108,
212.46,s,Track,1000019109,
1774.84,s,Track,1000019114,
920.868,s,Track,1000019133,
1205.34,s,Track,1000019150,
425.106,s,Track,1000019152,
283.428,s,Track,1000019180,
248.213,s,Track,1000019191,
1668.31,s,Track,1000019216,
177.019,s,Track,1000019240,
177.019,s,Track,1000019271,
177.106,s,Track,1000019284,
814.558,s,Track,1000019297,
177.106,s,Track,1000019310,
708.924,s,Track,1000019324,
1063.78,s,Track,1000019340,
424.928,s,Track,1000019350,
424.928,s,Track,1000019353,
177.535,s,Track,1000019354,
283.069,s,Track,1000019361,
495.852,s,Track,1000019395,
495.852,s,Track,1000019396,
353.553,s,Track,1000019405,
531.469,s,Track,1000019412,
176.893,s,Track,1000019436,
176.893,s,Track,1000019450,
176.893,s,Track,1000019465,
176.996,s,Track,1000019472,
247.98,s,Track,1000019477,
921.91,s,Track,1000019486,
