
Track Intensity Min Ch=4 Img=1
 ==================== 
Track Intensity Min,Unit,Category,Channel,Image,ID,
33,,Track,4,Image 1,1000018754,
3,,Track,4,Image 1,1000018755,
0,,Track,4,Image 1,1000018756,
116,,Track,4,Image 1,1000018757,
166,,Track,4,Image 1,1000018758,
225,,Track,4,Image 1,1000018759,
142,,Track,4,Image 1,1000018760,
255,,Track,4,Image 1,1000018761,
255,,Track,4,Image 1,1000018762,
0,,Track,4,Image 1,1000018763,
255,,Track,4,Image 1,1000018764,
0,,Track,4,Image 1,1000018765,
133,,Track,4,Image 1,1000018766,
27,,Track,4,Image 1,1000018767,
167,,Track,4,Image 1,1000018768,
42,,Track,4,Image 1,1000018769,
95,,Track,4,Image 1,1000018770,
255,,Track,4,Image 1,1000018771,
93,,Track,4,Image 1,1000018772,
255,,Track,4,Image 1,1000018773,
18,,Track,4,Image 1,1000018774,
35,,Track,4,Image 1,1000018775,
26,,Track,4,Image 1,1000018776,
26,,Track,4,Image 1,1000018777,
0,,Track,4,Image 1,1000018778,
64,,Track,4,Image 1,1000018779,
0,,Track,4,Image 1,1000018788,
0,,Track,4,Image 1,1000018794,
99,,Track,4,Image 1,1000018797,
255,,Track,4,Image 1,1000018799,
1,,Track,4,Image 1,1000018802,
0,,Track,4,Image 1,1000018809,
5,,Track,4,Image 1,1000018812,
7,,Track,4,Image 1,1000018816,
0,,Track,4,Image 1,1000018858,
7,,Track,4,Image 1,1000018867,
184,,Track,4,Image 1,1000018904,
0,,Track,4,Image 1,1000018912,
0,,Track,4,Image 1,1000018913,
11,,Track,4,Image 1,1000018919,
78,,Track,4,Image 1,1000018930,
255,,Track,4,Image 1,1000018933,
60,,Track,4,Image 1,1000018947,
0,,Track,4,Image 1,1000018964,
145,,Track,4,Image 1,1000018970,
53,,Track,4,Image 1,1000018978,
0,,Track,4,Image 1,1000018996,
78,,Track,4,Image 1,1000019002,
0,,Track,4,Image 1,1000019003,
0,,Track,4,Image 1,1000019004,
1,,Track,4,Image 1,1000019007,
0,,Track,4,Image 1,1000019049,
27,,Track,4,Image 1,1000019064,
0,,Track,4,Image 1,1000019087,
72,,Track,4,Image 1,1000019108,
191,,Track,4,Image 1,1000019109,
0,,Track,4,Image 1,1000019114,
0,,Track,4,Image 1,1000019133,
92,,Track,4,Image 1,1000019150,
175,,Track,4,Image 1,1000019152,
82,,Track,4,Image 1,1000019180,
0,,Track,4,Image 1,1000019191,
0,,Track,4,Image 1,1000019216,
104,,Track,4,Image 1,1000019240,
0,,Track,4,Image 1,1000019271,
0,,Track,4,Image 1,1000019284,
255,,Track,4,Image 1,1000019297,
0,,Track,4,Image 1,1000019310,
26,,Track,4,Image 1,1000019324,
0,,Track,4,Image 1,1000019340,
0,,Track,4,Image 1,1000019350,
0,,Track,4,Image 1,1000019353,
13,,Track,4,Image 1,1000019354,
41,,Track,4,Image 1,1000019361,
0,,Track,4,Image 1,1000019395,
190,,Track,4,Image 1,1000019396,
45,,Track,4,Image 1,1000019405,
175,,Track,4,Image 1,1000019412,
12,,Track,4,Image 1,1000019436,
255,,Track,4,Image 1,1000019450,
0,,Track,4,Image 1,1000019465,
138,,Track,4,Image 1,1000019472,
163,,Track,4,Image 1,1000019477,
0,,Track,4,Image 1,1000019486,
0,,Track,4,Image 1,1000019491,
0,,Track,4,Image 1,1000019516,
55,,Track,4,Image 1,1000019522,
177,,Track,4,Image 1,1000019553,
0,,Track,4,Image 1,1000019599,
4,,Track,4,Image 1,1000019600,
0,,Track,4,Image 1,1000019614,
9,,Track,4,Image 1,1000019617,
67,,Track,4,Image 1,1000019632,
255,,Track,4,Image 1,1000019633,
19,,Track,4,Image 1,1000019658,
0,,Track,4,Image 1,1000019676,
69,,Track,4,Image 1,1000019699,
0,,Track,4,Image 1,1000019726,
116,,Track,4,Image 1,1000019742,
53,,Track,4,Image 1,1000019751,
115,,Track,4,Image 1,1000019755,
0,,Track,4,Image 1,1000019758,
51,,Track,4,Image 1,1000019764,
0,,Track,4,Image 1,1000019783,
28,,Track,4,Image 1,1000019786,
147,,Track,4,Image 1,1000019826,
73,,Track,4,Image 1,1000019827,
255,,Track,4,Image 1,1000019831,
84,,Track,4,Image 1,1000019844,
90,,Track,4,Image 1,1000019845,
42,,Track,4,Image 1,1000019850,
0,,Track,4,Image 1,1000019861,
121,,Track,4,Image 1,1000019878,
0,,Track,4,Image 1,1000019903,
