
Distance to Image Border XY Img=1
 ==================== 
Distance to Image Border XY,Unit,Category,Image,Time,TrackID,ID,
113.924,um,Surface,Image 1,4,1000018802,18872,
125.536,um,Surface,Image 1,4,1000018772,18873,
81.7812,um,Surface,Image 1,4,1000018773,18874,
137.409,um,Surface,Image 1,4,1000018774,18875,
116.415,um,Surface,Image 1,4,1000018775,18876,
150.693,um,Surface,Image 1,4,1000018776,18877,
68.2705,um,Surface,Image 1,4,1000018777,18878,
65.1165,um,Surface,Image 1,4,1000018809,18879,
79.8439,um,Surface,Image 1,4,1000018778,18880,
18.7712,um,Surface,Image 1,4,1000018779,18881,
75.7508,um,Surface,Image 1,5,1000018755,18882,
90.8311,um,Surface,Image 1,5,1000018812,18883,
103.249,um,Surface,Image 1,5,1000018756,18884,
48.5705,um,Surface,Image 1,5,1000018757,18885,
116.577,um,Surface,Image 1,5,1000018816,18886,
70.8216,um,Surface,Image 1,5,1000018759,18887,
55.2127,um,Surface,Image 1,5,1000018758,18888,
90.0838,um,Surface,Image 1,5,1000018760,18889,
120.772,um,Surface,Image 1,5,1000018788,18890,
149.614,um,Surface,Image 1,5,1000018858,18891,
138.869,um,Surface,Image 1,5,1000018761,18892,
131.459,um,Surface,Image 1,5,1000018762,18893,
40.2106,um,Surface,Image 1,5,1000018764,18894,
41.3057,um,Surface,Image 1,5,1000018763,18895,
55.3652,um,Surface,Image 1,5,1000018765,18896,
118.23,um,Surface,Image 1,5,1000018794,18897,
39.6723,um,Surface,Image 1,5,1000018766,18898,
24.4928,um,Surface,Image 1,5,1000018867,18899,
20.3415,um,Surface,Image 1,5,1000018767,18900,
40.2679,um,Surface,Image 1,5,1000018797,18901,
73.6295,um,Surface,Image 1,5,1000018768,18902,
25.3357,um,Surface,Image 1,5,1000018799,18903,
33.6258,um,Surface,Image 1,5,1000018904,18904,
70.9877,um,Surface,Image 1,5,1000018754,18905,
126.823,um,Surface,Image 1,5,1000018769,18906,
42.7587,um,Surface,Image 1,5,1000018770,18907,
129.937,um,Surface,Image 1,5,1000018771,18908,
115.822,um,Surface,Image 1,5,1000018802,18909,
127.446,um,Surface,Image 1,5,1000018772,18910,
81.6981,um,Surface,Image 1,5,1000018773,18911,
58.6059,um,Surface,Image 1,5,1000018912,18912,
139.959,um,Surface,Image 1,5,1000018913,18913,
137.455,um,Surface,Image 1,5,1000018774,18914,
117.355,um,Surface,Image 1,5,1000018775,18915,
149.188,um,Surface,Image 1,5,1000018776,18916,
67.8931,um,Surface,Image 1,5,1000018777,18917,
66.1505,um,Surface,Image 1,5,1000018809,18918,
87.593,um,Surface,Image 1,5,1000018919,18919,
79.1866,um,Surface,Image 1,5,1000018778,18920,
17.8161,um,Surface,Image 1,5,1000018779,18921,
102.676,um,Surface,Image 1,6,1000018756,18922,
49.4008,um,Surface,Image 1,6,1000018757,18923,
55.2127,um,Surface,Image 1,6,1000018758,18924,
116.803,um,Surface,Image 1,6,1000018816,18925,
71.9366,um,Surface,Image 1,6,1000018759,18926,
89.9455,um,Surface,Image 1,6,1000018760,18927,
120.619,um,Surface,Image 1,6,1000018788,18928,
149.033,um,Surface,Image 1,6,1000018858,18929,
