
Intensity Max Ch=3 Img=1
 ==================== 
Intensity Max,Unit,Category,Channel,Image,Time,TrackID,ID,
255,,Surface,3,Image 1,4,1000018809,18879,
255,,Surface,3,Image 1,4,1000018778,18880,
255,,Surface,3,Image 1,4,1000018779,18881,
255,,Surface,3,Image 1,5,1000018755,18882,
255,,Surface,3,Image 1,5,1000018812,18883,
255,,Surface,3,Image 1,5,1000018756,18884,
255,,Surface,3,Image 1,5,1000018757,18885,
255,,Surface,3,Image 1,5,1000018816,18886,
255,,Surface,3,Image 1,5,1000018759,18887,
255,,Surface,3,Image 1,5,1000018758,18888,
255,,Surface,3,Image 1,5,1000018760,18889,
255,,Surface,3,Image 1,5,1000018788,18890,
255,,Surface,3,Image 1,5,1000018858,18891,
255,,Surface,3,Image 1,5,1000018761,18892,
255,,Surface,3,Image 1,5,1000018762,18893,
255,,Surface,3,Image 1,5,1000018764,18894,
255,,Surface,3,Image 1,5,1000018763,18895,
255,,Surface,3,Image 1,5,1000018765,18896,
255,,Surface,3,Image 1,5,1000018794,18897,
255,,Surface,3,Image 1,5,1000018766,18898,
255,,Surface,3,Image 1,5,1000018867,18899,
255,,Surface,3,Image 1,5,1000018767,18900,
255,,Surface,3,Image 1,5,1000018797,18901,
255,,Surface,3,Image 1,5,1000018768,18902,
255,,Surface,3,Image 1,5,1000018799,18903,
255,,Surface,3,Image 1,5,1000018904,18904,
255,,Surface,3,Image 1,5,1000018754,18905,
255,,Surface,3,Image 1,5,1000018769,18906,
255,,Surface,3,Image 1,5,1000018770,18907,
255,,Surface,3,Image 1,5,1000018771,18908,
255,,Surface,3,Image 1,5,1000018802,18909,
255,,Surface,3,Image 1,5,1000018772,18910,
255,,Surface,3,Image 1,5,1000018773,18911,
255,,Surface,3,Image 1,5,1000018912,18912,
255,,Surface,3,Image 1,5,1000018913,18913,
255,,Surface,3,Image 1,5,1000018774,18914,
255,,Surface,3,Image 1,5,1000018775,18915,
255,,Surface,3,Image 1,5,1000018776,18916,
255,,Surface,3,Image 1,5,1000018777,18917,
255,,Surface,3,Image 1,5,1000018809,18918,
255,,Surface,3,Image 1,5,1000018919,18919,
255,,Surface,3,Image 1,5,1000018778,18920,
255,,Surface,3,Image 1,5,1000018779,18921,
255,,Surface,3,Image 1,6,1000018756,18922,
251,,Surface,3,Image 1,6,1000018757,18923,
255,,Surface,3,Image 1,6,1000018758,18924,
255,,Surface,3,Image 1,6,1000018816,18925,
255,,Surface,3,Image 1,6,1000018759,18926,
255,,Surface,3,Image 1,6,1000018760,18927,
255,,Surface,3,Image 1,6,1000018788,18928,
255,,Surface,3,Image 1,6,1000018858,18929,
255,,Surface,3,Image 1,6,1000018930,18930,
255,,Surface,3,Image 1,6,1000018761,18931,
255,,Surface,3,Image 1,6,1000018762,18932,
255,,Surface,3,Image 1,6,1000018933,18933,
255,,Surface,3,Image 1,6,1000018764,18934,
255,,Surface,3,Image 1,6,1000018763,18935,
255,,Surface,3,Image 1,6,1000018794,18936,
255,,Surface,3,Image 1,6,1000018765,18937,
255,,Surface,3,Image 1,6,1000018766,18938,
255,,Surface,3,Image 1,6,1000018867,18939,
255,,Surface,3,Image 1,6,1000018767,18940,
255,,Surface,3,Image 1,6,1000018797,18941,
255,,Surface,3,Image 1,6,1000018768,18942,
255,,Surface,3,Image 1,6,1000018799,18943,
255,,Surface,3,Image 1,6,1000018904,18944,
255,,Surface,3,Image 1,6,1000018755,18945,
255,,Surface,3,Image 1,6,1000018812,18946,
255,,Surface,3,Image 1,6,1000018947,18947,
255,,Surface,3,Image 1,6,1000018754,18948,
255,,Surface,3,Image 1,6,1000018769,18949,
255,,Surface,3,Image 1,6,1000018770,18950,
255,,Surface,3,Image 1,6,1000018771,18951,
193,,Surface,3,Image 1,6,1000018802,18952,
255,,Surface,3,Image 1,6,1000018772,18953,
255,,Surface,3,Image 1,6,1000018773,18954,
255,,Surface,3,Image 1,6,1000018912,18955,
255,,Surface,3,Image 1,6,1000018913,18956,
255,,Surface,3,Image 1,6,1000018775,18957,
255,,Surface,3,Image 1,6,1000018774,18958,
255,,Surface,3,Image 1,6,1000018776,18959,
255,,Surface,3,Image 1,6,1000018777,18960,
255,,Surface,3,Image 1,6,1000018809,18961,
255,,Surface,3,Image 1,6,1000018919,18962,
255,,Surface,3,Image 1,6,1000018778,18963,
219,,Surface,3,Image 1,6,1000018964,18964,
255,,Surface,3,Image 1,6,1000018779,18965,
255,,Surface,3,Image 1,7,1000018760,18966,
255,,Surface,3,Image 1,7,1000018788,18967,
255,,Surface,3,Image 1,7,1000018858,18968,
255,,Surface,3,Image 1,7,1000018930,18969,
255,,Surface,3,Image 1,7,1000018970,18970,
255,,Surface,3,Image 1,7,1000018761,18971,
255,,Surface,3,Image 1,7,1000018762,18972,
255,,Surface,3,Image 1,7,1000018933,18973,
255,,Surface,3,Image 1,7,1000018764,18974,
255,,Surface,3,Image 1,7,1000018763,18975,
255,,Surface,3,Image 1,7,1000018794,18976,
255,,Surface,3,Image 1,7,1000018765,18977,
255,,Surface,3,Image 1,7,1000018978,18978,
255,,Surface,3,Image 1,7,1000018766,18979,
255,,Surface,3,Image 1,7,1000018867,18980,
255,,Surface,3,Image 1,7,1000018767,18981,
255,,Surface,3,Image 1,7,1000018768,18982,
255,,Surface,3,Image 1,7,1000018797,18983,
255,,Surface,3,Image 1,7,1000018799,18984,
255,,Surface,3,Image 1,7,1000018904,18985,
255,,Surface,3,Image 1,7,1000018816,18986,
255,,Surface,3,Image 1,7,1000018759,18987,
255,,Surface,3,Image 1,7,1000018758,18988,
255,,Surface,3,Image 1,7,1000018757,18989,
255,,Surface,3,Image 1,7,1000018756,18990,
255,,Surface,3,Image 1,7,1000018755,18991,
255,,Surface,3,Image 1,7,1000018812,18992,
255,,Surface,3,Image 1,7,1000018947,18993,
255,,Surface,3,Image 1,7,1000018769,18994,
255,,Surface,3,Image 1,7,1000018770,18995,
255,,Surface,3,Image 1,7,1000018996,18996,
255,,Surface,3,Image 1,7,1000018802,18997,
176,,Surface,3,Image 1,7,1000018772,18998,
255,,Surface,3,Image 1,7,1000018773,18999,
255,,Surface,3,Image 1,7,1000018912,19000,
255,,Surface,3,Image 1,7,1000018913,19001,
255,,Surface,3,Image 1,7,1000019002,19002,
255,,Surface,3,Image 1,7,1000019003,19003,
255,,Surface,3,Image 1,7,1000019004,19004,
255,,Surface,3,Image 1,7,1000018774,19005,
