
Track Intensity Mean Ch=1 Img=1
 ==================== 
Track Intensity Mean,Unit,Category,Channel,Image,ID,
25.6702,,Track,1,Image 1,1000020297,
250.812,,Track,1,Image 1,1000020331,
17.2857,,Track,1,Image 1,1000020336,
25.9688,,Track,1,Image 1,1000020363,
15.5517,,Track,1,Image 1,1000020386,
50.2174,,Track,1,Image 1,1000020388,
15.0816,,Track,1,Image 1,1000020440,
229.606,,Track,1,Image 1,1000020457,
9.2701,,Track,1,Image 1,1000020475,
72.4613,,Track,1,Image 1,1000020486,
242.119,,Track,1,Image 1,1000020497,
246.348,,Track,1,Image 1,1000020507,
15.3347,,Track,1,Image 1,1000020516,
239.111,,Track,1,Image 1,1000020521,
235.374,,Track,1,Image 1,1000020533,
91.309,,Track,1,Image 1,1000020536,
94.024,,Track,1,Image 1,1000020556,
6.81818,,Track,1,Image 1,1000020594,
204.531,,Track,1,Image 1,1000020611,
200.974,,Track,1,Image 1,1000020618,
33.9853,,Track,1,Image 1,1000020622,
14.037,,Track,1,Image 1,1000020625,
48.2515,,Track,1,Image 1,1000020644,
119.16,,Track,1,Image 1,1000020652,
3.1,,Track,1,Image 1,1000020662,
141.192,,Track,1,Image 1,1000020673,
139.029,,Track,1,Image 1,1000020676,
87.023,,Track,1,Image 1,1000020690,
4.21488,,Track,1,Image 1,1000020691,
59.7077,,Track,1,Image 1,1000020693,
213.848,,Track,1,Image 1,1000020709,
174.474,,Track,1,Image 1,1000020710,
153.802,,Track,1,Image 1,1000020724,
20.6739,,Track,1,Image 1,1000020737,
43.7037,,Track,1,Image 1,1000020760,
217.444,,Track,1,Image 1,1000020787,
213.161,,Track,1,Image 1,1000020788,
111.015,,Track,1,Image 1,1000020805,
241.551,,Track,1,Image 1,1000020823,
111.316,,Track,1,Image 1,1000020845,
4.16495,,Track,1,Image 1,1000020850,
161.163,,Track,1,Image 1,1000020869,
30.8713,,Track,1,Image 1,1000020890,
254.839,,Track,1,Image 1,1000020917,
192.81,,Track,1,Image 1,1000020919,
2.53933,,Track,1,Image 1,1000020924,
102.885,,Track,1,Image 1,1000020929,
99.5864,,Track,1,Image 1,1000020942,
77.4444,,Track,1,Image 1,1000020962,
251,,Track,1,Image 1,1000020967,
73.9914,,Track,1,Image 1,1000020974,
