
Track Intensity StdDev Ch=1 Img=1
 ==================== 
Track Intensity StdDev,Unit,Category,Channel,Image,ID,
56.238,,Track,1,Image 1,1000020287,
17.1711,,Track,1,Image 1,1000020289,
32.7079,,Track,1,Image 1,1000020293,
25.319,,Track,1,Image 1,1000020297,
15.1879,,Track,1,Image 1,1000020331,
25.2233,,Track,1,Image 1,1000020336,
24.6481,,Track,1,Image 1,1000020363,
23.743,,Track,1,Image 1,1000020386,
43.9129,,Track,1,Image 1,1000020388,
23.8519,,Track,1,Image 1,1000020440,
31.1194,,Track,1,Image 1,1000020457,
18.2731,,Track,1,Image 1,1000020475,
50.5253,,Track,1,Image 1,1000020486,
26.4994,,Track,1,Image 1,1000020497,
23.3762,,Track,1,Image 1,1000020507,
18.8606,,Track,1,Image 1,1000020516,
32.2915,,Track,1,Image 1,1000020521,
36.2009,,Track,1,Image 1,1000020533,
52.9241,,Track,1,Image 1,1000020536,
52.06,,Track,1,Image 1,1000020556,
11.3883,,Track,1,Image 1,1000020594,
44.4459,,Track,1,Image 1,1000020611,
51.8898,,Track,1,Image 1,1000020618,
35.3886,,Track,1,Image 1,1000020622,
16.8358,,Track,1,Image 1,1000020625,
36.4931,,Track,1,Image 1,1000020644,
49.0328,,Track,1,Image 1,1000020652,
8.22131,,Track,1,Image 1,1000020662,
57.338,,Track,1,Image 1,1000020673,
62.5833,,Track,1,Image 1,1000020676,
50.7948,,Track,1,Image 1,1000020690,
10.7374,,Track,1,Image 1,1000020691,
67.2979,,Track,1,Image 1,1000020693,
48.3444,,Track,1,Image 1,1000020709,
89.0656,,Track,1,Image 1,1000020710,
64.574,,Track,1,Image 1,1000020724,
25.5076,,Track,1,Image 1,1000020737,
49.824,,Track,1,Image 1,1000020760,
39.6081,,Track,1,Image 1,1000020787,
47.8213,,Track,1,Image 1,1000020788,
52.4156,,Track,1,Image 1,1000020805,
35.6055,,Track,1,Image 1,1000020823,
50.6124,,Track,1,Image 1,1000020845,
11.0311,,Track,1,Image 1,1000020850,
52.4083,,Track,1,Image 1,1000020869,
39.3344,,Track,1,Image 1,1000020890,
2.0776,,Track,1,Image 1,1000020917,
63.6969,,Track,1,Image 1,1000020919,
5.6131,,Track,1,Image 1,1000020924,
49.3559,,Track,1,Image 1,1000020929,
51.1806,,Track,1,Image 1,1000020942,
53.4319,,Track,1,Image 1,1000020962,
8.50387,,Track,1,Image 1,1000020967,
47.6681,,Track,1,Image 1,1000020974,
