
Shortest Distance to Surfaces Surfaces=Surfaces 2 Selection ["Volume" above 150 um^3]
 ==================== 
Shortest Distance to Surfaces,Unit,Category,Surfaces,Time,TrackID,ID,
3.69666,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],3,1000018788,18820,
4.69739,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],3,1000018761,18821,
15.6344,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],3,1000018762,18822,
7.91304,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],3,1000018763,18823,
22.3345,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],3,1000018764,18824,
6.03988,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],3,1000018765,18825,
3.35731,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],3,1000018794,18826,
24.1444,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],3,1000018766,18827,
22.9191,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],3,1000018767,18828,
34.8233,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],3,1000018797,18829,
18.1673,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],3,1000018768,18830,
4.07456,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],3,1000018799,18831,
3.28307,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],3,1000018754,18832,
5.67023,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],3,1000018769,18833,
37.1504,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],3,1000018770,18834,
9.80864,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],3,1000018771,18835,
13.6219,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],3,1000018802,18836,
7.255,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],3,1000018772,18837,
31.7577,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],3,1000018773,18838,
9.76279,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],3,1000018774,18839,
7.9585,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],3,1000018775,18840,
18.5042,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],3,1000018776,18841,
31.0464,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],3,1000018777,18842,
9.10151,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],3,1000018809,18843,
48.3836,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],3,1000018778,18844,
89.4592,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],3,1000018779,18845,
38.1227,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],4,1000018770,18846,
4.4047,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],4,1000018769,18847,
5.83082,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],4,1000018754,18848,
8.18021,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],4,1000018812,18849,
15.2075,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],4,1000018755,18850,
5.84836,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],4,1000018756,18851,
14.0559,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],4,1000018757,18852,
7.08411,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],4,1000018758,18853,
4.7814,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],4,1000018759,18854,
4.48813,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],4,1000018816,18855,
2.15606,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],4,1000018760,18856,
5.00252,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],4,1000018788,18857,
9.90859,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],4,1000018858,18858,
5.31999,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],4,1000018761,18859,
14.4551,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],4,1000018762,18860,
18.2979,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],4,1000018764,18861,
7.26649,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],4,1000018763,18862,
5.53964,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],4,1000018765,18863,
5.98018,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],4,1000018794,18864,
22.7769,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],4,1000018766,18865,
21.5578,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],4,1000018767,18866,
23.0481,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],4,1000018867,18867,
36.347,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],4,1000018797,18868,
17.7369,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],4,1000018768,18869,
17.4807,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],4,1000018799,18870,
7.66231,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],4,1000018771,18871,
15.6943,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],4,1000018802,18872,
4.22596,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],4,1000018772,18873,
30.946,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],4,1000018773,18874,
6.11458,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],4,1000018774,18875,
7.18368,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],4,1000018775,18876,
18.5156,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],4,1000018776,18877,
25.1462,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],4,1000018777,18878,
6.52112,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],4,1000018809,18879,
47.0654,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],4,1000018778,18880,
76.3458,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],4,1000018779,18881,
14.1727,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],5,1000018755,18882,
11.5665,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],5,1000018812,18883,
4.85762,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],5,1000018756,18884,
15.4559,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],5,1000018757,18885,
4.60912,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],5,1000018816,18886,
1.9355,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],5,1000018759,18887,
5.88154,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],5,1000018758,18888,
1.96034,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],5,1000018760,18889,
3.4835,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],5,1000018788,18890,
7.77016,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],5,1000018858,18891,
3.77977,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],5,1000018761,18892,
16.0827,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],5,1000018762,18893,
22.4161,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],5,1000018764,18894,
8.32162,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],5,1000018763,18895,
3.39582,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],5,1000018765,18896,
6.70438,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],5,1000018794,18897,
21.0625,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],5,1000018766,18898,
19.7417,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],5,1000018867,18899,
21.3188,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],5,1000018767,18900,
38.3262,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],5,1000018797,18901,
17.2355,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],5,1000018768,18902,
17.6283,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],5,1000018799,18903,
35.9794,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],5,1000018904,18904,
7.73912,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],5,1000018754,18905,
5.22408,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],5,1000018769,18906,
38.93,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],5,1000018770,18907,
4.84882,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],5,1000018771,18908,
17.0082,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],5,1000018802,18909,
6.47378,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],5,1000018772,18910,
29.2243,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],5,1000018773,18911,
50.4533,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],5,1000018912,18912,
5.00519,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],5,1000018913,18913,
7.97135,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],5,1000018774,18914,
6.30709,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],5,1000018775,18915,
18.9571,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],5,1000018776,18916,
24.7944,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],5,1000018777,18917,
2.83674,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],5,1000018809,18918,
5.77747,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],5,1000018919,18919,
42.1181,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],5,1000018778,18920,
74.2828,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],5,1000018779,18921,
4.44133,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],6,1000018756,18922,
15.0422,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],6,1000018757,18923,
5.70131,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],6,1000018758,18924,
6.1954,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],6,1000018816,18925,
3.68953,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],6,1000018759,18926,
4.993,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],6,1000018760,18927,
4.6831,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],6,1000018788,18928,
6.83177,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],6,1000018858,18929,
1.73211,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],6,1000018930,18930,
4.47637,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],6,1000018761,18931,
13.7866,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],6,1000018762,18932,
12.3616,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],6,1000018933,18933,
21.6014,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],6,1000018764,18934,
6.90669,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],6,1000018763,18935,
6.87664,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],6,1000018794,18936,
2.26876,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],6,1000018765,18937,
22.137,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],6,1000018766,18938,
18.6232,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],6,1000018867,18939,
21.9518,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],6,1000018767,18940,
38.2717,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],6,1000018797,18941,
12.7659,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],6,1000018768,18942,
18.0092,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],6,1000018799,18943,
24.2689,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],6,1000018904,18944,
15.5773,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],6,1000018755,18945,
7.49285,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],6,1000018812,18946,
11.5879,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],6,1000018947,18947,
9.18041,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],6,1000018754,18948,
5.85239,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],6,1000018769,18949,
39.5166,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],6,1000018770,18950,
5.56247,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],6,1000018771,18951,
15.7768,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],6,1000018802,18952,
6.42319,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],6,1000018772,18953,
27.2875,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],6,1000018773,18954,
43.1409,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],6,1000018912,18955,
3.95536,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],6,1000018913,18956,
5.84473,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],6,1000018775,18957,
5.32633,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],6,1000018774,18958,
18.4422,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],6,1000018776,18959,
25.369,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],6,1000018777,18960,
6.57112,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],6,1000018809,18961,
4.1382,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],6,1000018919,18962,
43.5669,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],6,1000018778,18963,
11.6805,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],6,1000018964,18964,
75.2378,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],6,1000018779,18965,
6.07722,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],7,1000018760,18966,
4.55453,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],7,1000018788,18967,
5.31254,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],7,1000018858,18968,
2.47794,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],7,1000018930,18969,
3.89853,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],7,1000018970,18970,
5.09984,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],7,1000018761,18971,
13.5012,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],7,1000018762,18972,
19.3104,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],7,1000018933,18973,
23.2572,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],7,1000018764,18974,
5.32055,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],7,1000018763,18975,
5.05665,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],7,1000018794,18976,
3.13682,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],7,1000018765,18977,
2.30692,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],7,1000018978,18978,
24.3237,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],7,1000018766,18979,
21.162,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],7,1000018867,18980,
23.768,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],7,1000018767,18981,
8.84066,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],7,1000018768,18982,
37.9734,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],7,1000018797,18983,
12.3066,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],7,1000018799,18984,
26.2271,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],7,1000018904,18985,
8.69644,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],7,1000018816,18986,
5.8159,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],7,1000018759,18987,
7.69217,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],7,1000018758,18988,
14.5319,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],7,1000018757,18989,
5.01939,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],7,1000018756,18990,
16.4602,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],7,1000018755,18991,
6.53294,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],7,1000018812,18992,
9.95993,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],7,1000018947,18993,
4.51422,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],7,1000018769,18994,
38.5385,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],7,1000018770,18995,
5.92764,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],7,1000018996,18996,
27.6136,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],7,1000018802,18997,
5.00975,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],7,1000018772,18998,
24.3158,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],7,1000018773,18999,
48.9976,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],7,1000018912,19000,
5.22918,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],7,1000018913,19001,
3.73476,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],7,1000019002,19002,
8.96114,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],7,1000019003,19003,
14.5039,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],7,1000019004,19004,
8.56016,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],7,1000018774,19005,
4.83376,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],7,1000018775,19006,
8.35098,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],7,1000019007,19007,
18.1024,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],7,1000018776,19008,
24.5607,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],7,1000018777,19009,
3.59783,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],7,1000018809,19010,
5.37182,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],7,1000018919,19011,
44.0438,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],7,1000018778,19012,
14.0589,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],7,1000018964,19013,
77.6989,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],7,1000018779,19014,
10.1279,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],8,1000018947,19015,
7.45104,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],8,1000018812,19016,
17.4797,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],8,1000018755,19017,
5.69994,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],8,1000018756,19018,
5.65995,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],8,1000018759,19019,
11.4833,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],8,1000018816,19020,
6.64281,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],8,1000018760,19021,
4.62388,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],8,1000018788,19022,
3.39331,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],8,1000018858,19023,
3.07698,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],8,1000018970,19024,
3.60874,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],8,1000018930,19025,
5.05275,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],8,1000018761,19026,
13.4084,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],8,1000018762,19027,
3.17131,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],8,1000018933,19028,
23.8167,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],8,1000018764,19029,
3.7001,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],8,1000018763,19030,
8.09473,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],8,1000018794,19031,
4.17178,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],8,1000018978,19032,
24.1798,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],8,1000018766,19033,
21.8147,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],8,1000018867,19034,
8.14862,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],8,1000018768,19035,
36.9921,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],8,1000018797,19036,
15.719,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],8,1000018799,19037,
7.57269,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],8,1000018904,19038,
4.67029,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],8,1000018769,19039,
39.0793,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],8,1000018770,19040,
4.49106,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],8,1000018996,19041,
28.3702,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],8,1000018802,19042,
20.7535,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],8,1000018773,19043,
53.3751,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],8,1000018912,19044,
23.0732,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],8,1000019003,19045,
3.94292,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],8,1000018913,19046,
4.99575,um,Surface,Surfaces 2 Selection ["Volume" above 150 um^3],8,1000019002,19047,
