
Track Area Mean
 ==================== 
Track Area Mean,Unit,Category,ID,
36.865,um^2,Track,1000020475,
51.8981,um^2,Track,1000020486,
60.682,um^2,Track,1000020497,
35.0294,um^2,Track,1000020507,
34.2725,um^2,Track,1000020516,
14.0707,um^2,Track,1000020521,
70.7703,um^2,Track,1000020533,
67.9198,um^2,Track,1000020536,
21.6336,um^2,Track,1000020556,
7.85099,um^2,Track,1000020594,
8.27854,um^2,Track,1000020611,
79.6878,um^2,Track,1000020618,
42.736,um^2,Track,1000020622,
11.0054,um^2,Track,1000020625,
35.4961,um^2,Track,1000020644,
24.1208,um^2,Track,1000020652,
18.5577,um^2,Track,1000020662,
33.4432,um^2,Track,1000020673,
21.603,um^2,Track,1000020676,
38.0002,um^2,Track,1000020690,
52.8546,um^2,Track,1000020691,
16.319,um^2,Track,1000020693,
84.0879,um^2,Track,1000020709,
11.4997,um^2,Track,1000020710,
67.6218,um^2,Track,1000020724,
29.4367,um^2,Track,1000020737,
7.65487,um^2,Track,1000020760,
7.6169,um^2,Track,1000020787,
67.7826,um^2,Track,1000020788,
29.2604,um^2,Track,1000020805,
13.9166,um^2,Track,1000020823,
16.7753,um^2,Track,1000020845,
42.5197,um^2,Track,1000020850,
16.7191,um^2,Track,1000020869,
60.4095,um^2,Track,1000020890,
56.698,um^2,Track,1000020917,
4.68129,um^2,Track,1000020919,
34.6556,um^2,Track,1000020924,
31.8146,um^2,Track,1000020929,
68.7924,um^2,Track,1000020942,
15.3338,um^2,Track,1000020962,
4.92759,um^2,Track,1000020967,
87.7136,um^2,Track,1000020974,
