
Intensity Min Ch=1 Img=1
 ==================== 
Intensity Min,Unit,Category,Channel,Image,Time,TrackID,ID,
0,,Surface,1,Image 1,4,1000018809,18879,
7,,Surface,1,Image 1,4,1000018778,18880,
0,,Surface,1,Image 1,4,1000018779,18881,
140,,Surface,1,Image 1,5,1000018755,18882,
24,,Surface,1,Image 1,5,1000018812,18883,
0,,Surface,1,Image 1,5,1000018756,18884,
255,,Surface,1,Image 1,5,1000018757,18885,
0,,Surface,1,Image 1,5,1000018816,18886,
95,,Surface,1,Image 1,5,1000018759,18887,
195,,Surface,1,Image 1,5,1000018758,18888,
73,,Surface,1,Image 1,5,1000018760,18889,
0,,Surface,1,Image 1,5,1000018788,18890,
0,,Surface,1,Image 1,5,1000018858,18891,
255,,Surface,1,Image 1,5,1000018761,18892,
255,,Surface,1,Image 1,5,1000018762,18893,
137,,Surface,1,Image 1,5,1000018764,18894,
13,,Surface,1,Image 1,5,1000018763,18895,
0,,Surface,1,Image 1,5,1000018765,18896,
0,,Surface,1,Image 1,5,1000018794,18897,
58,,Surface,1,Image 1,5,1000018766,18898,
19,,Surface,1,Image 1,5,1000018867,18899,
0,,Surface,1,Image 1,5,1000018767,18900,
80,,Surface,1,Image 1,5,1000018797,18901,
186,,Surface,1,Image 1,5,1000018768,18902,
120,,Surface,1,Image 1,5,1000018799,18903,
255,,Surface,1,Image 1,5,1000018904,18904,
0,,Surface,1,Image 1,5,1000018754,18905,
21,,Surface,1,Image 1,5,1000018769,18906,
255,,Surface,1,Image 1,5,1000018770,18907,
255,,Surface,1,Image 1,5,1000018771,18908,
0,,Surface,1,Image 1,5,1000018802,18909,
0,,Surface,1,Image 1,5,1000018772,18910,
247,,Surface,1,Image 1,5,1000018773,18911,
0,,Surface,1,Image 1,5,1000018912,18912,
0,,Surface,1,Image 1,5,1000018913,18913,
0,,Surface,1,Image 1,5,1000018774,18914,
0,,Surface,1,Image 1,5,1000018775,18915,
59,,Surface,1,Image 1,5,1000018776,18916,
4,,Surface,1,Image 1,5,1000018777,18917,
0,,Surface,1,Image 1,5,1000018809,18918,
0,,Surface,1,Image 1,5,1000018919,18919,
11,,Surface,1,Image 1,5,1000018778,18920,
0,,Surface,1,Image 1,5,1000018779,18921,
0,,Surface,1,Image 1,6,1000018756,18922,
223,,Surface,1,Image 1,6,1000018757,18923,
58,,Surface,1,Image 1,6,1000018758,18924,
0,,Surface,1,Image 1,6,1000018816,18925,
96,,Surface,1,Image 1,6,1000018759,18926,
75,,Surface,1,Image 1,6,1000018760,18927,
0,,Surface,1,Image 1,6,1000018788,18928,
0,,Surface,1,Image 1,6,1000018858,18929,
4,,Surface,1,Image 1,6,1000018930,18930,
255,,Surface,1,Image 1,6,1000018761,18931,
170,,Surface,1,Image 1,6,1000018762,18932,
193,,Surface,1,Image 1,6,1000018933,18933,
138,,Surface,1,Image 1,6,1000018764,18934,
15,,Surface,1,Image 1,6,1000018763,18935,
0,,Surface,1,Image 1,6,1000018794,18936,
0,,Surface,1,Image 1,6,1000018765,18937,
15,,Surface,1,Image 1,6,1000018766,18938,
58,,Surface,1,Image 1,6,1000018867,18939,
0,,Surface,1,Image 1,6,1000018767,18940,
125,,Surface,1,Image 1,6,1000018797,18941,
249,,Surface,1,Image 1,6,1000018768,18942,
116,,Surface,1,Image 1,6,1000018799,18943,
255,,Surface,1,Image 1,6,1000018904,18944,
145,,Surface,1,Image 1,6,1000018755,18945,
8,,Surface,1,Image 1,6,1000018812,18946,
46,,Surface,1,Image 1,6,1000018947,18947,
0,,Surface,1,Image 1,6,1000018754,18948,
4,,Surface,1,Image 1,6,1000018769,18949,
255,,Surface,1,Image 1,6,1000018770,18950,
255,,Surface,1,Image 1,6,1000018771,18951,
0,,Surface,1,Image 1,6,1000018802,18952,
30,,Surface,1,Image 1,6,1000018772,18953,
245,,Surface,1,Image 1,6,1000018773,18954,
0,,Surface,1,Image 1,6,1000018912,18955,
0,,Surface,1,Image 1,6,1000018913,18956,
3,,Surface,1,Image 1,6,1000018775,18957,
0,,Surface,1,Image 1,6,1000018774,18958,
0,,Surface,1,Image 1,6,1000018776,18959,
25,,Surface,1,Image 1,6,1000018777,18960,
0,,Surface,1,Image 1,6,1000018809,18961,
0,,Surface,1,Image 1,6,1000018919,18962,
32,,Surface,1,Image 1,6,1000018778,18963,
0,,Surface,1,Image 1,6,1000018964,18964,
34,,Surface,1,Image 1,6,1000018779,18965,
68,,Surface,1,Image 1,7,1000018760,18966,
0,,Surface,1,Image 1,7,1000018788,18967,
0,,Surface,1,Image 1,7,1000018858,18968,
27,,Surface,1,Image 1,7,1000018930,18969,
32,,Surface,1,Image 1,7,1000018970,18970,
255,,Surface,1,Image 1,7,1000018761,18971,
150,,Surface,1,Image 1,7,1000018762,18972,
255,,Surface,1,Image 1,7,1000018933,18973,
139,,Surface,1,Image 1,7,1000018764,18974,
17,,Surface,1,Image 1,7,1000018763,18975,
0,,Surface,1,Image 1,7,1000018794,18976,
0,,Surface,1,Image 1,7,1000018765,18977,
