
Track Intensity Min Ch=3 Img=1
 ==================== 
Track Intensity Min,Unit,Category,Channel,Image,ID,
78,,Track,3,Image 1,1000020618,
105,,Track,3,Image 1,1000020622,
164,,Track,3,Image 1,1000020625,
83,,Track,3,Image 1,1000020644,
105,,Track,3,Image 1,1000020652,
110,,Track,3,Image 1,1000020662,
198,,Track,3,Image 1,1000020673,
85,,Track,3,Image 1,1000020676,
62,,Track,3,Image 1,1000020690,
107,,Track,3,Image 1,1000020691,
79,,Track,3,Image 1,1000020693,
69,,Track,3,Image 1,1000020709,
103,,Track,3,Image 1,1000020710,
105,,Track,3,Image 1,1000020724,
68,,Track,3,Image 1,1000020737,
255,,Track,3,Image 1,1000020760,
145,,Track,3,Image 1,1000020787,
88,,Track,3,Image 1,1000020788,
80,,Track,3,Image 1,1000020805,
192,,Track,3,Image 1,1000020823,
140,,Track,3,Image 1,1000020845,
63,,Track,3,Image 1,1000020850,
140,,Track,3,Image 1,1000020869,
108,,Track,3,Image 1,1000020890,
93,,Track,3,Image 1,1000020917,
229,,Track,3,Image 1,1000020919,
27,,Track,3,Image 1,1000020924,
137,,Track,3,Image 1,1000020929,
18,,Track,3,Image 1,1000020942,
146,,Track,3,Image 1,1000020962,
141,,Track,3,Image 1,1000020967,
93,,Track,3,Image 1,1000020974,
