
Velocity Angle
 ==================== 
Velocity Angle X,Velocity Angle Y,Velocity Angle Z,Unit,Category,Collection,Time,TrackID,ID,
96.0331,52.6933,37.9632,°,Surface,Velocity Angle,3,1000018770,18834,
74.7773,79.9197,161.607,°,Surface,Velocity Angle,3,1000018771,18835,
104.573,41.0051,127.302,°,Surface,Velocity Angle,3,1000018802,18836,
84.9288,58.9463,148.444,°,Surface,Velocity Angle,3,1000018772,18837,
15.6427,74.3599,90.0027,°,Surface,Velocity Angle,3,1000018773,18838,
56.4673,86.8354,146.28,°,Surface,Velocity Angle,3,1000018774,18839,
7.29659,82.7061,90.0027,°,Surface,Velocity Angle,3,1000018775,18840,
77.4743,12.5284,90.0027,°,Surface,Velocity Angle,3,1000018776,18841,
8.69677,86.8713,98.108,°,Surface,Velocity Angle,3,1000018777,18842,
48.3835,57.1814,120.994,°,Surface,Velocity Angle,3,1000018809,18843,
57.1488,90.0027,147.152,°,Surface,Velocity Angle,3,1000018778,18844,
59.3787,30.6239,90.0027,°,Surface,Velocity Angle,3,1000018779,18845,
74.4083,101.148,19.3361,°,Surface,Velocity Angle,4,1000018770,18846,
114.138,128.508,131.859,°,Surface,Velocity Angle,4,1000018769,18847,
172.881,97.1273,90.0027,°,Surface,Velocity Angle,4,1000018754,18848,
87.0445,22.1164,68.1059,°,Surface,Velocity Angle,4,1000018812,18849,
103.118,15.1185,97.3914,°,Surface,Velocity Angle,4,1000018755,18850,
65.4395,155.091,93.9175,°,Surface,Velocity Angle,4,1000018756,18851,
120.688,116.252,137.528,°,Surface,Velocity Angle,4,1000018757,18852,
104.04,165.968,90.0027,°,Surface,Velocity Angle,4,1000018758,18853,
87.4616,96.1117,173.385,°,Surface,Velocity Angle,4,1000018759,18854,
53.2138,106.836,138.307,°,Surface,Velocity Angle,4,1000018816,18855,
127.485,72.2877,137.134,°,Surface,Velocity Angle,4,1000018760,18856,
120.201,102.729,146.699,°,Surface,Velocity Angle,4,1000018788,18857,
60.2707,138.067,116.618,°,Surface,Velocity Angle,4,1000018858,18858,
32.49,122.111,85.5513,°,Surface,Velocity Angle,4,1000018761,18859,
113.747,118.021,38.2219,°,Surface,Velocity Angle,4,1000018762,18860,
82.522,126.56,142.438,°,Surface,Velocity Angle,4,1000018764,18861,
116.048,43.2273,121.713,°,Surface,Velocity Angle,4,1000018763,18862,
126.466,117.342,131.321,°,Surface,Velocity Angle,4,1000018765,18863,
117.121,150.373,78.9613,°,Surface,Velocity Angle,4,1000018794,18864,
109.301,128.221,135.465,°,Surface,Velocity Angle,4,1000018766,18865,
128.123,75.0979,41.9712,°,Surface,Velocity Angle,4,1000018767,18866,
108.438,161.57,90.0027,°,Surface,Velocity Angle,4,1000018867,18867,
70.9192,90.0027,160.922,°,Surface,Velocity Angle,4,1000018797,18868,
128.408,139.632,79.4275,°,Surface,Velocity Angle,4,1000018768,18869,
108.072,161.527,93.7385,°,Surface,Velocity Angle,4,1000018799,18870,
130.425,119.102,125.858,°,Surface,Velocity Angle,4,1000018771,18871,
129.788,134.745,107.959,°,Surface,Velocity Angle,4,1000018802,18872,
105.334,82.4055,162.811,°,Surface,Velocity Angle,4,1000018772,18873,
49.4022,139.405,90.0027,°,Surface,Velocity Angle,4,1000018773,18874,
78.2117,119.755,147.547,°,Surface,Velocity Angle,4,1000018774,18875,
25.5003,97.5044,65.7826,°,Surface,Velocity Angle,4,1000018775,18876,
123.314,146.694,90.0027,°,Surface,Velocity Angle,4,1000018776,18877,
86.2981,44.7026,45.5392,°,Surface,Velocity Angle,4,1000018777,18878,
20.2728,109.058,96.6659,°,Surface,Velocity Angle,4,1000018809,18879,
96.0795,129.439,139.916,°,Surface,Velocity Angle,4,1000018778,18880,
134.431,135.577,90.0027,°,Surface,Velocity Angle,4,1000018779,18881,
144.692,124.354,97.2106,°,Surface,Velocity Angle,5,1000018755,18882,
125.461,35.5528,92.2692,°,Surface,Velocity Angle,5,1000018812,18883,
81.9232,129.235,139.622,°,Surface,Velocity Angle,5,1000018756,18884,
161.567,108.441,90.0027,°,Surface,Velocity Angle,5,1000018757,18885,
77.123,111.083,154.972,°,Surface,Velocity Angle,5,1000018816,18886,
104.618,108.931,24.2656,°,Surface,Velocity Angle,5,1000018759,18887,
87.3105,159.964,70.1585,°,Surface,Velocity Angle,5,1000018758,18888,
82.3661,171.882,87.2505,°,Surface,Velocity Angle,5,1000018760,18889,
101.972,118.522,31.3688,°,Surface,Velocity Angle,5,1000018788,18890,
45.0013,135.004,90.0027,°,Surface,Velocity Angle,5,1000018858,18891,
41.1952,129.747,99.1012,°,Surface,Velocity Angle,5,1000018761,18892,
70.4048,149.16,112.819,°,Surface,Velocity Angle,5,1000018762,18893,
56.2686,116.918,134.243,°,Surface,Velocity Angle,5,1000018764,18894,
51.9102,56.1945,56.1789,°,Surface,Velocity Angle,5,1000018763,18895,
65.7141,113.491,145.063,°,Surface,Velocity Angle,5,1000018765,18896,
113.247,155.194,98.2013,°,Surface,Velocity Angle,5,1000018794,18897,
91.3083,171.033,98.8784,°,Surface,Velocity Angle,5,1000018766,18898,
85.0509,140.976,128.595,°,Surface,Velocity Angle,5,1000018867,18899,
90.0027,0,90.0027,°,Surface,Velocity Angle,5,1000018767,18900,
111.197,158.811,90.0027,°,Surface,Velocity Angle,5,1000018797,18901,
108.584,137.698,53.6397,°,Surface,Velocity Angle,5,1000018768,18902,
78.5256,158.993,107.358,°,Surface,Velocity Angle,5,1000018799,18903,
90.0027,180.005,90.0027,°,Surface,Velocity Angle,5,1000018904,18904,
120.706,120.706,133.779,°,Surface,Velocity Angle,5,1000018754,18905,
91.8188,145.81,55.8695,°,Surface,Velocity Angle,5,1000018769,18906,
66.9516,118.593,141.812,°,Surface,Velocity Angle,5,1000018770,18907,
126.512,131.203,62.5731,°,Surface,Velocity Angle,5,1000018771,18908,
124.334,145.674,90.0027,°,Surface,Velocity Angle,5,1000018802,18909,
81.1867,94.8869,10.0975,°,Surface,Velocity Angle,5,1000018772,18910,
147.534,122.474,90.0027,°,Surface,Velocity Angle,5,1000018773,18911,
79.5028,169.333,88.116,°,Surface,Velocity Angle,5,1000018912,18912,
51.5429,141.031,95.3757,°,Surface,Velocity Angle,5,1000018913,18913,
128.072,141.359,95.6856,°,Surface,Velocity Angle,5,1000018774,18914,
42.3985,132.401,90.0027,°,Surface,Velocity Angle,5,1000018775,18915,
50.3668,140.369,90.0027,°,Surface,Velocity Angle,5,1000018776,18916,
111.815,158.013,92.6792,°,Surface,Velocity Angle,5,1000018777,18917,
26.7422,102.904,67.0057,°,Surface,Velocity Angle,5,1000018809,18918,
101.298,38.423,53.8606,°,Surface,Velocity Angle,5,1000018919,18919,
