
Ellipticity (prolate)
 ==================== 
Ellipticity (prolate),Unit,Category,Time,TrackID,ID,
0.256741,,Surface,5,1000018904,18904,
0.923364,,Surface,5,1000018754,18905,
0.761571,,Surface,5,1000018769,18906,
0.611234,,Surface,5,1000018770,18907,
0.617027,,Surface,5,1000018771,18908,
0.217036,,Surface,5,1000018802,18909,
0.256738,,Surface,5,1000018772,18910,
0.245866,,Surface,5,1000018773,18911,
0.383507,,Surface,5,1000018912,18912,
0.782127,,Surface,5,1000018913,18913,
0.647518,,Surface,5,1000018774,18914,
0.831418,,Surface,5,1000018775,18915,
0.668079,,Surface,5,1000018776,18916,
0.69612,,Surface,5,1000018777,18917,
0.434152,,Surface,5,1000018809,18918,
0.632966,,Surface,5,1000018919,18919,
0.30639,,Surface,5,1000018778,18920,
0.621508,,Surface,5,1000018779,18921,
0.396997,,Surface,6,1000018756,18922,
0.9234,,Surface,6,1000018757,18923,
0.651995,,Surface,6,1000018758,18924,
0.725564,,Surface,6,1000018816,18925,
0.657389,,Surface,6,1000018759,18926,
0.245357,,Surface,6,1000018760,18927,
0.744794,,Surface,6,1000018788,18928,
0.433215,,Surface,6,1000018858,18929,
0.822182,,Surface,6,1000018930,18930,
0.558673,,Surface,6,1000018761,18931,
0.575232,,Surface,6,1000018762,18932,
0.576923,,Surface,6,1000018933,18933,
0.699771,,Surface,6,1000018764,18934,
0.847373,,Surface,6,1000018763,18935,
0.534662,,Surface,6,1000018794,18936,
0.632104,,Surface,6,1000018765,18937,
0.746751,,Surface,6,1000018766,18938,
0.617017,,Surface,6,1000018867,18939,
0.256741,,Surface,6,1000018767,18940,
0.25517,,Surface,6,1000018797,18941,
0.750251,,Surface,6,1000018768,18942,
0.429565,,Surface,6,1000018799,18943,
0.923407,,Surface,6,1000018904,18944,
0.499256,,Surface,6,1000018755,18945,
0.58932,,Surface,6,1000018812,18946,
0.480235,,Surface,6,1000018947,18947,
0.396994,,Surface,6,1000018754,18948,
0.621765,,Surface,6,1000018769,18949,
0.651887,,Surface,6,1000018770,18950,
0.800553,,Surface,6,1000018771,18951,
0.396994,,Surface,6,1000018802,18952,
0.617032,,Surface,6,1000018772,18953,
0.617018,,Surface,6,1000018773,18954,
0.513096,,Surface,6,1000018912,18955,
0.486293,,Surface,6,1000018913,18956,
0.923394,,Surface,6,1000018775,18957,
0.505685,,Surface,6,1000018774,18958,
0.458899,,Surface,6,1000018776,18959,
0.615061,,Surface,6,1000018777,18960,
0.498004,,Surface,6,1000018809,18961,
0.356786,,Surface,6,1000018919,18962,
0.217032,,Surface,6,1000018778,18963,
0.270029,,Surface,6,1000018964,18964,
0.450202,,Surface,6,1000018779,18965,
0.234931,,Surface,7,1000018760,18966,
0.738381,,Surface,7,1000018788,18967,
0.85627,,Surface,7,1000018858,18968,
0.841179,,Surface,7,1000018930,18969,
0.738382,,Surface,7,1000018970,18970,
0.443357,,Surface,7,1000018761,18971,
0.108168,,Surface,7,1000018762,18972,
0.309008,,Surface,7,1000018933,18973,
0.676403,,Surface,7,1000018764,18974,
0.734762,,Surface,7,1000018763,18975,
0.769941,,Surface,7,1000018794,18976,
0.41488,,Surface,7,1000018765,18977,
0.315783,,Surface,7,1000018978,18978,
0.764865,,Surface,7,1000018766,18979,
0.802115,,Surface,7,1000018867,18980,
0.396997,,Surface,7,1000018767,18981,
0.667966,,Surface,7,1000018768,18982,
0.25673,,Surface,7,1000018797,18983,
0.447803,,Surface,7,1000018799,18984,
0.256741,,Surface,7,1000018904,18985,
0.769942,,Surface,7,1000018816,18986,
0.848733,,Surface,7,1000018759,18987,
0.309006,,Surface,7,1000018758,18988,
0.396994,,Surface,7,1000018757,18989,
0.433205,,Surface,7,1000018756,18990,
0.621526,,Surface,7,1000018755,18991,
0.59997,,Surface,7,1000018812,18992,
0.258556,,Surface,7,1000018947,18993,
0.705289,,Surface,7,1000018769,18994,
0.650249,,Surface,7,1000018770,18995,
0.617033,,Surface,7,1000018996,18996,
0.750699,,Surface,7,1000018802,18997,
0.0813015,,Surface,7,1000018772,18998,
0.217029,,Surface,7,1000018773,18999,
0.499222,,Surface,7,1000018912,19000,
0.511738,,Surface,7,1000018913,19001,
0.617028,,Surface,7,1000019002,19002,
0.30775,,Surface,7,1000019003,19003,
0.106412,,Surface,7,1000019004,19004,
0.309008,,Surface,7,1000018774,19005,
0.145221,,Surface,7,1000018775,19006,
0.217033,,Surface,7,1000019007,19007,
0.139655,,Surface,7,1000018776,19008,
0.648176,,Surface,7,1000018777,19009,
0.333919,,Surface,7,1000018809,19010,
0.303538,,Surface,7,1000018919,19011,
0.21703,,Surface,7,1000018778,19012,
0.396995,,Surface,7,1000018964,19013,
0.139648,,Surface,7,1000018779,19014,
0.139651,,Surface,8,1000018947,19015,
0.217031,,Surface,8,1000018812,19016,
0.311298,,Surface,8,1000018755,19017,
0.9234,,Surface,8,1000018756,19018,
0.611469,,Surface,8,1000018759,19019,
0.62128,,Surface,8,1000018816,19020,
0.225927,,Surface,8,1000018760,19021,
0.812516,,Surface,8,1000018788,19022,
0.256736,,Surface,8,1000018858,19023,
0.507056,,Surface,8,1000018970,19024,
0.594009,,Surface,8,1000018930,19025,
0.626969,,Surface,8,1000018761,19026,
0.717892,,Surface,8,1000018762,19027,
0.256736,,Surface,8,1000018933,19028,
0.659196,,Surface,8,1000018764,19029,
0.713513,,Surface,8,1000018763,19030,
0.773451,,Surface,8,1000018794,19031,
0.730236,,Surface,8,1000018978,19032,
0.708717,,Surface,8,1000018766,19033,
0.396993,,Surface,8,1000018867,19034,
0.715149,,Surface,8,1000018768,19035,
0.433206,,Surface,8,1000018797,19036,
0.286962,,Surface,8,1000018799,19037,
0.923407,,Surface,8,1000018904,19038,
0.695236,,Surface,8,1000018769,19039,
0.612296,,Surface,8,1000018770,19040,
0.226555,,Surface,8,1000018996,19041,
0.396994,,Surface,8,1000018802,19042,
0.217031,,Surface,8,1000018773,19043,
0.444225,,Surface,8,1000018912,19044,
0.363833,,Surface,8,1000019003,19045,
0.217025,,Surface,8,1000018913,19046,
0.256735,,Surface,8,1000019002,19047,
0.881348,,Surface,8,1000019004,19048,
0.245877,,Surface,8,1000019049,19049,
0.617028,,Surface,8,1000018774,19050,
0.256739,,Surface,8,1000018775,19051,
0.254349,,Surface,8,1000019007,19052,
0.440873,,Surface,8,1000018776,19053,
0.723614,,Surface,8,1000018777,19054,
0.493147,,Surface,8,1000018919,19055,
0.13965,,Surface,8,1000018778,19056,
0.245366,,Surface,8,1000018964,19057,
0.25855,,Surface,8,1000018779,19058,
0.720017,,Surface,9,1000018770,19059,
0.718319,,Surface,9,1000018769,19060,
0.374441,,Surface,9,1000018947,19061,
0.139657,,Surface,9,1000018812,19062,
0.646416,,Surface,9,1000018755,19063,
0.590393,,Surface,9,1000019064,19064,
0.617027,,Surface,9,1000018756,19065,
0.490611,,Surface,9,1000018759,19066,
0.277145,,Surface,9,1000018760,19067,
0.856272,,Surface,9,1000018788,19068,
0.56319,,Surface,9,1000018816,19069,
0.398811,,Surface,9,1000018858,19070,
0.528654,,Surface,9,1000018930,19071,
0.630499,,Surface,9,1000018970,19072,
0.438545,,Surface,9,1000018761,19073,
0.248269,,Surface,9,1000018762,19074,
0.256736,,Surface,9,1000018933,19075,
0.623039,,Surface,9,1000018764,19076,
0.82673,,Surface,9,1000018763,19077,
0.923407,,Surface,9,1000018794,19078,
0.766095,,Surface,9,1000018978,19079,
0.668079,,Surface,9,1000018766,19080,
0.292888,,Surface,9,1000018867,19081,
0.309006,,Surface,9,1000018797,19082,
0.631142,,Surface,9,1000018768,19083,
0.248604,,Surface,9,1000018799,19084,
0.905407,,Surface,9,1000018904,19085,
0.309016,,Surface,9,1000018996,19086,
0.62431,,Surface,9,1000019087,19087,
0.245879,,Surface,9,1000018773,19088,
0.314103,,Surface,9,1000018912,19089,
0.217029,,Surface,9,1000018913,19090,
0.135798,,Surface,9,1000019003,19091,
0.905407,,Surface,9,1000019002,19092,
0.217031,,Surface,9,1000019004,19093,
0.82314,,Surface,9,1000018774,19094,
0.571478,,Surface,9,1000019049,19095,
0.360461,,Surface,9,1000019007,19096,
0.759385,,Surface,9,1000018776,19097,
0.232475,,Surface,9,1000018777,19098,
0.255167,,Surface,9,1000018919,19099,
0.254344,,Surface,9,1000018778,19100,
0.858785,,Surface,9,1000018964,19101,
0.424005,,Surface,9,1000018779,19102,
0.527115,,Surface,10,1000018947,19103,
0.255172,,Surface,10,1000018812,19104,
0.373527,,Surface,10,1000018755,19105,
0.396993,,Surface,10,1000019064,19106,
0.576925,,Surface,10,1000018756,19107,
0.540346,,Surface,10,1000019108,19108,
0.615307,,Surface,10,1000019109,19109,
0.245875,,Surface,10,1000018759,19110,
0.823143,,Surface,10,1000018788,19111,
0.387778,,Surface,10,1000018760,19112,
0.617028,,Surface,10,1000018858,19113,
0.881349,,Surface,10,1000019114,19114,
0.617849,,Surface,10,1000018816,19115,
0.481855,,Surface,10,1000018970,19116,
0.810077,,Surface,10,1000018930,19117,
0.437074,,Surface,10,1000018761,19118,
0.433386,,Surface,10,1000018762,19119,
0.256733,,Surface,10,1000018933,19120,
0.758089,,Surface,10,1000018764,19121,
0.712717,,Surface,10,1000018794,19122,
0.770727,,Surface,10,1000018978,19123,
0.574795,,Surface,10,1000018766,19124,
0.256757,,Surface,10,1000018867,19125,
0.923407,,Surface,10,1000018797,19126,
0.529305,,Surface,10,1000018768,19127,
0.35386,,Surface,10,1000018799,19128,
0.396999,,Surface,10,1000018904,19129,
0.630956,,Surface,10,1000018769,19130,
0.776644,,Surface,10,1000018770,19131,
0.617032,,Surface,10,1000018996,19132,
0.485156,,Surface,10,1000019133,19133,
0.245879,,Surface,10,1000019087,19134,
0.217022,,Surface,10,1000018773,19135,
0.664478,,Surface,10,1000018912,19136,
0.351209,,Surface,10,1000019003,19137,
0.617028,,Surface,10,1000019002,19138,
0.726099,,Surface,10,1000018913,19139,
0.433207,,Surface,10,1000019004,19140,
0.642885,,Surface,10,1000018774,19141,
0.639285,,Surface,10,1000019049,19142,
0.62117,,Surface,10,1000019007,19143,
0.363839,,Surface,10,1000018776,19144,
0.617028,,Surface,10,1000018777,19145,
0.710084,,Surface,10,1000018919,19146,
0.255169,,Surface,10,1000018778,19147,
0.617032,,Surface,10,1000018964,19148,
0.511885,,Surface,10,1000018779,19149,
0.592059,,Surface,11,1000019150,19150,
0.815378,,Surface,11,1000018770,19151,
0.817963,,Surface,11,1000019152,19152,
0.255161,,Surface,11,1000018812,19153,
0.479383,,Surface,11,1000018947,19154,
0.418813,,Surface,11,1000018755,19155,
0.508412,,Surface,11,1000019064,19156,
0.887445,,Surface,11,1000018756,19157,
0.364592,,Surface,11,1000019108,19158,
0.507625,,Surface,11,1000019109,19159,
0.887445,,Surface,11,1000018788,19160,
0.256741,,Surface,11,1000018759,19161,
0.320933,,Surface,11,1000018760,19162,
0.256741,,Surface,11,1000018858,19163,
0.50228,,Surface,11,1000019114,19164,
0.793029,,Surface,11,1000018816,19165,
0.652842,,Surface,11,1000018970,19166,
0.248252,,Surface,11,1000018930,19167,
0.392772,,Surface,11,1000018761,19168,
0.143713,,Surface,11,1000018762,19169,
0.396995,,Surface,11,1000018933,19170,
0.620243,,Surface,11,1000018764,19171,
0.539508,,Surface,11,1000018794,19172,
0.764225,,Surface,11,1000018978,19173,
0.640619,,Surface,11,1000018766,19174,
0.256735,,Surface,11,1000018867,19175,
0.706455,,Surface,11,1000018768,19176,
0.253965,,Surface,11,1000018799,19177,
0.25673,,Surface,11,1000018904,19178,
0.715013,,Surface,11,1000018996,19179,
0.255161,,Surface,11,1000019180,19180,
0.617027,,Surface,11,1000019133,19181,
0.305934,,Surface,11,1000019087,19182,
0.25434,,Surface,11,1000018773,19183,
0.396997,,Surface,11,1000019003,19184,
0.92338,,Surface,11,1000019002,19185,
0.139656,,Surface,11,1000018913,19186,
0.71501,,Surface,11,1000019004,19187,
0.254348,,Surface,11,1000018774,19188,
0.815377,,Surface,11,1000019049,19189,
0.568027,,Surface,11,1000019007,19190,
0.396997,,Surface,11,1000019191,19191,
0.737395,,Surface,11,1000018776,19192,
0.256746,,Surface,11,1000018777,19193,
0.245874,,Surface,11,1000018778,19194,
0.145218,,Surface,11,1000018964,19195,
0.724059,,Surface,11,1000018779,19196,
0.803272,,Surface,12,1000019152,19197,
0.678813,,Surface,12,1000018770,19198,
0.802141,,Surface,12,1000018812,19199,
0.576925,,Surface,12,1000018947,19200,
0.482309,,Surface,12,1000018755,19201,
0.314362,,Surface,12,1000019064,19202,
0.682377,,Surface,12,1000018788,19203,
0.256735,,Surface,12,1000019109,19204,
0.248267,,Surface,12,1000018759,19205,
0.841489,,Surface,12,1000019108,19206,
0.329571,,Surface,12,1000018760,19207,
0.256741,,Surface,12,1000018858,19208,
0.837149,,Surface,12,1000019114,19209,
0.217027,,Surface,12,1000018816,19210,
0.489207,,Surface,12,1000018970,19211,
0.245876,,Surface,12,1000018930,19212,
