
Time Index
 ==================== 
Time Index,Unit,Category,Time,TrackID,ID,
1,,Surface,1,1000018754,18754,
1,,Surface,1,1000018755,18755,
1,,Surface,1,1000018756,18756,
1,,Surface,1,1000018757,18757,
1,,Surface,1,1000018758,18758,
1,,Surface,1,1000018759,18759,
1,,Surface,1,1000018760,18760,
1,,Surface,1,1000018761,18761,
1,,Surface,1,1000018762,18762,
1,,Surface,1,1000018763,18763,
1,,Surface,1,1000018764,18764,
1,,Surface,1,1000018765,18765,
1,,Surface,1,1000018766,18766,
1,,Surface,1,1000018767,18767,
1,,Surface,1,1000018768,18768,
1,,Surface,1,1000018769,18769,
1,,Surface,1,1000018770,18770,
1,,Surface,1,1000018771,18771,
1,,Surface,1,1000018772,18772,
1,,Surface,1,1000018773,18773,
1,,Surface,1,1000018774,18774,
1,,Surface,1,1000018775,18775,
1,,Surface,1,1000018776,18776,
1,,Surface,1,1000018777,18777,
1,,Surface,1,1000018778,18778,
1,,Surface,1,1000018779,18779,
2,,Surface,2,1000018770,18780,
2,,Surface,2,1000018754,18781,
2,,Surface,2,1000018755,18782,
2,,Surface,2,1000018756,18783,
2,,Surface,2,1000018757,18784,
2,,Surface,2,1000018759,18785,
2,,Surface,2,1000018758,18786,
2,,Surface,2,1000018760,18787,
2,,Surface,2,1000018788,18788,
2,,Surface,2,1000018761,18789,
2,,Surface,2,1000018762,18790,
2,,Surface,2,1000018763,18791,
2,,Surface,2,1000018764,18792,
2,,Surface,2,1000018765,18793,
2,,Surface,2,1000018794,18794,
2,,Surface,2,1000018766,18795,
2,,Surface,2,1000018767,18796,
2,,Surface,2,1000018797,18797,
2,,Surface,2,1000018768,18798,
2,,Surface,2,1000018799,18799,
2,,Surface,2,1000018769,18800,
2,,Surface,2,1000018771,18801,
2,,Surface,2,1000018802,18802,
2,,Surface,2,1000018772,18803,
2,,Surface,2,1000018773,18804,
2,,Surface,2,1000018774,18805,
2,,Surface,2,1000018775,18806,
2,,Surface,2,1000018776,18807,
2,,Surface,2,1000018777,18808,
2,,Surface,2,1000018809,18809,
2,,Surface,2,1000018778,18810,
2,,Surface,2,1000018779,18811,
3,,Surface,3,1000018812,18812,
3,,Surface,3,1000018755,18813,
3,,Surface,3,1000018756,18814,
3,,Surface,3,1000018757,18815,
3,,Surface,3,1000018816,18816,
3,,Surface,3,1000018759,18817,
3,,Surface,3,1000018758,18818,
3,,Surface,3,1000018760,18819,
3,,Surface,3,1000018788,18820,
3,,Surface,3,1000018761,18821,
3,,Surface,3,1000018762,18822,
3,,Surface,3,1000018763,18823,
3,,Surface,3,1000018764,18824,
3,,Surface,3,1000018765,18825,
3,,Surface,3,1000018794,18826,
3,,Surface,3,1000018766,18827,
3,,Surface,3,1000018767,18828,
3,,Surface,3,1000018797,18829,
3,,Surface,3,1000018768,18830,
3,,Surface,3,1000018799,18831,
3,,Surface,3,1000018754,18832,
3,,Surface,3,1000018769,18833,
3,,Surface,3,1000018770,18834,
3,,Surface,3,1000018771,18835,
3,,Surface,3,1000018802,18836,
3,,Surface,3,1000018772,18837,
3,,Surface,3,1000018773,18838,
3,,Surface,3,1000018774,18839,
3,,Surface,3,1000018775,18840,
