
Ellipticity (oblate)
 ==================== 
Ellipticity (oblate),Unit,Category,Time,TrackID,ID,
0.492488,,Surface,1,1000018754,18754,
0.407899,,Surface,1,1000018755,18755,
0.20005,,Surface,1,1000018756,18756,
0.239192,,Surface,1,1000018757,18757,
0.492492,,Surface,1,1000018758,18758,
0.466099,,Surface,1,1000018759,18759,
0.354622,,Surface,1,1000018760,18760,
0.414331,,Surface,1,1000018761,18761,
0.29495,,Surface,1,1000018762,18762,
0.1437,,Surface,1,1000018763,18763,
0.262381,,Surface,1,1000018764,18764,
0.401227,,Surface,1,1000018765,18765,
0.18212,,Surface,1,1000018766,18766,
0.492484,,Surface,1,1000018767,18767,
0.294383,,Surface,1,1000018768,18768,
0.334946,,Surface,1,1000018769,18769,
0.275819,,Surface,1,1000018770,18770,
0.247108,,Surface,1,1000018771,18771,
0.15459,,Surface,1,1000018772,18772,
0.24711,,Surface,1,1000018773,18773,
0.492488,,Surface,1,1000018774,18774,
0.466101,,Surface,1,1000018775,18775,
0.354073,,Surface,1,1000018776,18776,
0.30501,,Surface,1,1000018777,18777,
0.224991,,Surface,1,1000018778,18778,
0.452117,,Surface,1,1000018779,18779,
0.255921,,Surface,2,1000018770,18780,
0.466101,,Surface,2,1000018754,18781,
0.535724,,Surface,2,1000018755,18782,
0.29569,,Surface,2,1000018756,18783,
0.577945,,Surface,2,1000018757,18784,
0.247108,,Surface,2,1000018759,18785,
0.466102,,Surface,2,1000018758,18786,
0.435,,Surface,2,1000018760,18787,
0.212503,,Surface,2,1000018788,18788,
0.392539,,Surface,2,1000018761,18789,
0.230071,,Surface,2,1000018762,18790,
0.193276,,Surface,2,1000018763,18791,
0.252609,,Surface,2,1000018764,18792,
0.482624,,Surface,2,1000018765,18793,
0.205685,,Surface,2,1000018794,18794,
0.181701,,Surface,2,1000018766,18795,
0.466097,,Surface,2,1000018767,18796,
0.115412,,Surface,2,1000018797,18797,
0.286936,,Surface,2,1000018768,18798,
0.48632,,Surface,2,1000018799,18799,
0.194982,,Surface,2,1000018769,18800,
0.466099,,Surface,2,1000018771,18801,
0.238458,,Surface,2,1000018802,18802,
0.4925,,Surface,2,1000018772,18803,
0.247105,,Surface,2,1000018773,18804,
0.14237,,Surface,2,1000018774,18805,
0.354075,,Surface,2,1000018775,18806,
0.26482,,Surface,2,1000018776,18807,
0.246224,,Surface,2,1000018777,18808,
0.346812,,Surface,2,1000018809,18809,
0.114366,,Surface,2,1000018778,18810,
0.457718,,Surface,2,1000018779,18811,
0.208247,,Surface,3,1000018812,18812,
0.505675,,Surface,3,1000018755,18813,
0.20005,,Surface,3,1000018756,18814,
0.140915,,Surface,3,1000018757,18815,
0.279639,,Surface,3,1000018816,18816,
0.195148,,Surface,3,1000018759,18817,
0.56204,,Surface,3,1000018758,18818,
0.58623,,Surface,3,1000018760,18819,
0.314629,,Surface,3,1000018788,18820,
0.325654,,Surface,3,1000018761,18821,
0.296492,,Surface,3,1000018762,18822,
0.160784,,Surface,3,1000018763,18823,
0.240773,,Surface,3,1000018764,18824,
0.315722,,Surface,3,1000018765,18825,
0.12509,,Surface,3,1000018794,18826,
0.169588,,Surface,3,1000018766,18827,
0.492484,,Surface,3,1000018767,18828,
0.292157,,Surface,3,1000018797,18829,
0.219455,,Surface,3,1000018768,18830,
0.555028,,Surface,3,1000018799,18831,
0.492497,,Surface,3,1000018754,18832,
0.340164,,Surface,3,1000018769,18833,
0.285526,,Surface,3,1000018770,18834,
0.164109,,Surface,3,1000018771,18835,
0.41666,,Surface,3,1000018802,18836,
0.24711,,Surface,3,1000018772,18837,
0.208251,,Surface,3,1000018773,18838,
0.423754,,Surface,3,1000018774,18839,
0.57796,,Surface,3,1000018775,18840,
0.346812,,Surface,3,1000018776,18841,
0.309672,,Surface,3,1000018777,18842,
0.359299,,Surface,3,1000018809,18843,
0.228714,,Surface,3,1000018778,18844,
0.307996,,Surface,3,1000018779,18845,
0.163872,,Surface,4,1000018770,18846,
0.56373,,Surface,4,1000018769,18847,
0.122042,,Surface,4,1000018754,18848,
0.167501,,Surface,4,1000018812,18849,
0.577595,,Surface,4,1000018755,18850,
0.4661,,Surface,4,1000018756,18851,
0.577966,,Surface,4,1000018757,18852,
0.492496,,Surface,4,1000018758,18853,
0.492496,,Surface,4,1000018759,18854,
0.143978,,Surface,4,1000018816,18855,
0.553489,,Surface,4,1000018760,18856,
0.163825,,Surface,4,1000018788,18857,
0.122042,,Surface,4,1000018858,18858,
0.22881,,Surface,4,1000018761,18859,
0.342007,,Surface,4,1000018762,18860,
0.269049,,Surface,4,1000018764,18861,
0.183501,,Surface,4,1000018763,18862,
0.440043,,Surface,4,1000018765,18863,
0.170239,,Surface,4,1000018794,18864,
0.19207,,Surface,4,1000018766,18865,
0.492484,,Surface,4,1000018767,18866,
0.122042,,Surface,4,1000018867,18867,
0.208251,,Surface,4,1000018797,18868,
0.190918,,Surface,4,1000018768,18869,
0.388413,,Surface,4,1000018799,18870,
0.466102,,Surface,4,1000018771,18871,
0.208276,,Surface,4,1000018802,18872,
0.371547,,Surface,4,1000018772,18873,
0.208251,,Surface,4,1000018773,18874,
0.193213,,Surface,4,1000018774,18875,
0.208272,,Surface,4,1000018775,18876,
0.409904,,Surface,4,1000018776,18877,
0.24581,,Surface,4,1000018777,18878,
0.231201,,Surface,4,1000018809,18879,
0.574342,,Surface,4,1000018778,18880,
0.443197,,Surface,4,1000018779,18881,
0.456577,,Surface,5,1000018755,18882,
0.192872,,Surface,5,1000018812,18883,
