
Track Position
 ==================== 
Track Position X Mean,Track Position Y Mean,Track Position Z Mean,Unit,Category,Collection,ID,
354.216,293.624,1.5,um,Track,Track Position,1000019844,
280.212,369.15,11.908,um,Track,Track Position,1000019845,
269.629,207.249,7.76299,um,Track,Track Position,1000019850,
161.738,102.819,61.3,um,Track,Track Position,1000019861,
261.083,280.592,40.7107,um,Track,Track Position,1000019878,
146.641,194.668,76.0651,um,Track,Track Position,1000019903,
94.1871,238.335,52.694,um,Track,Track Position,1000019906,
286.775,311.996,4.50455,um,Track,Track Position,1000019933,
191.81,418.318,2.36774,um,Track,Track Position,1000019940,
191.865,241.368,40.1806,um,Track,Track Position,1000019946,
256.801,264.633,42.0752,um,Track,Track Position,1000019966,
310.454,241.578,1.60216,um,Track,Track Position,1000019974,
120.372,390.949,57.6292,um,Track,Track Position,1000020053,
234.74,301.791,33.9539,um,Track,Track Position,1000020057,
211.003,415.214,1.5,um,Track,Track Position,1000020077,
222.295,89.5253,73.0931,um,Track,Track Position,1000020087,
253.194,292.964,41.5,um,Track,Track Position,1000020103,
356.972,113.098,33.0667,um,Track,Track Position,1000020120,
213.624,204.404,34.6875,um,Track,Track Position,1000020125,
109.229,248.663,55.4028,um,Track,Track Position,1000020126,
34.3459,222.573,84.8759,um,Track,Track Position,1000020133,
102.69,314.297,82.5,um,Track,Track Position,1000020165,
150.102,190.17,74.1369,um,Track,Track Position,1000020170,
116.879,234.838,46.4211,um,Track,Track Position,1000020171,
162.345,363.094,49.5,um,Track,Track Position,1000020183,
172.58,363.162,53.8125,um,Track,Track Position,1000020189,
238.027,231.016,37.0833,um,Track,Track Position,1000020218,
170.313,304.142,79.3414,um,Track,Track Position,1000020219,
105.274,373.142,74.9545,um,Track,Track Position,1000020221,
131.102,362.296,62.0752,um,Track,Track Position,1000020222,
247.368,273.846,35.2719,um,Track,Track Position,1000020224,
243.884,280.34,43.6039,um,Track,Track Position,1000020226,
155.879,371.147,54.5714,um,Track,Track Position,1000020228,
243.578,414.848,1.52256,um,Track,Track Position,1000020245,
170.312,209.191,55.8964,um,Track,Track Position,1000020250,
279.487,368.16,14.8386,um,Track,Track Position,1000020287,
221.638,233.794,51.0556,um,Track,Track Position,1000020289,
241.744,187.053,10.9572,um,Track,Track Position,1000020293,
108.503,242.35,63.1071,um,Track,Track Position,1000020297,
246.354,420.123,2.15044,um,Track,Track Position,1000020331,
294.619,158.279,31.258,um,Track,Track Position,1000020336,
210.059,322.601,67.2449,um,Track,Track Position,1000020363,
216.844,196.751,35.788,um,Track,Track Position,1000020386,
83.5998,303.848,75.8878,um,Track,Track Position,1000020388,
148.147,361.889,30.9975,um,Track,Track Position,1000020440,
244.849,416.274,1.5,um,Track,Track Position,1000020457,
149.203,192.401,77.4513,um,Track,Track Position,1000020475,
258.583,265.682,44.6522,um,Track,Track Position,1000020486,
334.099,274.06,26.3105,um,Track,Track Position,1000020497,
147.42,265.309,85.3575,um,Track,Track Position,1000020507,
92.5518,237.654,56.5133,um,Track,Track Position,1000020516,
320.715,189.72,4.67969,um,Track,Track Position,1000020521,
