
Intensity StdDev Ch=6 Img=1
 ==================== 
Intensity StdDev,Unit,Category,Channel,Image,Time,TrackID,ID,
0,,Surface,6,Image 1,4,1000018768,18869,
48.3895,,Surface,6,Image 1,4,1000018799,18870,
0,,Surface,6,Image 1,4,1000018771,18871,
26.2515,,Surface,6,Image 1,4,1000018802,18872,
33.9804,,Surface,6,Image 1,4,1000018772,18873,
9.44803,,Surface,6,Image 1,4,1000018773,18874,
0.372678,,Surface,6,Image 1,4,1000018774,18875,
7.9949,,Surface,6,Image 1,4,1000018775,18876,
46.1385,,Surface,6,Image 1,4,1000018776,18877,
38.6847,,Surface,6,Image 1,4,1000018777,18878,
50.163,,Surface,6,Image 1,4,1000018809,18879,
22.5961,,Surface,6,Image 1,4,1000018778,18880,
40.2661,,Surface,6,Image 1,4,1000018779,18881,
38.4733,,Surface,6,Image 1,5,1000018755,18882,
9.6,,Surface,6,Image 1,5,1000018812,18883,
0,,Surface,6,Image 1,5,1000018756,18884,
26.4422,,Surface,6,Image 1,5,1000018757,18885,
23.1285,,Surface,6,Image 1,5,1000018816,18886,
37.8411,,Surface,6,Image 1,5,1000018759,18887,
38.8483,,Surface,6,Image 1,5,1000018758,18888,
45.7922,,Surface,6,Image 1,5,1000018760,18889,
0,,Surface,6,Image 1,5,1000018788,18890,
0,,Surface,6,Image 1,5,1000018858,18891,
40.2203,,Surface,6,Image 1,5,1000018761,18892,
37.976,,Surface,6,Image 1,5,1000018762,18893,
35.4674,,Surface,6,Image 1,5,1000018764,18894,
22.1327,,Surface,6,Image 1,5,1000018763,18895,
23.2094,,Surface,6,Image 1,5,1000018765,18896,
0,,Surface,6,Image 1,5,1000018794,18897,
23.7136,,Surface,6,Image 1,5,1000018766,18898,
20.6322,,Surface,6,Image 1,5,1000018867,18899,
0,,Surface,6,Image 1,5,1000018767,18900,
37.7821,,Surface,6,Image 1,5,1000018797,18901,
14.6474,,Surface,6,Image 1,5,1000018768,18902,
50.9346,,Surface,6,Image 1,5,1000018799,18903,
14,,Surface,6,Image 1,5,1000018904,18904,
0,,Surface,6,Image 1,5,1000018754,18905,
35.4352,,Surface,6,Image 1,5,1000018769,18906,
15.7217,,Surface,6,Image 1,5,1000018770,18907,
0,,Surface,6,Image 1,5,1000018771,18908,
49.5278,,Surface,6,Image 1,5,1000018802,18909,
9.5,,Surface,6,Image 1,5,1000018772,18910,
0,,Surface,6,Image 1,5,1000018773,18911,
48.3184,,Surface,6,Image 1,5,1000018912,18912,
18.1962,,Surface,6,Image 1,5,1000018913,18913,
6.87094,,Surface,6,Image 1,5,1000018774,18914,
32.2481,,Surface,6,Image 1,5,1000018775,18915,
38.3974,,Surface,6,Image 1,5,1000018776,18916,
50.7377,,Surface,6,Image 1,5,1000018777,18917,
52.5628,,Surface,6,Image 1,5,1000018809,18918,
57.884,,Surface,6,Image 1,5,1000018919,18919,
26.4194,,Surface,6,Image 1,5,1000018778,18920,
48.1282,,Surface,6,Image 1,5,1000018779,18921,
0,,Surface,6,Image 1,6,1000018756,18922,
0,,Surface,6,Image 1,6,1000018757,18923,
20.573,,Surface,6,Image 1,6,1000018758,18924,
14.9207,,Surface,6,Image 1,6,1000018816,18925,
42.0547,,Surface,6,Image 1,6,1000018759,18926,
62.5367,,Surface,6,Image 1,6,1000018760,18927,
11.9422,,Surface,6,Image 1,6,1000018788,18928,
0,,Surface,6,Image 1,6,1000018858,18929,
20.9854,,Surface,6,Image 1,6,1000018930,18930,
36.1341,,Surface,6,Image 1,6,1000018761,18931,
23.7428,,Surface,6,Image 1,6,1000018762,18932,
0,,Surface,6,Image 1,6,1000018933,18933,
39.6116,,Surface,6,Image 1,6,1000018764,18934,
24.5546,,Surface,6,Image 1,6,1000018763,18935,
0,,Surface,6,Image 1,6,1000018794,18936,
34.4726,,Surface,6,Image 1,6,1000018765,18937,
18.2458,,Surface,6,Image 1,6,1000018766,18938,
0,,Surface,6,Image 1,6,1000018867,18939,
0,,Surface,6,Image 1,6,1000018767,18940,
46.1582,,Surface,6,Image 1,6,1000018797,18941,
15.539,,Surface,6,Image 1,6,1000018768,18942,
38.1268,,Surface,6,Image 1,6,1000018799,18943,
0,,Surface,6,Image 1,6,1000018904,18944,
23.6997,,Surface,6,Image 1,6,1000018755,18945,
15.8597,,Surface,6,Image 1,6,1000018812,18946,
23.4852,,Surface,6,Image 1,6,1000018947,18947,
0,,Surface,6,Image 1,6,1000018754,18948,
47.7855,,Surface,6,Image 1,6,1000018769,18949,
4.35711,,Surface,6,Image 1,6,1000018770,18950,
33.0473,,Surface,6,Image 1,6,1000018771,18951,
3.55903,,Surface,6,Image 1,6,1000018802,18952,
15.2069,,Surface,6,Image 1,6,1000018772,18953,
0,,Surface,6,Image 1,6,1000018773,18954,
51.5006,,Surface,6,Image 1,6,1000018912,18955,
29.145,,Surface,6,Image 1,6,1000018913,18956,
0,,Surface,6,Image 1,6,1000018775,18957,
18.9897,,Surface,6,Image 1,6,1000018774,18958,
33.1383,,Surface,6,Image 1,6,1000018776,18959,
29.3494,,Surface,6,Image 1,6,1000018777,18960,
40.4926,,Surface,6,Image 1,6,1000018809,18961,
54.1426,,Surface,6,Image 1,6,1000018919,18962,
9.68963,,Surface,6,Image 1,6,1000018778,18963,
38.4612,,Surface,6,Image 1,6,1000018964,18964,
64.7938,,Surface,6,Image 1,6,1000018779,18965,
43.498,,Surface,6,Image 1,7,1000018760,18966,
0,,Surface,6,Image 1,7,1000018788,18967,
0,,Surface,6,Image 1,7,1000018858,18968,
32.0507,,Surface,6,Image 1,7,1000018930,18969,
6,,Surface,6,Image 1,7,1000018970,18970,
35.6303,,Surface,6,Image 1,7,1000018761,18971,
27.5378,,Surface,6,Image 1,7,1000018762,18972,
0,,Surface,6,Image 1,7,1000018933,18973,
38.8095,,Surface,6,Image 1,7,1000018764,18974,
15.9944,,Surface,6,Image 1,7,1000018763,18975,
0,,Surface,6,Image 1,7,1000018794,18976,
15.4741,,Surface,6,Image 1,7,1000018765,18977,
44.2717,,Surface,6,Image 1,7,1000018978,18978,
21.8923,,Surface,6,Image 1,7,1000018766,18979,
15.2069,,Surface,6,Image 1,7,1000018867,18980,
12.2565,,Surface,6,Image 1,7,1000018767,18981,
36.2519,,Surface,6,Image 1,7,1000018768,18982,
38.5,,Surface,6,Image 1,7,1000018797,18983,
49.3981,,Surface,6,Image 1,7,1000018799,18984,
0,,Surface,6,Image 1,7,1000018904,18985,
18.5461,,Surface,6,Image 1,7,1000018816,18986,
35.1981,,Surface,6,Image 1,7,1000018759,18987,
28.1292,,Surface,6,Image 1,7,1000018758,18988,
0,,Surface,6,Image 1,7,1000018757,18989,
1.2,,Surface,6,Image 1,7,1000018756,18990,
34.2262,,Surface,6,Image 1,7,1000018755,18991,
13.6754,,Surface,6,Image 1,7,1000018812,18992,
21.1123,,Surface,6,Image 1,7,1000018947,18993,
20.4642,,Surface,6,Image 1,7,1000018769,18994,
4.2,,Surface,6,Image 1,7,1000018770,18995,
62.5235,,Surface,6,Image 1,7,1000018996,18996,
55.8174,,Surface,6,Image 1,7,1000018802,18997,
31.6333,,Surface,6,Image 1,7,1000018772,18998,
0,,Surface,6,Image 1,7,1000018773,18999,
48.3051,,Surface,6,Image 1,7,1000018912,19000,
16.7705,,Surface,6,Image 1,7,1000018913,19001,
0,,Surface,6,Image 1,7,1000019002,19002,
50.1278,,Surface,6,Image 1,7,1000019003,19003,
31.188,,Surface,6,Image 1,7,1000019004,19004,
0,,Surface,6,Image 1,7,1000018774,19005,
35.1239,,Surface,6,Image 1,7,1000018775,19006,
39.9166,,Surface,6,Image 1,7,1000019007,19007,
21.0297,,Surface,6,Image 1,7,1000018776,19008,
42.3334,,Surface,6,Image 1,7,1000018777,19009,
43.7918,,Surface,6,Image 1,7,1000018809,19010,
46.2363,,Surface,6,Image 1,7,1000018919,19011,
24.0722,,Surface,6,Image 1,7,1000018778,19012,
6.59966,,Surface,6,Image 1,7,1000018964,19013,
47.825,,Surface,6,Image 1,7,1000018779,19014,
42.9127,,Surface,6,Image 1,8,1000018947,19015,
0,,Surface,6,Image 1,8,1000018812,19016,
45.0352,,Surface,6,Image 1,8,1000018755,19017,
0,,Surface,6,Image 1,8,1000018756,19018,
48.3315,,Surface,6,Image 1,8,1000018759,19019,
0,,Surface,6,Image 1,8,1000018816,19020,
43.8856,,Surface,6,Image 1,8,1000018760,19021,
0,,Surface,6,Image 1,8,1000018788,19022,
0,,Surface,6,Image 1,8,1000018858,19023,
41.9108,,Surface,6,Image 1,8,1000018970,19024,
26.414,,Surface,6,Image 1,8,1000018930,19025,
30.8201,,Surface,6,Image 1,8,1000018761,19026,
35.2675,,Surface,6,Image 1,8,1000018762,19027,
8,,Surface,6,Image 1,8,1000018933,19028,
41.8654,,Surface,6,Image 1,8,1000018764,19029,
15.3276,,Surface,6,Image 1,8,1000018763,19030,
4.19913,,Surface,6,Image 1,8,1000018794,19031,
46.9955,,Surface,6,Image 1,8,1000018978,19032,
26.6913,,Surface,6,Image 1,8,1000018766,19033,
0,,Surface,6,Image 1,8,1000018867,19034,
21.7552,,Surface,6,Image 1,8,1000018768,19035,
34.5172,,Surface,6,Image 1,8,1000018797,19036,
45.7535,,Surface,6,Image 1,8,1000018799,19037,
