
Track Intensity StdDev Ch=2 Img=1
 ==================== 
Track Intensity StdDev,Unit,Category,Channel,Image,ID,
0,,Track,2,Image 1,1000018754,
6.496,,Track,2,Image 1,1000018755,
5.55207,,Track,2,Image 1,1000018756,
9.64861,,Track,2,Image 1,1000018757,
18.7329,,Track,2,Image 1,1000018758,
9.39216,,Track,2,Image 1,1000018759,
7.28113,,Track,2,Image 1,1000018760,
13.7393,,Track,2,Image 1,1000018761,
20.9511,,Track,2,Image 1,1000018762,
4.65311,,Track,2,Image 1,1000018763,
9.24788,,Track,2,Image 1,1000018764,
4.67394,,Track,2,Image 1,1000018765,
65.4474,,Track,2,Image 1,1000018766,
2.67956,,Track,2,Image 1,1000018767,
6.12362,,Track,2,Image 1,1000018768,
3.62764,,Track,2,Image 1,1000018769,
10.7378,,Track,2,Image 1,1000018770,
19.9325,,Track,2,Image 1,1000018771,
2.82297,,Track,2,Image 1,1000018772,
8.66361,,Track,2,Image 1,1000018773,
2.7974,,Track,2,Image 1,1000018774,
0.298065,,Track,2,Image 1,1000018775,
7.64697,,Track,2,Image 1,1000018776,
3.57868,,Track,2,Image 1,1000018777,
1.76241,,Track,2,Image 1,1000018778,
4.22011,,Track,2,Image 1,1000018779,
4.13491,,Track,2,Image 1,1000018788,
7.86465,,Track,2,Image 1,1000018794,
9.942,,Track,2,Image 1,1000018797,
12.2074,,Track,2,Image 1,1000018799,
2.41144,,Track,2,Image 1,1000018802,
2.06009,,Track,2,Image 1,1000018809,
6.71621,,Track,2,Image 1,1000018812,
2.15946,,Track,2,Image 1,1000018816,
5.12386,,Track,2,Image 1,1000018858,
4.12615,,Track,2,Image 1,1000018867,
18.0306,,Track,2,Image 1,1000018904,
0.654969,,Track,2,Image 1,1000018912,
16.7233,,Track,2,Image 1,1000018913,
3.16069,,Track,2,Image 1,1000018919,
7.56787,,Track,2,Image 1,1000018930,
8.81737,,Track,2,Image 1,1000018933,
9.72451,,Track,2,Image 1,1000018947,
3.01958,,Track,2,Image 1,1000018964,
4.17475,,Track,2,Image 1,1000018970,
4.12965,,Track,2,Image 1,1000018978,
4.21817,,Track,2,Image 1,1000018996,
1.424,,Track,2,Image 1,1000019002,
2.81077,,Track,2,Image 1,1000019003,
1.79153,,Track,2,Image 1,1000019004,
4.51579,,Track,2,Image 1,1000019007,
5.83744,,Track,2,Image 1,1000019049,
4.91366,,Track,2,Image 1,1000019064,
1.82476,,Track,2,Image 1,1000019087,
5.12567,,Track,2,Image 1,1000019108,
10.706,,Track,2,Image 1,1000019109,
8.67026,,Track,2,Image 1,1000019114,
4.65017,,Track,2,Image 1,1000019133,
8.07171,,Track,2,Image 1,1000019150,
8.67706,,Track,2,Image 1,1000019152,
3.85815,,Track,2,Image 1,1000019180,
4.366,,Track,2,Image 1,1000019191,
7.93957,,Track,2,Image 1,1000019216,
4.54545,,Track,2,Image 1,1000019240,
4.37598,,Track,2,Image 1,1000019271,
5.69955,,Track,2,Image 1,1000019284,
8.43356,,Track,2,Image 1,1000019297,
65.5044,,Track,2,Image 1,1000019310,
3.143,,Track,2,Image 1,1000019324,
2.02982,,Track,2,Image 1,1000019340,
24.0048,,Track,2,Image 1,1000019350,
3.02913,,Track,2,Image 1,1000019353,
0,,Track,2,Image 1,1000019354,
3.901,,Track,2,Image 1,1000019361,
6.1166,,Track,2,Image 1,1000019395,
9.5895,,Track,2,Image 1,1000019396,
9.14504,,Track,2,Image 1,1000019405,
5.96927,,Track,2,Image 1,1000019412,
0,,Track,2,Image 1,1000019436,
18.0339,,Track,2,Image 1,1000019450,
1.28713,,Track,2,Image 1,1000019465,
0.28,,Track,2,Image 1,1000019472,
5.59514,,Track,2,Image 1,1000019477,
3.83398,,Track,2,Image 1,1000019486,
