
Sphericity
 ==================== 
Sphericity,Unit,Category,Time,TrackID,ID,
0.819616,,Surface,1,1000018754,18754,
0.849025,,Surface,1,1000018755,18755,
0.842679,,Surface,1,1000018756,18756,
0.743397,,Surface,1,1000018757,18757,
0.807424,,Surface,1,1000018758,18758,
0.876396,,Surface,1,1000018759,18759,
0.68979,,Surface,1,1000018760,18760,
0.786362,,Surface,1,1000018761,18761,
0.889688,,Surface,1,1000018762,18762,
0.790809,,Surface,1,1000018763,18763,
0.854319,,Surface,1,1000018764,18764,
0.833557,,Surface,1,1000018765,18765,
0.793335,,Surface,1,1000018766,18766,
0.793024,,Surface,1,1000018767,18767,
0.847016,,Surface,1,1000018768,18768,
0.728521,,Surface,1,1000018769,18769,
0.776027,,Surface,1,1000018770,18770,
0.886682,,Surface,1,1000018771,18771,
0.734129,,Surface,1,1000018772,18772,
0.886964,,Surface,1,1000018773,18773,
0.832583,,Surface,1,1000018774,18774,
0.855133,,Surface,1,1000018775,18775,
0.918815,,Surface,1,1000018776,18776,
0.890392,,Surface,1,1000018777,18777,
0.775692,,Surface,1,1000018778,18778,
0.913452,,Surface,1,1000018779,18779,
0.821814,,Surface,2,1000018770,18780,
0.828122,,Surface,2,1000018754,18781,
0.792405,,Surface,2,1000018755,18782,
0.774699,,Surface,2,1000018756,18783,
0.877523,,Surface,2,1000018757,18784,
0.868111,,Surface,2,1000018759,18785,
0.808359,,Surface,2,1000018758,18786,
0.734738,,Surface,2,1000018760,18787,
0.794566,,Surface,2,1000018788,18788,
0.782965,,Surface,2,1000018761,18789,
0.880108,,Surface,2,1000018762,18790,
0.804472,,Surface,2,1000018763,18791,
0.882077,,Surface,2,1000018764,18792,
0.857111,,Surface,2,1000018765,18793,
0.75515,,Surface,2,1000018794,18794,
0.836917,,Surface,2,1000018766,18795,
0.790459,,Surface,2,1000018767,18796,
0.606713,,Surface,2,1000018797,18797,
0.845467,,Surface,2,1000018768,18798,
0.838459,,Surface,2,1000018799,18799,
0.659706,,Surface,2,1000018769,18800,
0.808164,,Surface,2,1000018771,18801,
0.799653,,Surface,2,1000018802,18802,
0.700541,,Surface,2,1000018772,18803,
0.900007,,Surface,2,1000018773,18804,
0.802622,,Surface,2,1000018774,18805,
0.9322,,Surface,2,1000018775,18806,
0.924065,,Surface,2,1000018776,18807,
0.875637,,Surface,2,1000018777,18808,
0.908397,,Surface,2,1000018809,18809,
0.762382,,Surface,2,1000018778,18810,
0.906188,,Surface,2,1000018779,18811,
0.886156,,Surface,3,1000018812,18812,
0.790724,,Surface,3,1000018755,18813,
0.842188,,Surface,3,1000018756,18814,
0.758789,,Surface,3,1000018757,18815,
0.802628,,Surface,3,1000018816,18816,
0.792597,,Surface,3,1000018759,18817,
0.86943,,Surface,3,1000018758,18818,
0.704855,,Surface,3,1000018760,18819,
0.798081,,Surface,3,1000018788,18820,
0.785495,,Surface,3,1000018761,18821,
0.878168,,Surface,3,1000018762,18822,
0.808249,,Surface,3,1000018763,18823,
0.858958,,Surface,3,1000018764,18824,
0.892818,,Surface,3,1000018765,18825,
0.740118,,Surface,3,1000018794,18826,
0.826343,,Surface,3,1000018766,18827,
0.782539,,Surface,3,1000018767,18828,
0.806874,,Surface,3,1000018797,18829,
0.850869,,Surface,3,1000018768,18830,
0.853835,,Surface,3,1000018799,18831,
0.825873,,Surface,3,1000018754,18832,
0.874016,,Surface,3,1000018769,18833,
0.833527,,Surface,3,1000018770,18834,
0.694698,,Surface,3,1000018771,18835,
0.834691,,Surface,3,1000018802,18836,
0.714377,,Surface,3,1000018772,18837,
0.926149,,Surface,3,1000018773,18838,
0.902805,,Surface,3,1000018774,18839,
0.876186,,Surface,3,1000018775,18840,
0.924223,,Surface,3,1000018776,18841,
0.868263,,Surface,3,1000018777,18842,
0.888101,,Surface,3,1000018809,18843,
0.801256,,Surface,3,1000018778,18844,
0.798271,,Surface,3,1000018779,18845,
0.79241,,Surface,4,1000018770,18846,
0.753903,,Surface,4,1000018769,18847,
0.828333,,Surface,4,1000018754,18848,
0.781475,,Surface,4,1000018812,18849,
0.776519,,Surface,4,1000018755,18850,
0.784805,,Surface,4,1000018756,18851,
0.902672,,Surface,4,1000018757,18852,
0.781133,,Surface,4,1000018758,18853,
0.781066,,Surface,4,1000018759,18854,
0.775362,,Surface,4,1000018816,18855,
0.697803,,Surface,4,1000018760,18856,
0.759212,,Surface,4,1000018788,18857,
0.706709,,Surface,4,1000018858,18858,
0.782963,,Surface,4,1000018761,18859,
0.786748,,Surface,4,1000018762,18860,
0.863707,,Surface,4,1000018764,18861,
0.835636,,Surface,4,1000018763,18862,
0.873183,,Surface,4,1000018765,18863,
0.771267,,Surface,4,1000018794,18864,
0.814061,,Surface,4,1000018766,18865,
0.704059,,Surface,4,1000018767,18866,
0.49179,,Surface,4,1000018867,18867,
0.84069,,Surface,4,1000018797,18868,
0.797173,,Surface,4,1000018768,18869,
0.830916,,Surface,4,1000018799,18870,
0.758496,,Surface,4,1000018771,18871,
0.931311,,Surface,4,1000018802,18872,
0.690422,,Surface,4,1000018772,18873,
0.904891,,Surface,4,1000018773,18874,
0.797527,,Surface,4,1000018774,18875,
0.929473,,Surface,4,1000018775,18876,
0.791742,,Surface,4,1000018776,18877,
0.890254,,Surface,4,1000018777,18878,
0.755198,,Surface,4,1000018809,18879,
0.911576,,Surface,4,1000018778,18880,
0.91229,,Surface,4,1000018779,18881,
0.867642,,Surface,5,1000018755,18882,
0.836621,,Surface,5,1000018812,18883,
0.814907,,Surface,5,1000018756,18884,
0.856523,,Surface,5,1000018757,18885,
0.818639,,Surface,5,1000018816,18886,
0.856044,,Surface,5,1000018759,18887,
0.798059,,Surface,5,1000018758,18888,
0.76353,,Surface,5,1000018760,18889,
0.728743,,Surface,5,1000018788,18890,
0.611466,,Surface,5,1000018858,18891,
0.77093,,Surface,5,1000018761,18892,
0.875128,,Surface,5,1000018762,18893,
0.906765,,Surface,5,1000018764,18894,
0.829388,,Surface,5,1000018763,18895,
0.874379,,Surface,5,1000018765,18896,
0.754156,,Surface,5,1000018794,18897,
0.803394,,Surface,5,1000018766,18898,
0.866585,,Surface,5,1000018867,18899,
